,BIO2195127_CHX_vs_U1_mut1_100_CHX,BIO2195127_CHX_vs_U1_mut1_500_CHX,BIO2195127_CHX_vs_U1_mut2_100_CHX,BIO2195127_CHX_vs_U1_mut2_500_CHX,BIO2195127_CHX_vs_U1_WT_100_CHX,BIO2195127_CHX_vs_U1_WT_500_CHX,BIO2195127_EtOH_vs_U1_mut1_100_EtOH,BIO2195127_EtOH_vs_U1_mut1_500_EtOH,BIO2195127_EtOH_vs_U1_mut2_100_EtOH,BIO2195127_EtOH_vs_U1_mut2_500_EtOH,BIO2195127_EtOH_vs_U1_WT_100_EtOH,BIO2195127_EtOH_vs_U1_WT_500_EtOH,BIO2197294_CHX_vs_U1_mut1_100_CHX,BIO2197294_CHX_vs_U1_mut1_500_CHX,BIO2197294_CHX_vs_U1_mut2_100_CHX,BIO2197294_CHX_vs_U1_mut2_500_CHX,BIO2197294_CHX_vs_U1_WT_100_CHX,BIO2197294_CHX_vs_U1_WT_500_CHX,BIO2197294_EtOH_vs_U1_mut1_100_EtOH,BIO2197294_EtOH_vs_U1_mut1_500_EtOH,BIO2197294_EtOH_vs_U1_mut2_100_EtOH,BIO2197294_EtOH_vs_U1_mut2_500_EtOH,BIO2197294_EtOH_vs_U1_WT_100_EtOH,BIO2197294_EtOH_vs_U1_WT_500_EtOH,Branaplam_CHX_vs_U1_mut1_100_CHX,Branaplam_CHX_vs_U1_mut1_500_CHX,Branaplam_CHX_vs_U1_mut2_100_CHX,Branaplam_CHX_vs_U1_mut2_500_CHX,Branaplam_CHX_vs_U1_WT_100_CHX,Branaplam_CHX_vs_U1_WT_500_CHX,Branaplam_EtOH_vs_U1_mut1_100_EtOH,Branaplam_EtOH_vs_U1_mut1_500_EtOH,Branaplam_EtOH_vs_U1_mut2_100_EtOH,Branaplam_EtOH_vs_U1_mut2_500_EtOH,Branaplam_EtOH_vs_U1_WT_100_EtOH,Branaplam_EtOH_vs_U1_WT_500_EtOH,U1_mut1_100_CHX_vs_U1_WT_100_CHX,U1_mut1_100_CHX_vs_U1_WT_100_EtOH,U1_mut1_100_EtOH_vs_U1_WT_100_EtOH,U1_mut1_500_CHX_vs_U1_WT_500_CHX,U1_mut1_500_CHX_vs_U1_WT_500_EtOH,U1_mut1_500_EtOH_vs_U1_WT_500_EtOH,U1_mut2_100_CHX_vs_U1_WT_100_CHX,U1_mut2_100_CHX_vs_U1_WT_100_EtOH,U1_mut2_100_EtOH_vs_U1_WT_100_EtOH,U1_mut2_500_CHX_vs_U1_WT_500_CHX,U1_mut2_500_CHX_vs_U1_WT_500_EtOH,U1_mut2_500_EtOH_vs_U1_WT_500_EtOH,U1_WT_500_BIO2197294_vs_BIO2197294_EtOH,U1_WT_500_BIO2197294_vs_U1_WT_500_EtOH,U1_WT_500_Branaplam_vs_Branaplam_EtOH,U1_WT_500_Branaplam_vs_U1_WT_500_EtOH
AADAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
ABCA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ABCB8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ABCB9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD10,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
ABHD13,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
ABHD4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
AC004803.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC004943.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AC008581.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AC009022.1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1
AC009053.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
AC009533.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
