UniqueID,Gene.Name,U1-WT-500-BIO2197294_vs_DMSO_logFC,P.Value.x,Adj.P.Value.x,U1-WT-500-BIO2197294_vs_WT-500_logFC,P.Value.y,Adj.P.Value.y,U1-WT-500-Branaplam_vs_DMSO_logFC,P.Value.x.1,Adj.P.Value.x.1,U1-WT-500-Branaplam_vs_WT-500_logFC,P.Value.y.1,Adj.P.Value.y.1
ENSG00000196724.12,ZNF418,3.67957725865673,1.20920197821418e-10,6.7915875531188e-09,3.17041233376353,1.76930897408797e-09,7.84752836915719e-08,NA,NA,NA,NA,NA,NA
ENSG00000238269.9,PAGE2B,3.67954477995605,0.0010395445214329,0.00940339053166078,NA,NA,NA,0.0159861555088971,0.00227290139006096,0.349304578126067,NA,NA,NA
ENSG00000232810.4,TNF,3.66774560810102,0.00170211393604136,0.0142136855309529,0.148780169626886,0.207664517392216,0.592232181903023,NA,NA,NA,NA,NA,NA
ENSG00000224416.2,IFNA22P,3.61694067830859,0.00113252161409735,0.0100623308118618,0.217229424941394,0.19453961812249,0.565751181081196,0.0178357645233953,0.00930739989364964,0.747771743768805,NA,NA,NA
ENSG00000260727.1,SLC7A5P1,3.58490360863762,3.90518565049974e-20,2.60699036354075e-17,2.42441313330281,2.52428346614456e-11,1.91235649435167e-09,NA,NA,NA,NA,NA,NA
ENSG00000120129.6,DUSP1,3.56959546483295,7.5993437562537e-24,1.04446274626393e-20,3.17177720432346,4.38147151724288e-19,5.81859417489855e-16,NA,NA,NA,NA,NA,NA
ENSG00000160868.15,CYP3A4,3.49766700103409,0.00297582995512867,0.022523572044568,0.123420491021113,0.248110043110691,0.667715415545213,NA,NA,NA,NA,NA,NA
ENSG00000232077.2,LINC01031,3.4395356348153,0.00104023949975847,0.00940603556960399,0.125188984047761,0.422821550210432,0.936120360650261,NA,NA,NA,NA,NA,NA
ENSG00000140932.10,CMTM2,3.40687411323902,0.00109065551914728,0.00977115268591877,0.120196544586713,0.432937982357073,0.949117099407,NA,NA,NA,NA,NA,NA
ENSG00000235411.1,DRG1P1,3.40407684083775,0.000977466111385155,0.00893175427943455,NA,NA,NA,0.0275295820264152,0.000223905263629509,0.0743365475249971,NA,NA,NA
ENSG00000256861.1,AC048338.1,3.35578809722827,0.000217031681377797,0.00246641305223357,0.115580496664748,0.298303887952722,0.754228757354759,0.012984336055871,0.00728206015569824,0.652380119345411,NA,NA,NA
ENSG00000120738.8,EGR1,3.35459198789586,8.16078714957107e-09,2.90223427320743e-07,3.23475288492539,2.5261481846545e-08,8.38681197305294e-07,NA,NA,NA,NA,NA,NA
ENSG00000284697.1,AC006511.6,3.28968466359333,2.46331801300493e-06,4.72928721231389e-05,1.10919848795065,0.0127264024780278,0.0700417509370928,NA,NA,NA,NA,NA,NA
ENSG00000158125.10,XDH,3.28812998567209,2.04796343695025e-11,1.37501912943513e-09,1.97975240546663,1.11587469244865e-06,2.43165898230896e-05,0.0544589687694831,0.00170497938590615,0.296089343201671,NA,NA,NA
ENSG00000270882.2,H4C14,3.28164048256984,6.78114229184065e-16,1.21877992037582e-13,2.87036721134789,1.47293252897379e-12,1.63004533206433e-10,0.05091505055312,0.0114289053381817,0.8543674401152,NA,NA,NA
ENSG00000087589.16,CASS4,3.27950454882144,6.29808861371642e-13,5.81639685610609e-11,0.883286720814827,0.0116703403122306,0.0655071116083832,2.75789154286755,1.58679683501948e-09,2.10726619690587e-06,NA,NA,NA
ENSG00000267042.1,AC100793.2,3.27665930715795,0.00159595415102155,0.0134570439330994,0.149412612284481,0.241625774302079,0.656431225107549,NA,NA,NA,NA,NA,NA
ENSG00000224533.4,TMLHE-AS1,3.2736142240673,1.12866414697453e-09,4.89262296735803e-08,2.02737890412143,6.96968142120913e-06,0.000121974827724975,NA,NA,NA,NA,NA,NA
ENSG00000254396.1,AL355432.1,3.21386909994764,0.0025631396259302,0.0199360044473565,3.20524496835853,0.00270789500741303,0.0199456566679793,NA,NA,NA,NA,NA,NA
ENSG00000180573.9,H2AC6,3.21276808275485,4.63441564650967e-18,1.59239884677498e-15,2.99852499188775,5.89086782620286e-16,1.98495868722919e-13,NA,NA,NA,NA,NA,NA
ENSG00000223774.5,AL513217.1,3.20303487418173,0.00188965724034119,0.0154810103157686,0.293823073642386,0.0889068673121513,0.319866364372769,0.0191963313427203,0.00681198282624349,0.627703364429686,NA,NA,NA
