,dPSI_GM_BIO_1949634_10x_vs_GM_DMSO,dPSI_GM_BIO_1949634_3x_vs_GM_DMSO,dPSI_GM_BIO_2197306_10x_vs_GM_DMSO,dPSI_GM_BIO_2197306_3x_vs_GM_DMSO
ABCB8,NA,NA,0.486,NA
AC006059.1,0.7794,0.4787,0.5897,NA
AC009022.1,0.775185753878901,0.28899811653141,0.88504138826754,0.589484093090361
AC020915.3,NA,NA,0.296659310639468,NA
AC068547.1,NA,NA,0.6075,NA
AC093157.1,NA,0.349,NA,NA
AC093484.3,NA,NA,NA,0.648570930543954
ADGRL1,NA,NA,0.254282423076982,NA
ARL15,NA,NA,0.955,0.616
ARMCX6,NA,NA,0.267753064441797,NA
ASAP1,NA,NA,0.971,0.488
ASCC3,NA,NA,0.316380398997435,NA
ASL,NA,NA,NA,0.489
ATP5MC2,NA,NA,NA,0.440480775203561
ATP6AP1L,NA,NA,0.279235368256624,NA
AXIN1,NA,NA,0.51,0.344458903322465
C12orf4,0.38622379738291,NA,0.6314885231445,NA
C14orf132,NA,NA,0.385,NA
CACNB1,NA,NA,0.368329328327584,NA
CACNB4,NA,NA,0.319,NA
CAND2,0.5425,NA,0.4339,NA
CCDC136,0.321,NA,NA,NA
CECR7,0.565000779241771,0.534367051673156,0.746950749277007,0.30412950475997
CEMIP,0.4156,NA,0.4266,NA
CHD9,NA,NA,0.343630452572629,NA
CHEK1,NA,NA,0.301,NA
CIP2A,NA,NA,0.256580606078443,NA
CMAHP,0.295637183768856,NA,0.738976223296643,NA
COPS7B,NA,NA,0.399,NA
DENND1A,0.26303378165052,NA,NA,NA
DENND5A,0.77,NA,0.692,NA
DHFR,NA,NA,0.330184336202086,NA
DLGAP4,NA,NA,0.472,NA
DNAJC27,NA,NA,0.302724845488224,NA
DPH1,NA,NA,0.295530178563847,NA
DRG2,0.304,NA,NA,NA
ELMOD3,NA,NA,0.303,NA
ENAH,NA,NA,0.4371,NA
ERGIC3,NA,NA,0.527,NA
EVC,NA,NA,0.531929391618919,NA
EXOC6B,NA,NA,0.409,NA
FAAP20,NA,NA,0.391,NA
FAM162A,0.316042385012033,NA,0.283446557807376,NA
FAM174A,0.302543099531048,NA,NA,NA
FBN2,0.748154577611698,0.689503472893666,0.754472183314863,0.732465485632569
FBXO31,NA,NA,0.268369804128493,NA
FOXM1,0.457,NA,0.319,NA
GALC,0.462,NA,0.356897561584746,NA
GCFC2,0.365807565930257,NA,NA,NA
GGCT,0.3812,NA,0.3799,NA
GNG12,NA,NA,0.755435314778784,0.401736514472785
GSDMB,0.408310001574108,NA,0.362406029814531,NA
GXYLT1,NA,NA,0.277653664689576,NA
HAUS3,NA,NA,0.543,NA
HDX,NA,NA,0.641,0.271880682139785
HIKESHI,0.369,NA,NA,NA
HTT,NA,NA,0.7222,NA
HYAL3,NA,NA,NA,0.312
KDM6A,NA,NA,0.616,0.308993239303622
L3MBTL2.AS1,0.375,NA,NA,NA
LARP7,0.77,0.711,0.789,0.711
LINC02210,NA,NA,0.409780762099196,NA
LRRC42,NA,NA,0.583,0.359
LYRM1,NA,NA,0.574,NA
MADD,NA,NA,0.347,NA
MFN2,0.3864,NA,NA,NA
MFSD13A,NA,0.4168621474492,NA,NA
MLLT10,NA,NA,0.473363861281959,NA
MMS22L,NA,NA,0.348074573441128,NA
MSL3,NA,NA,NA,0.312
MYCBP2,NA,NA,0.366,NA
NGF,0.557932602094686,0.316605428815716,0.541154705646393,NA
NUP58,NA,NA,0.424861838028605,NA
