,dPSI_GM_BIO_1949634_10x_vs_GM_DMSO,dPSI_GM_BIO_1949634_3x_vs_GM_DMSO,dPSI_GM_BIO_2196772_10x_vs_GM_DMSO,dPSI_GM_BIO_2196772_3x_vs_GM_DMSO
ABCB8,NA,NA,0.723,0.319
AC004784.1,NA,NA,0.405,NA
AC006059.1,0.7794,0.4787,0.5597,NA
AC009022.1,0.775185753878901,0.28899811653141,0.959132313539854,0.680654477836555
AC013652.1,NA,NA,0.4985,NA
AC068547.1,NA,NA,0.6914,NA
AC093157.1,NA,0.349,NA,NA
AC114490.2,NA,NA,0.4077,NA
ADGRL1,NA,NA,0.469899645239338,0.253536663703523
ADRM1,NA,NA,NA,0.308074118161794
AGPS,NA,NA,0.30570181773133,NA
AKAP9,NA,NA,0.317559335332868,NA
ANP32A,NA,NA,0.4779,NA
ANXA11,NA,NA,0.4833,NA
AP2M1,NA,NA,NA,0.311494978595456
APLP2,NA,NA,0.334482488280884,NA
APPL2,NA,NA,0.4226,NA
ARL15,NA,NA,0.959,0.665
ARSJ,NA,NA,0.42428302260863,NA
ASAP1,NA,NA,0.984,0.792
ASAP2,NA,NA,0.312308247166991,NA
ASCC3,NA,NA,0.560594022027842,NA
AXIN1,NA,NA,0.639,0.355686639881316
BECN1,NA,NA,0.4951,NA
BPHL,NA,NA,NA,0.349
C12orf4,0.38622379738291,NA,0.773370558421234,NA
C14orf132,NA,NA,0.453,NA
CACNB1,NA,NA,0.326413360455622,NA
CACNB4,NA,NA,0.309,NA
CAND2,0.5425,NA,0.4394,NA
CCDC136,0.321,NA,NA,NA
CDC37L1,NA,NA,0.488430081952069,NA
CECR7,0.565000779241771,0.534367051673156,0.687491276196174,0.261709705368658
CEMIP,0.4156,NA,0.5057,NA
CEP162,NA,NA,0.339284882739337,NA
CHD9,NA,NA,0.306,NA
CHROMR,NA,NA,NA,0.336
CIP2A,NA,NA,0.564327463350677,NA
CLK4,NA,NA,0.304,NA
CMAHP,0.295637183768856,NA,0.97,0.554517941405584
COPS7B,NA,NA,0.491,NA
