,dPSI_GM_BIO_1949634_10x_vs_GM_DMSO,dPSI_GM_BIO_1949634_3x_vs_GM_DMSO,dPSI_GM_BIO_2204984_10x_vs_GM_DMSO,dPSI_GM_BIO_2204984_3x_vs_GM_DMSO
ABCB8,NA,NA,0.902,0.537
AC004784.1,NA,NA,0.3984,NA
AC006059.1,0.7794,0.4787,NA,NA
AC009022.1,0.775185753878901,0.28899811653141,0.973978946772237,0.848188503862023
AC020915.3,NA,NA,0.311459828790697,NA
AC093157.1,NA,0.349,0.315,NA
ADGRL1,NA,NA,0.532508230369131,NA
AGPS,NA,NA,0.497338559477211,NA
AKAP9,NA,NA,0.438,NA
ANP32A,NA,NA,0.7813,0.4923
ANXA11,NA,NA,0.421,NA
APPL2,NA,NA,0.4878,NA
ARHGAP1,NA,NA,0.29330426212698,NA
ARL15,NA,NA,0.899,0.712
ASAP1,NA,NA,0.957,0.737
ASCC3,NA,NA,0.816527831765115,0.458154171719584
AVL9,NA,NA,0.267959680633261,NA
AXIN1,NA,NA,0.73,0.347
BECN1,NA,NA,0.4853,NA
C12orf4,0.38622379738291,NA,0.822538399990607,NA
C14orf132,NA,NA,0.402,NA
CACNB1,NA,NA,0.309685474052822,NA
CACNB4,NA,NA,0.31,NA
CAND2,0.5425,NA,NA,NA
CAV1,NA,NA,0.288802995565119,NA
CCDC136,0.321,NA,NA,NA
CDC37L1,NA,NA,0.790694434518114,0.276773786656108
CDKAL1,NA,NA,0.256914408245023,NA
CECR7,0.565000779241771,0.534367051673156,0.451767630111629,NA
CEMIP,0.4156,NA,NA,NA
CHEK1,NA,NA,0.355,0.312
CLK4,NA,NA,0.344,NA
CMAHP,0.295637183768856,NA,NA,NA
CNOT1,NA,NA,0.386,NA
COPS7B,NA,NA,0.337,NA
DCAF17,NA,NA,0.374286382097201,NA
DENND1A,0.26303378165052,NA,NA,NA
DENND5A,0.77,NA,NA,NA
DHFR,NA,NA,0.569886332747893,NA
DIAPH3,NA,NA,0.4084,NA
DLGAP4,NA,NA,0.458,NA
DNAJC27,NA,NA,0.529833526247519,NA
DPH1,NA,NA,0.381892708952486,NA
DRG2,0.304,NA,NA,NA
ELF2,NA,NA,0.263346081857543,NA
EMSY,NA,NA,0.646999772925747,NA
ENAH,NA,NA,0.5948,0.4736
ERGIC3,NA,NA,0.468,0.315313905403683
EVC,NA,NA,0.713174336926097,NA
EXOC6B,NA,NA,0.394201668177252,NA
FAAP20,NA,NA,0.439,NA
FAM162A,0.316042385012033,NA,NA,NA
FAM174A,0.302543099531048,NA,0.256833460420405,NA
FAM86FP,NA,NA,0.323432908245431,NA
FBN2,0.748154577611698,0.689503472893666,0.74769005299323,0.727199859806109
FOXM1,0.457,NA,0.383345040032865,NA
GALC,0.462,NA,NA,NA
GCFC2,0.365807565930257,NA,NA,NA
GGCT,0.3812,NA,0.3817,0.3794
GNG12,NA,NA,0.712716247346651,0.522202183386192
GSDMB,0.408310001574108,NA,0.411736778974488,NA
HAUS3,NA,NA,0.5243,NA
HDX,NA,NA,0.594,0.398542361009589
HERC2P9,NA,NA,0.278685319202961,NA
HIKESHI,0.369,NA,NA,NA
HTT,NA,NA,0.682050726106487,NA
IFT27,NA,NA,0.339,NA
IFT80,NA,NA,0.34,NA
KDM6A,NA,NA,0.951,0.563
L3MBTL2.AS1,0.375,NA,NA,NA
LARP7,0.77,0.711,0.802,0.645
LARS1,NA,NA,0.345,NA
LINC02210,NA,NA,0.301,NA
LRRC42,NA,NA,0.707,0.59
LYRM1,NA,NA,0.61,0.337
MADD,NA,NA,0.489,0.303694938715382
MEDAG,NA,NA,0.273393761736858,NA
MFN2,0.3864,NA,NA,NA
MFSD13A,NA,0.4168621474492,NA,NA
MIR4435.2HG,NA,NA,NA,0.286340376687902
MLLT10,NA,NA,0.453295183110813,NA
MMS22L,NA,NA,0.479157504548387,NA
MYCBP2,NA,NA,0.488,0.327
NGF,0.557932602094686,0.316605428815716,0.482228557373436,NA
NOP56,NA,NA,0.253313032312443,NA
PDE7A,0.391775711056322,NA,0.903,0.786
PDXDC1,0.417331733850713,NA,0.846189367477779,0.491119383722376
PDXDC2P,0.7405,NA,0.9698,0.8334
PHEX,NA,NA,0.5555,NA
PITPNB,NA,NA,0.628547462335366,NA
PMS1,0.30167652602251,NA,NA,NA
PNISR,NA,NA,0.278641707282869,NA
POMT2,0.766,0.388,0.951,0.699
PPIEL,NA,0.419,NA,NA
PPIP5K2,NA,NA,0.293986917079954,NA
PRKACB,NA,NA,0.4434,NA
PRUNE2,0.494,NA,0.3,NA
RAP1A,NA,NA,0.326,NA
RAPGEF1,0.314,NA,NA,NA
RCC1,NA,NA,0.581205512091092,0.4615
RPL14,NA,NA,0.394753961104947,NA
SAR1A,0.7061,NA,NA,NA
SCLY,NA,NA,0.309,NA
SCO1,NA,NA,0.368,NA
SDCBP2.AS1,NA,NA,0.439,NA
SENP6,0.74,NA,0.4563,NA
SERGEF,0.253778290139916,NA,NA,NA
SF3B3,NA,NA,0.310118774548226,NA
SH3YL1,NA,NA,0.395,NA
SKP1,NA,NA,0.4635,NA
SLC25A17,0.399,NA,0.44,NA
SLC7A6,0.313667986220715,NA,0.591,0.314306558233458
SMN2,0.45,0.382,0.819,0.423
SNAP23,0.328,NA,NA,NA
SOS2,0.277630626748413,NA,NA,NA
SPIDR,NA,NA,0.697374270158046,NA
SREK1,NA,NA,0.586,NA
STRIP1,NA,NA,0.302,NA
STRN3,0.625,0.337,0.812,0.662
STRN4,NA,NA,0.262341555350979,NA
STXBP6,NA,NA,0.5067,NA
SYNE1,NA,NA,0.3943,NA
TAF2,NA,NA,0.732,0.494
TENT2,NA,NA,0.8625,NA
TET1,NA,NA,0.9271,NA
TEX26.AS1,0.4807,NA,0.7097,0.5499
THOP1,NA,NA,NA,0.322
TIAM1,NA,NA,0.572338858433696,0.506617378377761
TJP2,NA,NA,0.43205057919777,NA
TLR4,NA,NA,0.306,NA
TMEM50B,NA,NA,0.384202991334924,NA
TNRC6A,NA,NA,0.3622,NA
TPTEP2,0.792531134808141,0.5217,NA,NA
TRAF1,NA,NA,0.272101304552274,NA
TRIM65,NA,NA,0.337,0.337
URGCP,NA,NA,0.4605,NA
USP9Y,NA,NA,0.266536671043087,NA
VPS29,0.301,NA,0.66,0.46
WDR27,NA,NA,0.9009,0.509268732343192
WDR91,0.304616495223268,NA,NA,NA
WNK1,NA,NA,0.406764635359891,NA
XRN2,NA,NA,0.27522237393629,NA
ZFP82,NA,NA,0.57121899365258,0.365357015059967
ZNF350,NA,NA,0.292816805381457,NA
ZNF467,0.31,NA,NA,NA
ZNF618,NA,NA,0.436,0.27732381200751
ZNF680,NA,NA,0.35411332047478,NA
ZSCAN31,NA,NA,NA,0.314
