,dPSI_GM_BIO_1949634_10x_vs_GM_DMSO,dPSI_GM_BIO_1949634_3x_vs_GM_DMSO,dPSI_GM_BIO_2201042_10x_vs_GM_DMSO,dPSI_GM_BIO_2201042_3x_vs_GM_DMSO
ABCA6,NA,NA,0.340668984930265,NA
ABCB8,NA,NA,0.535,NA
AC006059.1,0.7794,0.4787,NA,NA
AC009022.1,0.775185753878901,0.28899811653141,0.88002314255589,NA
AC020915.3,NA,NA,0.298114018201677,NA
AC068547.1,NA,NA,0.6667,NA
AC093157.1,NA,0.349,NA,NA
ADGRL1,NA,NA,0.335383662603501,NA
ANKRD10,NA,NA,0.333131658653801,NA
ARL15,NA,NA,0.941,0.699
ARSJ,NA,NA,0.294432703084123,NA
ASAP1,NA,NA,0.969,0.485
ATG2B,NA,NA,0.26944309121473,NA
ATP6AP1L,NA,NA,0.310056944667179,NA
AXIN1,NA,NA,0.495,0.354717172975756
C12orf4,0.38622379738291,NA,0.632529949225102,NA
C14orf132,NA,NA,0.39,NA
CACNB1,NA,NA,0.345610466528441,NA
CACNB4,NA,NA,0.286765135387518,NA
CAND2,0.5425,NA,NA,NA
CAV1,NA,NA,0.285792770044734,NA
CCDC136,0.321,NA,NA,NA
CCT7,NA,NA,0.387,NA
CECR7,0.565000779241771,0.534367051673156,0.339694813283247,NA
CEMIP,0.4156,NA,0.4601,NA
CEP164,NA,NA,0.335,NA
CHD9,NA,NA,0.332077627548323,NA
CLK4,NA,NA,0.348,NA
CMAHP,0.295637183768856,NA,NA,NA
COPS7B,NA,NA,0.336,NA
CTNS,NA,NA,0.254936268686392,NA
DENND1A,0.26303378165052,NA,NA,NA
DENND5A,0.77,NA,NA,NA
DHFR,NA,NA,0.37092837677844,NA
DLGAP4,NA,NA,0.467,NA
DRG2,0.304,NA,NA,NA
ENAH,NA,NA,0.4247,NA
ERGIC3,NA,NA,0.503,NA
EVC,NA,NA,0.552718356906668,NA
EXOC6B,NA,NA,0.582,0.322480666197698
FAAP20,NA,NA,0.457,NA
FAM162A,0.316042385012033,NA,NA,NA
FAM174A,0.302543099531048,NA,NA,NA
FBN2,0.748154577611698,0.689503472893666,0.755828611238689,0.729046802731544
FCHO2,NA,NA,0.26411496660134,NA
FOXM1,0.457,NA,NA,NA
GALC,0.462,NA,NA,NA
GCFC2,0.365807565930257,NA,NA,NA
GGCT,0.3812,NA,NA,NA
GNG12,NA,NA,0.710895703547584,0.469871617065888
GSDMB,0.408310001574108,NA,NA,NA
GXYLT1,NA,NA,0.649742799297112,0.280407849588136
HAUS3,NA,NA,0.559,NA
HDX,NA,NA,0.366909198214698,NA
HIKESHI,0.369,NA,NA,NA
HTT,NA,NA,0.7393,0.282505304673228
IL6ST,NA,NA,0.5,NA
IMMP1L,NA,NA,NA,0.321
KDM6A,NA,NA,0.627,0.4401018786944
L3MBTL2.AS1,0.375,NA,NA,NA
LARP7,0.77,0.711,0.783,0.76
LINC00707,NA,NA,0.472,NA
LINC02210,NA,NA,0.419719490500649,NA
LRRC42,NA,NA,0.631,0.409
LYRM1,NA,NA,0.508,NA
MADD,NA,NA,0.371,NA
MFN2,0.3864,NA,NA,NA
MFSD13A,NA,0.4168621474492,NA,NA
MLLT10,NA,NA,0.448380086136342,NA
MMS22L,NA,NA,0.281697290179557,NA
MSL3,NA,NA,NA,0.339
MYCBP2,NA,NA,0.409,NA
NGF,0.557932602094686,0.316605428815716,0.290520969809622,NA
NUP58,NA,NA,0.36,NA
PDE7A,0.391775711056322,NA,0.830096370342152,0.390980825874522
PDXDC1,0.417331733850713,NA,0.637343365995302,NA
PDXDC2P,0.7405,NA,0.8742,NA
PMS1,0.30167652602251,NA,NA,NA
PNISR,NA,NA,0.508532916214218,0.332954860612224
POMT2,0.766,0.388,0.834,0.511
PPIEL,NA,0.419,NA,NA
PPIP5K2,NA,NA,0.262086600299186,NA
PRUNE2,0.494,NA,NA,NA
RAPGEF1,0.314,NA,NA,NA
RCC1,NA,NA,0.4732,0.3729
SAR1A,0.7061,NA,NA,NA
SCLY,NA,NA,0.439,NA
SDCBP2.AS1,NA,NA,0.427,NA
SENP6,0.74,NA,NA,NA
SERGEF,0.253778290139916,NA,NA,NA
SH3YL1,NA,NA,0.457,NA
SKP1,NA,NA,0.508,0.365
SLC25A17,0.399,NA,NA,NA
SLC7A6,0.313667986220715,NA,0.304,NA
SMN2,0.45,0.382,0.358,NA
SMTN,NA,NA,0.318,NA
SNAP23,0.328,NA,NA,NA
SOS2,0.277630626748413,NA,NA,NA
SPIDR,NA,NA,0.536873912999147,NA
STRN3,0.625,0.337,0.693,0.376
TAF2,NA,NA,0.556,0.354
TENT2,NA,NA,0.335020835599817,NA
TEX26.AS1,0.4807,NA,0.5267,0.6225
TIAM1,NA,NA,0.601205061196195,0.434921942823452
TMEM50B,NA,NA,0.266277825084654,NA
TPTEP2,0.792531134808141,0.5217,NA,NA
TRIM65,NA,NA,0.332,0.324
UBP1,NA,NA,0.261330782565315,NA
VPS29,0.301,NA,0.616,0.445
WDR27,NA,NA,0.493,NA
WDR91,0.304616495223268,NA,NA,NA
XRN2,NA,NA,0.305862426474757,NA
ZFP82,NA,NA,0.467703903165384,NA
ZMYM2,NA,NA,0.25063780954569,NA
ZMYM6,NA,NA,0.41125876655875,NA
ZNF25,NA,NA,0.274782841911525,NA
ZNF467,0.31,NA,NA,NA
ZNF618,NA,NA,0.337,NA
