UniqueID,Gene.Name,DMSO-CHX__vs_DMSO_logFC,P.Value.x,Adj.P.Value.x,U1-WT100-CHX_vs_DMSO_logFC,P.Value.y,Adj.P.Value.y,U1-WT100-CHX_vs_DMSO-CHX_logFC,P.Value.x.1,Adj.P.Value.x.1,U1-WT100-CHX_vs_WT100_logFC,P.Value.y.1,Adj.P.Value.y.1,U1-WT100-EtOH_vs_DMSO_logFC,P.Value.x.2,Adj.P.Value.x.2,U1-WT500-CHX_vs_DMSO_logFC,P.Value.y.2,Adj.P.Value.y.2,U1-WT500-CHX_vs_DMSO-CHX_logFC,P.Value.x.3,Adj.P.Value.x.3,U1-WT500-CHX_vs_WT500_logFC,P.Value.y.3,Adj.P.Value.y.3,U1-WT500-EtOH_vs_DMSO_logFC,P.Value,Adj.P.Value
ENSG00000197386.12,HTT,-1.1432639764772,6.22738441627193e-26,2.00546687741621e-23,-1.12857304492795,3.43027019875788e-25,9.42920743458564e-23,NA,NA,NA,-0.874560741931439,1.74736987419444e-14,6.4042829395172e-13,NA,NA,NA,-1.04901257654258,2.15175481387568e-21,2.77921572297002e-19,NA,NA,NA,-0.882033895227979,1.77568883149186e-14,7.54812878240708e-13,NA,NA,NA
ENSG00000111206.13,FOXM1,-0.501912754105707,3.74256858854876e-06,2.7492171264969e-05,-0.527315665679047,5.96607121177626e-07,5.36969390844192e-06,NA,NA,NA,-0.520201240553364,5.1899441027374e-07,4.73923326704788e-06,NA,NA,NA,-0.504395744087927,3.33675711890511e-06,2.63374819257892e-05,NA,NA,NA,-0.524706264689449,1.14534454294667e-06,1.01666691458254e-05,NA,NA,NA
ENSG00000113318.11,MSH3,0.438024073817637,0.000909037447453111,0.00419407477905157,0.403550927577859,0.00436023036250934,0.0179392115548566,NA,NA,NA,0.453186863209335,0.000290453267584848,0.00154995970274026,NA,NA,NA,0.365984073045552,0.0194259773819958,0.0666565750401113,NA,NA,NA,0.354233383513048,0.0290054358644135,0.0945436292082562,NA,NA,NA
