"","dPSI_NGN2_2195327_10x"
"PPIP5K1",0.918986510947136
"POMT2",0.879
"DENND1A",0.843314989733011
"LIMCH1",0.837
"HTT",0.821235361032892
"WDR27",0.79051960094557
"ABCB8",0.78
"HDX",0.741
"EVC",0.729018532430932
"PDE7A",0.721
"RAF1",0.692
"LRRC42",0.676
"C12orf4",0.66369760712933
"CACNA1C",0.653
"LINC02210",0.652380101585492
"DHFR",0.650488999596909
"AXIN1",0.64
"STRN3",0.638
"TAF2",0.621
"GARNL3",0.617587258506241
"CLASP2",0.606945188289451
"KDM6A",0.605
"ZMYM6",0.59007159310172
"LRIG2",0.58157557871552
"GRIA1",0.573698566639857
"WDR17",0.561
"PHOX2B-AS1",0.560559791505868
"EXOC6B",0.56
"ASCC3",0.557548828113951
"TIAM1",0.554604314289134
"DLGAP4",0.546
"ZFP82",0.544287095547042
"RBBP8",0.542941455860041
"STXBP5L",0.533
"SETX",0.531868732778847
"AC136604.3",0.523117887444841
"PDXDC1",0.519434386209628
"FHOD3",0.519433650706719
"GCFC2",0.517491780543395
"MANBA",0.487
"LIN37",0.486
"CHRM2",0.477715653952418
"TRAPPC2L",0.475174965951611
"ERCC8",0.475008016916335
"ENAH",0.474753782600131
"ARMH3",0.470464709634454
"TENT2",0.468930813276153
"NKAIN2",0.462343137079561
"USP9Y",0.460056623028016
"CDCA4",0.456784492440621
"MELTF",0.455294071524144
"AC138894.1",0.452
"MACROD2",0.444502638983654
"GPHN",0.443039024077502
"GXYLT1",0.441104068588633
"LYRM1",0.438
"AC114490.2",0.430494870154292
"GAS8",0.426478191894963
"SMAD1",0.42323078144982
"CHEK1",0.418378025380286
"CNGA3",0.4143749441031
"AC068547.1",0.407515465046822
"HAUS3",0.405879071857456
"CLN3",0.404
"SKP1",0.398
"TMEM116",0.391
"CRYL1",0.39
"ENOX1",0.383654025786895
"RAP1A",0.381
"LARP7",0.378
"TRIM65",0.377
"BECN1",0.376664502248501
"KLHL1",0.374841776643864
"CDC37L1",0.373979661010798
"VPS29",0.3731598297455
"GALC",0.373
"STIM2",0.373
"ELMO2",0.372
"DPY30",0.370546888947695
"RAPGEF1",0.37
"STRN",0.368271955956501
"FAAP20",0.366
"CACNB4",0.364832019605602
"MEMO1",0.36355133118571
"PNISR",0.357825180566191
"SULF1",0.357745872554091
"KIAA0895L",0.357670155684467
"PCDH10",0.357183163075362
"FGD4",0.35714394429615
"C14orf132",0.352
"WNK1",0.348043295872089
"NUP58",0.348
"APLP2",0.347
"INO80E",0.347
"SERGEF",0.347
"TSPAN7",0.345158171605887
"ARL15",0.343
"DDX27",0.34
"SLC25A17",0.335
"STOX2",0.333033304723588
"CLK4",0.326
"NLGN1",0.320878762490482
"PRUNE2",0.319
"TPTEP2",0.317027876596786
"ADAM17",0.317
"ZNF618",0.316
"SENP6",0.315
"APIP",0.313709348302838
"MYCBP2",0.304
"ZMIZ2",0.303
"ATR",0.302
"COPS7B",0.301
"TET1",0.294670148882377
"FNIP2",0.290088887289231
"STRN4",0.288667024523537
"LINC01011",0.286481682564319
"CSTF3",0.279981398995966
"TMEM50B",0.279336489960488
"ATP8A2",0.274122569172352
"ADGRL1",0.269704439556376
"MAP6",0.26681190919475
"GNAQ",0.266243421828951
"DNAJC27",0.266145606635543
"MAN1B1",0.263893645643191
"SCO1",0.262612606567782
"AC022433.1",0.260974946850619
"TSTD3",0.259290238515577
"PACSIN2",0.259006620261296
"PRKG1",0.254770172450249
"PTPRT",0.252781951183653
"SF3B3",0.252269705788829
"TUBA1C",0.251738143446479
