"","dPSI_Sy5Y_2194943_3x"
"ASAP1",0.668
"LARP7",0.61
"ARL15",0.558874131690751
"HDX",0.505
"CALM3",0.454
"CHRM2",0.451811670346698
"KCNT2",0.423
"ERGIC3",0.412
"LRRC42",0.411
"LIMCH1",0.41
"STRN3",0.405
"POMT2",0.401473086959139
"ASAP2",0.391
"LYRM1",0.383
"CAPS2",0.368
"PDE7A",0.365
"MAOA",0.36
"TAF2",0.353446779850747
"CACNA1B",0.344939030598774
"MADD",0.33773375161696
"PHOX2B-AS1",0.324137989112542
"EXOC6B",0.315253620779179
"ZNF37BP",0.299149340011315
"KDM6A",0.296330849670458
"SLC25A17",0.286207269105665
"SMN2",0.269551079195022
"ENAH",0.252791398503281
