"","dPSI_iPSC_2189972_3x"
"DLGAP4",0.651
"ARL15",0.614
"HDX",0.593
"COG4",0.499927267568269
"POMT2",0.499
"ASAP1",0.491
"CLK4",0.468
"HARS1",0.467
"AC104109.3",0.458275024595407
"RASSF8-AS1",0.45
"FAM221A",0.44
"LARP7",0.438
"PDE7A",0.435
"CPAMD8",0.434
"LRRC42",0.414
"KDM6A",0.409
"PSME2",0.403
"MADD",0.396
"MYCBP2",0.378
"TAF2",0.377
"NAV2",0.374
"GRAMD2B",0.367536777455593
"SENP6",0.365643933646355
"IFT27",0.364
"ZFP82",0.359380654407033
"SKP1",0.35
"VDAC1P8",0.348
"GUSBP11",0.344
"JMJD7-PLA2G4B",0.339
"XPO1",0.335
"STRN3",0.319
"MUC3A",0.318
"ABCB8",0.316
"NOD1",0.315
"SCHIP1",0.305
"EXOC6B",0.301584696439052
"C12orf4",0.292768800074213
"VPS29",0.288753296347293
"ZNF618",0.268398603108738
