"","dPSI_iPSC_2189972_10x"
"ZNF37BP",0.952466696027426
"ASAP1",0.947
"ARL15",0.942
"POMT2",0.873
"ANKRD18CP",0.779160338571702
"C12orf4",0.766461335318391
"KDM6A",0.749
"LARP7",0.725
"GRAMD2B",0.723
"PDE7A",0.72
"FBN2",0.701642160428889
"ZFP82",0.699441616639256
"AC009022.1",0.671779084769731
"NAV2",0.643
"LRRC42",0.637
"TPTEP2",0.629
"CRYM",0.627371456241105
"LYRM1",0.61
"C14orf132",0.604594004531235
"HDX",0.604
"PDXDC2P",0.60364466155518
"HAUS3",0.598498596542502
"GALC",0.577
"HTT",0.570012320841367
"ABCB8",0.542
"AC104109.3",0.537224203181214
"SPIDR",0.522037626270053
"ERGIC3",0.522
"ZNF66",0.511541453788622
"LINC02210",0.506409054602876
"BECN1",0.505269513827962
"DYRK1A",0.505118104026082
"EXOC6B",0.505
"SKP1",0.50301122438995
"ZNF730",0.500568767635732
"RASSF8-AS1",0.495
"VPS29",0.495
"DHFR",0.493513832403063
"TAF2",0.485
"LARS1",0.481
"AC138894.1",0.478
"EVC",0.473471524204413
"WDR27",0.46414036741554
"SENP6",0.463
"RPS9",0.456955770742932
"TIAM1",0.450931490879688
"EMSY",0.448903289604164
"CLASP2",0.444
"MYCBP2",0.444
"STXBP6",0.441532641703916
"DLGAP4",0.430648601670153
"ZNF138",0.427061162466343
"CLN3",0.419
"FOXM1",0.416
"ENAH",0.414908274044381
"SPG7",0.413
"RAF1",0.412017380759487
"ADAL",0.410748575335791
"XPO1",0.41
"AXIN1",0.405
"MADD",0.405
"NUP58",0.400321876376511
"KIF21A",0.39987612350195
"DRG2",0.398
"TENT2",0.392081969172719
"CCT7",0.385
"ANXA11",0.382
"APLP2",0.382
"TCF4",0.380992321976724
"CENPI",0.375692007020422
"FAM174A",0.372763161476194
"MATK",0.370596030847805
"STOX2",0.368955098996728
"ARMCX6",0.367533910680098
"PLCH1",0.35346303807237
"MMS22L",0.350672916621599
"RAB2B",0.348679954324669
"FAM162A",0.347587223741669
"GXYLT1",0.34302573874174
"RCC1",0.342515380983381
"LINC01881",0.338988801040429
"TRIM27",0.337
"DENND5A",0.336210414514613
"CDC37L1",0.335190577823412
"FAAP20",0.335
"IGFLR1",0.335
"GGCT",0.332
"SF3B3",0.330511229063755
"MAN1B1",0.32550211239697
"MANBA",0.323
"TSNARE1",0.322
"POLR2J3",0.318
"STRN3",0.318
"GRB10",0.317
"KIAA1549L",0.317
"ADAMTS19",0.315
"ZNF618",0.315
"ADGRL1",0.31157960664226
"TMEM50B",0.31
"SLC25A17",0.309
"ZNF680",0.30758172876278
"ELMO2",0.302
"TMEM214",0.301347939970265
"EPM2A",0.299621610646268
"PNISR",0.285105411491465
"PRKACB",0.285028686056285
"WNK1",0.28146306145181
"DPH1",0.280032081092864
"PDXDC1",0.279253121531095
"KRT8",0.277264924005671
"APIP",0.269948039381101
"GCFC2",0.269056064734709
"XRN2",0.265404176936971
"MLLT10",0.263468660904104
"ANKHD1",0.257648201904538
"ODR4",0.254408257561795
