"","dPSI_Sy5Y_2006152_10x_bridge"
"KCNT2",0.955
"C12orf4",0.934018337864816
"POMT2",0.932
"GALC",0.926
"OCLNP1",0.893317763185275
"ASAP1",0.884
"OCLN",0.874637156292639
"EVC",0.842076379209068
"RAPGEF1",0.829
"WDR27",0.806338142243349
"PDE7A",0.797
"MAOA",0.785
"LINC02210",0.779516193570267
"HTT",0.777436340524672
"AL589743.1",0.757404322399355
"TPTEP2",0.746505266621243
"KDM6A",0.738
"ERBB4",0.729618804806768
"FOXM1",0.72
"EXOC6B",0.717
"ZNF66",0.712095798477952
"EHHADH",0.705
"CACNA2D1",0.697960331318398
"NIPA1",0.696
"LYRM1",0.686
"STOX2",0.684793281164451
"SPRY4-AS1",0.678625557043952
"TAF2",0.678
"ASAP2",0.674
"LRRC42",0.674
"MADD",0.656
"SENP6",0.656
"GXYLT1",0.654101776706963
"MTMR3",0.649602219455003
"CEP162",0.647251820340633
"TMEM214",0.64667155833385
"ZMYM6",0.642907520467469
"GCFC2",0.637068215506529
"AXIN1",0.636
"FHOD3",0.635492176867184
"MMS22L",0.633068042811113
"HDX",0.609
"CENPI",0.608981528088711
"RAB2B",0.608111114060394
"NUP58",0.602
"DHFR",0.597807388423344
"LRGUK",0.595272949482625
"PSMA1",0.595023221445527
"MACROD2",0.592984480950064
"SPIDR",0.590571933666506
"DYRK1A",0.587055652542191
"MELTF",0.582625646687065
"APPL2",0.582102363411757
"ZNF266",0.58018703772199
"LINGO2",0.578188899160263
"C14orf132",0.578
"DUXAP9",0.576139735215793
"AC022433.1",0.565200684503509
"APLP2",0.565
"WDR17",0.559
"PNISR",0.5542893952548
"ERGIC3",0.547
"LIMCH1",0.545
"SHOC2",0.537283937828701
"PPP1R26",0.531187777004276
"TCF4",0.529136311213357
"ZNF730",0.52364879986338
"XRN2",0.523126099353859
"BECN1",0.522559360730244
"ELMO2",0.521
"MIR9-3HG",0.519683734624546
"ABCB8",0.519
"AC114490.2",0.517091103003167
"RNF213",0.516747403965193
"GNAQ",0.516367491226901
"PPP1R3B",0.513790197770816
"RPS10",0.51252621463821
"ZFP82",0.512244050774306
"AGTR1",0.51029867177341
"ENAH",0.500329762137222
"ZNF37BP",0.495585288840336
"RAF1",0.493
"AC091057.6",0.48317874296472
"SKP1",0.483029882513459
"PRICKLE1",0.482247602680401
"HSPA1L",0.481283385661878
"DENND1B",0.481208945214457
"HAUS3",0.480331584044122
"LRIG2",0.480315825517808
"RAP1A",0.48
"AL713999.1",0.475956008265223
"WNK1",0.47353978707712
"NCAM1",0.471059026296539
"FAM162A",0.471
"MYCBP2",0.47
"GARNL3",0.469
"VPS29",0.469
"SMN1",0.459634768580327
"SNX24",0.458205381362633
"ZNF680",0.454440102019737
"TENT2",0.45436381240966
"ZMIZ2",0.453
"TARBP1",0.45
"SDCBP2-AS1",0.449
"TNRC6A",0.448706555156205
"MFN2",0.447
"ADAM17",0.446901861490331
"CIP2A",0.445241640144354
"PRKACB",0.44514295676809
"FAAP20",0.438
"RNF144A",0.433979756185709
"TP53INP1",0.433
"ODR4",0.432634851145569
"TSPAN7",0.432
"DLGAP4",0.431221198995663
"SF3B3",0.430573980976784
"CMTM8",0.430293616467898
"TET1",0.428193788198029
"ZNF618",0.426
"PHOX2B-AS1",0.425308051642748
"RELA-DT",0.424
"IRAK4",0.423926677799525
"PDE3A",0.421873327241744
"GGCT",0.418
"PPIP5K2",0.413616572620872
"MAZ",0.411090031064842
"AC008581.2",0.404192966278559
"CLK4",0.403
"DCAF17",0.402753132760624
"IQCH-AS1",0.39662009656039
"MYT1L",0.391633704315807
"CEP57",0.391591625069723
"DENND5A",0.39
"KIF21A",0.389616540127972
"MAPK10",0.389519605679761
"CPLX2",0.384665914346699
"HACL1",0.383836270728474
"RCOR3",0.383288432507822
"COPS7B",0.38
"GLMP",0.376239320872823
"SGIP1",0.375253566733063
"NOX4",0.373296735693687
"SOS2",0.371808349287577
"TMEM50B",0.37
"PIGN",0.369
"SAR1A",0.366477135328376
"GPSM2",0.365789022009444
"SMN2",0.365214650503581
"CHEK1",0.363
"SH3YL1",0.36
"SLC25A17",0.36
"WNK3",0.358749495762462
"CHD9",0.355783499708802
"ATG2B",0.352148302372824
"MLLT10",0.346160656419515
"TIAM1",0.346064434503627
"ABHD10",0.344741611513388
"ADGRL1",0.342965914161857
"RCC1",0.341012862758134
"TEX21P",0.341
"ADAM23",0.34
"TVP23A",0.336
"CACNA1B",0.335687420966971
"ARMCX6",0.332
"FRYL",0.331768429594105
"TRAPPC13",0.33
"STRN",0.32869348292596
"SORCS1",0.327964960078138
"MYT1",0.327
"LARP7",0.326
"AC090825.1",0.325542863059478
"MRPL39",0.32423340886059
"ARL15",0.324
"MZF1",0.324
"EMSY",0.323348511903209
"LCMT1",0.321
"STRN3",0.319
"SNHG14",0.318
"SCO1",0.316256581460947
"RAB23",0.316198787968992
"SLC7A6",0.316009488713906
"MSL3",0.313
"ARHGAP5",0.31236977834611
"FAM174A",0.312
"BPHL",0.311
"THRAP3",0.31
"SREK1",0.309
"PRRC2B",0.306024954211457
"FGD4",0.304
"ARPP19",0.3
"TPT1-AS1",0.299720645358545
"HSD17B4",0.291496325172949
"MAN1A2",0.289803692260837
"PITPNB",0.283525198866947
"DPH1",0.282468252397529
"DIPK1B",0.281199323973466
"PRPF31",0.277022400907819
"STXBP1",0.276419810379701
"SLC12A2",0.269850158266582
"SERGEF",0.269643382178837
"CHRM2",0.267994910301502
"MDN1",0.265619624589213
"MAN1B1",0.264324279102514
"VAV2",0.26373480925418
"ZNF726",0.263650092920185
