"","dPSI_Sy5Y_2006152_3x_bridge"
"KCNT2",0.853
"ASAP1",0.838
"POMT2",0.724
"C12orf4",0.705351368757734
"TPTEP2",0.703651122935926
"AL589743.1",0.688619602660488
"WDR27",0.664593293251251
"ASAP2",0.618
"HDX",0.613
"PDE7A",0.606
"AC009022.1",0.574811096995502
"ERBB4",0.56913835565642
"PDXDC2P",0.567737751556846
"TENT2",0.553946050993936
"LYRM1",0.551
"LRRC42",0.537
"CHRM2",0.536586978311788
"MELTF",0.519092671525277
"ERGIC3",0.51
"LIMCH1",0.51
"LINC02210",0.503898529498756
"LARP7",0.499
"OCLN",0.491540198538481
"TAF2",0.488
"NCAM1",0.47518872145458
"OCLNP1",0.474136628595926
"ZNF37BP",0.470950919218425
"SKP1",0.464055134651698
"SMN1",0.459784510051046
"ZMIZ2",0.458
"MAOA",0.454
"EHHADH",0.453
"EVC",0.450585310385712
"DENND5A",0.445
"EXOC6B",0.444
"FOXM1",0.442
"DUXAP9",0.441849840144773
"AL713999.1",0.437349367762881
"APPL2",0.432444169889419
"WNK3",0.42809742574513
"KDM6A",0.422
"MADD",0.42
"VPS29",0.419
"MACROD2",0.415598201890535
"MYCBP2",0.415
"SENP6",0.401
"MED17",0.395
"TARBP1",0.391484860874909
"PHOX2B-AS1",0.376724618942392
"SDCBP2-AS1",0.374
"GGCT",0.359
"C14orf132",0.357
"FAAP20",0.357
"RAP1A",0.353
"SMN2",0.352769921500708
"NIPA1",0.352
"NOX4",0.347237606058578
"HTT",0.346768310516542
"TP53INP1",0.339
"APLP2",0.336
"SORCS1",0.33296104365886
"NUP58",0.33
"MMS22L",0.326949761302352
"PNISR",0.324797371151292
"AXIN1",0.324
"DNAJC27",0.323202519662737
"CEP192",0.323
"STRN3",0.314
"ARL15",0.309
"SLC25A17",0.307
"RAF1",0.304339242586631
"PRICKLE1",0.303657147706179
"GXYLT1",0.301085796660178
"MIR9-3HG",0.301
"ENAH",0.2992381121521
"TMEM214",0.297612348860219
"TCF4",0.296987373628279
"ZNF618",0.291286673151645
"ZMYM6",0.284577414532971
"MAZ",0.282500800748722
"ZFP82",0.282019296652253
"PPP1R26",0.280401123913156
"GCFC2",0.276148094607834
"DLGAP4",0.272347455138594
"DHFR",0.261596922562442
"ARMCX6",0.259663849833844
"TIAM1",0.257241550049814
"FAM162A",0.251397877804793
"CACNA2D1",0.25116242046114
