"","dPSI_NGN2_2195127_3x"
"PPIP5K1",0.896645044449582
"LIMCH1",0.807
"ARL15",0.668
"EVC",0.65415763157083
"AC136604.3",0.590891046663955
"SKP1",0.5635323953712
"DENND1A",0.539829228270129
"LINC02210",0.506896223392456
"PHOX2B-AS1",0.471135790153782
"POMT2",0.453
"APBB2",0.452506001165315
"DMAC2L",0.404
"LARP7",0.403
"LRRC42",0.4
"PDE7A",0.398
"WDR17",0.39
"GXYLT1",0.388319465192815
"DLGAP4",0.387
"HDX",0.386
"DHFR",0.377634689822563
"CLASP2",0.37275084918994
"STXBP5L",0.372
"ABCB8",0.368
"EXOC6B",0.366850635763778
"SNHG17",0.366
"MANBA",0.364
"TAF2",0.363
"ZMYM6",0.362075734466091
"TRIM65",0.353
"RAF1",0.335
"KLHL1",0.334278213535935
"SULF1",0.329646600535198
"TENT2",0.328558710982312
"NUP58",0.327996016783285
"SENP6",0.326799908094006
"STRN3",0.315
"AC138894.1",0.313
"ZFP82",0.295594034239268
"PNISR",0.294345764513897
"ADAM17",0.284096868473541
"ENAH",0.275592851132159
"STRN",0.256018295564858
"AXIN1",0.253683932664095
