"","dPSI_iPSC_2195127_10x"
"ARL15",0.946
"ASAP1",0.929
"POMT2",0.822
"ZNF66",0.784632343481966
"ZNF37BP",0.749678356076831
"EXOC6B",0.736
"C12orf4",0.715959847293871
"GRAMD2B",0.705
"FBN2",0.687050418098508
"KDM6A",0.669
"LINC02210",0.666706597231463
"PDE7A",0.666
"EVC",0.650282496320697
"LRRC42",0.623
"HDX",0.603
"ZNF730",0.594234898722523
"ZFP82",0.592212865641134
"HAUS3",0.581378415644637
"CRYM",0.579310023617153
"NAV2",0.566
"C14orf132",0.551113874956053
"HTT",0.549951452312963
"AC104109.3",0.549521754751883
"ERGIC3",0.543
"LYRM1",0.534
"TAF2",0.512
"VPS29",0.509
"GXYLT1",0.507881456227981
"CLASP2",0.503823299296585
"ARHGEF35",0.502034502915773
"PNISR",0.497537897546846
"AC138894.1",0.476
"MAN1B1",0.461839272032838
"NUP58",0.459
"ZNF138",0.450036720368877
"TNFRSF25",0.449151240092607
"RASSF8-AS1",0.448
"BECN1",0.432790242187964
"ADAMTS19",0.432658125736335
"SPIDR",0.430663539707285
"TPTEP2",0.423
"GALC",0.42
"HSD17B4",0.419675676088801
"CCT7",0.419
"PDXDC2P",0.416140023707039
"AC009022.1",0.415128327822913
"SPG7",0.413
"TENT2",0.412780169298457
"CLN3",0.403
"CACNA2D1",0.401906654752748
"DYRK1A",0.400491072599857
"TIAM1",0.400001836182341
"AXIN1",0.393
"XPO1",0.391
"MADD",0.39
"SMTN",0.39
"DHFR",0.389861277807921
"MYCBP2",0.386
"FOXM1",0.384444258973705
"SKP1",0.38
"ZMYM6",0.377252362852285
"MMS22L",0.372700588428629
"SENP6",0.369
"ABCB8",0.365
"LINC00678",0.36476973883264
"KIF21A",0.358604279333667
"LINC00632",0.349
"ENAH",0.347303270256247
"RCC1",0.338890714987013
"FAM221A",0.338
"SH3YL1",0.338
"FAAP20",0.333
"ODR4",0.332591917713784
"LARP7",0.332
"GGCT",0.331
"ZNF618",0.33
"RAF1",0.325
"PLCH1",0.324296092149196
"ANKRD18CP",0.322537123842766
"AMT",0.321
"INTS3",0.321
"ZNF577",0.321
"TMEM214",0.317075711155572
"ELMO2",0.316
"LARS1",0.314
"LINC00337",0.31
"DLGAP4",0.309
"TCF4",0.308351872732312
"ANXA11",0.308
"ARMCX6",0.307574783149307
"STRN3",0.307
"PRELID2",0.305730055901392
"TMEM50B",0.305088077648237
"ASAP2",0.302319223358891
"ADNP-AS1",0.293285289594531
"SF3B3",0.29261548440359
"STOX2",0.265808543339882
"DLG5",0.263692490880495
"RBBP8",0.25579259888979
"ZNF43",0.254465579264444
"PDXDC1",0.251602283194123
