"","dPSI_iPSC_2194943_10x"
"ASAP1",0.956
"ZNF37BP",0.905856101157098
"ARL15",0.902
"POMT2",0.745
"PDE7A",0.682
"KDM6A",0.675
"ADAMTS19",0.66922677504723
"LARP7",0.667
"NAV2",0.651
"AC104109.3",0.62752464960152
"LRRC42",0.622
"ZFP82",0.612366249828961
"HDX",0.609
"FBN2",0.589103175288847
"GRAMD2B",0.58
"LINC02210",0.570141459548111
"C12orf4",0.565809141836383
"SPIDR",0.551556457479491
"HTT",0.550884419085467
"CRYM",0.543525198279754
"KCNT2",0.542020308361277
"EXOC6B",0.524
"HAUS3",0.515138424488005
"MATK",0.514046238929219
"TAF2",0.511
"AC009022.1",0.499949820958017
"CLASP2",0.496756537043943
"C14orf132",0.493737232871149
"AC138894.1",0.489
"LYRM1",0.477
"PDXDC2P",0.467457293981808
"SENP6",0.460398061394269
"ERGIC3",0.444
"AC104304.2",0.442797880998663
"VPS29",0.434
"ZNF730",0.432612048667408
"BECN1",0.427966957192126
"LARS1",0.427
"XPO1",0.427
"POLM",0.42245069470024
"CLN3",0.412
"CCT7",0.407
"ANXA11",0.406
"LINC00678",0.40211109282405
"MADD",0.395
"ENAH",0.394177631725775
"AXIN1",0.389
"DHFR",0.384881135718888
"ABCB8",0.38
"MYCBP2",0.368
"TPTEP2",0.368
"FAM221A",0.359
"HARS1",0.359
"SLC25A17",0.359
"FOXM1",0.358843813901765
"TIAM1",0.358712138114911
"RASSF8-AS1",0.351
"NUP58",0.350212835846794
"KIAA1549L",0.348
"GGCT",0.345
"GUSBP11",0.343
"SKP1",0.332
"RCC1",0.33153400290226
"DLGAP4",0.331239867321256
"RAB2B",0.324307402570718
"RAF1",0.321034946825552
"INTS3",0.321
"ASCC3",0.318645346243401
"EMSY",0.316949247385152
"STRN3",0.316
"CD27-AS1",0.311
"ZNF618",0.304
"ARMCX6",0.302920606538003
"TENT2",0.300639413241464
"FAAP20",0.300599813319992
"PLCH1",0.296340893107429
"CHD9",0.295153580716716
"SF3B3",0.29073106623524
"PDXDC1",0.28689577413222
"TCF4",0.280050973975038
"WNK1",0.278048693413688
"FAM162A",0.277433692862939
"CDC37L1",0.270368169969454
"STOX2",0.269486587934942
