"","dPSI_Sy5Y_1755497_3x_bridge"
"MELTF",0.753328587908288
"AL589743.1",0.663348460583665
"C12orf4",0.641734859152667
"ASAP1",0.636
"POMT2",0.569
"TPTEP2",0.555121975070284
"ARL15",0.500008842542896
"LIMCH1",0.447
"ZNF37BP",0.439549576969073
"AC093752.1",0.438330348844775
"ERGIC3",0.433
"CACNA2D1",0.430959030054178
"HDX",0.429
"ASAP2",0.426
"DUXAP9",0.422132079661256
"TTLL3",0.416
"PDE7A",0.415
"FAAP20",0.414
"WDR27",0.409448294800826
"KDM6A",0.403718867948228
"LYRM1",0.393
"HTT",0.386714548929272
"LRRC42",0.384
"SKP1",0.378502679419627
"STRN3",0.374
"LINC02210",0.373569537712055
"GALT",0.356
"VPS29",0.354
"TAF2",0.352
"MAOA",0.350767190552462
"CERS5",0.346
"MYCBP2",0.338
"EXOC6B",0.337152058619072
"ZMIZ2",0.334
"LARP7",0.318
"GXYLT1",0.316955088081114
"RBM8A",0.316116740548923
"KCNT2",0.304
"MADD",0.302
"TARDBP",0.301340073299404
"CLASP2",0.29776879703035
"NUP58",0.29754052259538
"ZNF618",0.292051272171638
"TENT2",0.274642009208106
"FOXM1",0.269871769797563
"DLGAP4",0.262143430170562
"SMN2",0.261266771396892
"PNISR",0.259540077690033
"AXIN1",0.251742579653563
