"","dPSI_NGN2_2194943_10x"
"POMT2",0.933
"PPIP5K1",0.921054813730282
"WDR27",0.900823653368668
"PDE7A",0.895
"GCFC2",0.87818016196999
"EVC",0.866028716881375
"HDX",0.862
"USP9Y",0.848422390412964
"ASCC3",0.840984071404933
"LIMCH1",0.825
"DHFR",0.820034948450066
"ABCB8",0.814
"RBBP8",0.804
"TET1",0.790061714889482
"AXIN1",0.79
"LINC02210",0.789758070705383
"PDXDC1",0.788214721090039
"RAF1",0.76
"NUP58",0.758
"TAF2",0.748
"GARNL3",0.711649514757136
"KDM6A",0.708
"XRN2",0.70669070083024
"LRRC42",0.705
"CNGA3",0.701591044792706
"FHOD3",0.696428555572779
"PIGN",0.686503746675115
"HTT",0.684542375331839
"AC136604.3",0.677264039589645
"CLK4",0.672
"EXOC6B",0.663
"CDCA4",0.653828537696954
"STRN3",0.652
"ZFP82",0.646941974087212
"TIAM1",0.646449792566748
"SETX",0.642039578642093
"AC114490.2",0.636636238940794
"CDC37L1",0.63080386103346
"CACNA1C",0.63
"PHOX2B-AS1",0.619287406620216
"ENAH",0.619157500007164
"GRIA1",0.617182209658372
"LRIG2",0.60674964731759
"ENOX1",0.602296345031488
"WDR17",0.592
"HAUS3",0.586264211705943
"AC026786.1",0.581399769110254
"SCARB1",0.581
"DLGAP4",0.575
"GALC",0.575
"RAPGEF1",0.571
"AC068547.1",0.558358322596167
"LARP7",0.556
"PCDH10",0.550842406975027
"NLGN1",0.547305378447512
"TENT2",0.543623733681834
"LYRM1",0.535
"PMS1",0.527287422210198
"DYRK1A",0.52012505825232
"SDCBP2-AS1",0.511
"PSMA1",0.507855480834748
"SULF1",0.506362320873989
"MACROD2",0.502788782143596
"ZNF730",0.500010968078455
"APLP2",0.496
"EMSY",0.488823102414672
"CACNB4",0.483339834853051
"ARMH3",0.481584890890199
"ANP32A",0.479770520673227
"GXYLT1",0.478018561154617
"STXBP5L",0.459157930824814
"ADAM17",0.456
"NKAIN2",0.453065156447965
"ZMYM6",0.450298046048236
"WNK1",0.44930799796489
"AC138894.1",0.447
"COPS7B",0.445
"FAM162A",0.437974585228231
"PNISR",0.434039125280962
"ZNF618",0.432
"C12orf4",0.430502826154061
"ABCC8",0.429836098781781
"ZNF585B",0.428131536855807
"CDH18",0.427588665181139
"CLASP2",0.425
"MELTF",0.423164209217621
"DENND1A",0.423
"ADGRL1",0.415572079726721
"SF3B3",0.413623043847218
"MEMO1",0.413127345851095
"SKP1",0.413
"SENP6",0.41
"FGD4",0.409901005910139
"C14orf132",0.409
"DPH1",0.408531586449819
"ELP4",0.40701340277435
"DPY30",0.406706703803903
"PTPRT",0.40646962186826
"CLN3",0.404
"STRN",0.402975750013229
"ATR",0.397
"GLRA3",0.394954803915908
"PRKG1",0.393954151105233
"TSPAN7",0.391350081401902
"ATP8A2",0.390859535305652
"AC022433.1",0.390155148097981
"VPS29",0.386972597830324
"GNAQ",0.386742814781678
"ZMIZ2",0.384
"PRKACB",0.380770502632584
"KLHL1",0.38072968495188
"BECN1",0.378243880084928
"TRIM65",0.377
"SLC24A3",0.375843194508458
"SERGEF",0.369
"TMEM50B",0.364341990914504
"STOX2",0.363339814184977
"SCO1",0.36
"YPEL5",0.359
"ELMO2",0.357
"SCAF8",0.349744613567316
"APIP",0.349151671172059
"TPTEP2",0.349129732961346
"GPHN",0.348278284474462
"AGPS",0.347629060957382
"MYCBP2",0.347
"SREK1",0.347
"DNAJC27",0.343945317577934
"MANBA",0.341
"FNIP2",0.33885606964339
"SLC25A17",0.336
"EPM2A",0.332648595160258
"IVD",0.324784725140938
"ERCC8",0.324
"LINC00963",0.324
"TP53INP1",0.321
"LINC01011",0.320541327056238
"MATK",0.318081884860123
"RUNDC3B",0.315
"PPHLN1",0.312
"CSTF3",0.31001991839543
"FAAP20",0.31
"SSBP1",0.307852151319655
"STRN4",0.307
"PCDH9",0.305617038990778
"ARL15",0.305
"DOCK3",0.304882218289002
"HIKESHI",0.303
"VSTM2L",0.294864447998267
"MAN1B1",0.294367854538771
"DENND4A",0.29319405420091
"SPRYD7",0.272998326779926
"MRPL39",0.268491702920445
"HTR3A",0.264240197741226
"CHRM2",0.258840458699911
"MLLT10",0.254970555011963
