"","dPSI_NGN2_2006152_10x"
"POMT2",0.953
"GCFC2",0.933936612067112
"AC009022.1",0.920158975006101
"PPIP5K1",0.903648964028727
"PDXDC2P",0.900304955238816
"EVC",0.866433180549931
"GALC",0.864
"LIMCH1",0.859
"C12orf4",0.837697975111899
"GARNL3",0.807735504511468
"HTT",0.794037894654687
"RAF1",0.789
"HDX",0.766
"PDE7A",0.761
"LINC02210",0.742425317762448
"GLRA3",0.741127059735571
"EXOC6B",0.736
"SETX",0.729110396769458
"PI4K2B",0.718200937299876
"ZMYM6",0.715051476205802
"WDR27",0.706040646150263
"PDXDC1",0.703167506271063
"DHFR",0.696888714252815
"CNGA3",0.696640645039202
"LRIG2",0.694867902924651
"ABCB8",0.686
"CLASP2",0.672045667365475
"TIAM1",0.668311496888591
"LRRC42",0.668
"TAF2",0.652
"SENP6",0.645
"ASCC3",0.638811580225622
"KDM6A",0.636
"CCT7",0.631
"STRN3",0.631
"AC136604.3",0.614097334160386
"NKAIN2",0.612616315977956
"CDCA4",0.600862297841717
"ZNF730",0.597166676003037
"CACNA1C",0.596
"AXIN1",0.595
"RAPGEF1",0.595
"WDR17",0.593
"PHOX2B-AS1",0.59232301389745
"AC114490.2",0.590648676743714
"PCDH10",0.589256743043083
"GRIA1",0.588393500162598
"APLP2",0.586
"AC097634.4",0.584467070706792
"SCARB1",0.581
"STRN",0.577412898608342
"TPTEP2",0.574
"ZFP82",0.573806976391572
"RBBP8",0.566164434563404
"LARP7",0.566
"GXYLT1",0.563413343667626
"APIP",0.563346879918669
"AC068547.1",0.563024463577985
"HSD17B4",0.560561209763699
"USP9Y",0.560084239288057
"SDCBP2-AS1",0.553
"AL031315.1",0.539209890705495
"LYRM1",0.536
"NUP58",0.531
"ARMH3",0.529096912371198
"STXBP5L",0.524
"PMS1",0.523292490956585
"CACNB4",0.515687781591862
"ENAH",0.515651425796515
"TENT2",0.505706216620166
"VPS29",0.504923022153578
"MACROD2",0.48813549299277
"DYRK1A",0.484850920200027
"PRICKLE1",0.481428390664217
"MELTF",0.477508778952882
"STOX2",0.47714131404435
"DPY30",0.47133765524778
"WNK1",0.46777567708493
"AC026786.1",0.463545293487007
"MEMO1",0.459341352711552
"PNISR",0.457182480065305
"ACADM",0.457
"ELMO2",0.454
"MYCBP2",0.45
"LINGO2",0.43823852004776
"CPEB1",0.433244120133499
"WDR91",0.431136638170321
"ENOX1",0.430025013147706
"FAAP20",0.43
"SLC24A3",0.429970568427078
"ZNF618",0.428
"STIM2",0.425
"RAP1A",0.423
"FUT9",0.421688078153865
"BECN1",0.42166415597295
"C19orf12",0.417730068104094
"TRIM27",0.416
"SNAP23",0.415205150881168
"ICA1L",0.413032473989042
"EMSY",0.412296390723565
"ANP32A",0.408350995494235
"FAM162A",0.408
"PROSER3",0.406321668990438
"ADAM17",0.4
"FAM174A",0.39851126065189
"ATP7B",0.398476432169829
"LINC01011",0.396035132816167
"C14orf132",0.396
"AC138894.1",0.394
"MFN2",0.393
"DENND1A",0.392
"ERCC8",0.392
"SOS2",0.391978335156447
"ZMIZ2",0.39
"SKP1",0.389
"SNAP91",0.388512499606326
"AC008581.2",0.387386400436294
"KLHL1",0.384151686094794
"TMEM214",0.380648817644859
"CRYL1",0.379
"DCAF17",0.37858034909971
"FGD4",0.378140110424001
"AC022433.1",0.377208519284238
"TRIM65",0.377
"CDC37L1",0.374610528155454
"MAN1B1",0.374606161022795
"SPATA13",0.374
"STRN4",0.373725134793333
"PIGN",0.372085634261735
"ELP4",0.371022250284012
"SERGEF",0.369
"ARL15",0.367
"SULF1",0.365086625678779
"COPS7B",0.365
"CSTF3",0.363728753191433
"FNIP2",0.363501726689002
"CLK4",0.363
"DLGAP4",0.363
"CLN3",0.347
"NQO2",0.347
"GPHN",0.345854446306689
"TET1",0.342325126303794
"CACNA1H",0.342
"DENND4A",0.339454790451699
"NUDT22",0.339
"SCO1",0.336744361289541
"ATP8A2",0.330903777765234
"TP53INP1",0.33
"YPEL5",0.33
"SF3B3",0.329599518239767
"GNAQ",0.329157554938459
"RUNDC3B",0.328
"MANBA",0.327
"SREK1",0.322168390133948
"TSPAN7",0.317
"DENND5A",0.314217296978975
"ODR4",0.314209088376987
"PRUNE2",0.314
"TMEM50B",0.311
"FIGNL1",0.31
"PRKG1",0.307567369458662
"SLC25A17",0.304
"TMEM91",0.304
"EIF2D",0.303
"MAP6",0.302861420999585
"SPIDR",0.2992643216418
"ARHGAP5",0.298069129338489
"SORCS1",0.292943990196427
"MLLT10",0.29221123352359
"SSBP1",0.291796616764957
"ADGRL1",0.291743470308969
"MYT1L",0.290856238731901
"PIEZO2",0.289816647908654
"SH3YL1",0.281808490340598
"FGF12",0.278713205680967
"KIF21A",0.275823112034797
"PTPRT",0.273920938568141
"VAV2",0.271221264341505
"LUC7L3",0.265105572075692
"MORN1",0.264971774530483
"IFT57",0.261204755268796
"JAZF1",0.259316017176219
"DOCK3",0.25587249522034
"CHRM2",0.255774765915394
"HIVEP1",0.255720766004113
"ZNF804A",0.253612436822552
"UBE2Q2L",0.252821480794654
"ERCC6L2",0.25116663692478
