"","dPSI_NGN2_2189972_3x"
"PPIP5K1",0.885030584134805
"LIMCH1",0.769
"ARL15",0.65
"CLASP2",0.57256975169657
"ABCB8",0.558
"LIN37",0.549
"KLHL1",0.534623326644005
"POMT2",0.533
"WDR27",0.513695255551128
"HDX",0.506
"TRAPPC2L",0.50282573179192
"MANBA",0.487
"SENP6",0.480374570787265
"APBB2",0.448410239443309
"WDR17",0.44
"SNAI3-AS1",0.42557985790878
"STRN3",0.421
"PDE7A",0.419
"LRRC42",0.416
"SKP1",0.413725038733102
"LARP7",0.406
"DHFR",0.392743618789948
"PHOX2B-AS1",0.38745820186305
"LINC00963",0.377
"ZFP82",0.354654895579421
"ADAM17",0.348708163066204
"STXBP5L",0.3421714261198
"DLGAP4",0.333
"RAF1",0.332
"AXIN1",0.329
"TAF2",0.329
"ENAH",0.327947332086431
"DENND1A",0.307634210897627
"SNHG14",0.305
"AC138894.1",0.301
"LINC02210",0.276412971172703
"NKAIN2",0.273153409464782
"ASCC3",0.267847186965825
"STRN",0.265470287083856
"KDM6A",0.253568530559052
