"","dPSI_NGN2_2195127_10x"
"PPIP5K1",0.918056287416419
"DENND1A",0.903032154301424
"POMT2",0.892
"LIMCH1",0.857
"CYTH2",0.837443595541741
"ABCB8",0.815
"GARNL3",0.813590898851909
"WDR27",0.803454803029556
"HDX",0.803
"EVC",0.773669490851766
"PDE7A",0.734
"GXYLT1",0.703419341446574
"RAF1",0.691
"XRN2",0.690263812929072
"EXOC6B",0.68
"SENP6",0.67953305748752
"LRRC42",0.677
"ZMYM6",0.675436546458368
"C12orf4",0.664337547211461
"CLASP2",0.66375730335507
"KDM6A",0.663
"AC136604.3",0.650488482973821
"TAF2",0.644
"DHFR",0.643936519647107
"LINC02210",0.629657908116204
"CACNA1C",0.608
"HAUS3",0.606012294005649
"STRN3",0.598
"DLGAP4",0.587
"ZFP82",0.58238563177669
"RBBP8",0.581719566912812
"SCARB1",0.581
"SETX",0.575320445462903
"TIAM1",0.574661797373395
"NUP58",0.569
"USP9Y",0.566843348063147
"CDCA4",0.565265048898244
"PHOX2B-AS1",0.558425615899224
"AC068547.1",0.549720054853953
"MACROD2",0.545304077386557
"PNISR",0.544752986268615
"FUT9",0.544575919266945
"LARP7",0.539
"AXIN1",0.538
"GRIA1",0.524666549713908
"AC114490.2",0.52290128046641
"PCDH10",0.521134513121831
"ZNF730",0.518069554754444
"MELTF",0.515014255827311
"WDR17",0.514
"PRDM11",0.506859698878338
"PDXDC1",0.502456326470355
"CRYL1",0.502
"STRN",0.487523701867566
"TENT2",0.486500681959293
"LYRM1",0.482
"CACNB4",0.473936166297371
"ACADM",0.471
"STXBP5L",0.469719512873688
"ENAH",0.465100067550574
"MYCBP2",0.459
"LRIG2",0.45099699228071
"SULF1",0.44245538742616
"AC138894.1",0.436
"GCFC2",0.43543747704474
"ENOX1",0.429994928317132
"VPS29",0.424379316048495
"SKP1",0.422
"CCDC3",0.405460765653317
"ELMO2",0.404
"ASCC3",0.401750247768008
"CLN3",0.393
"MRPL39",0.388932176938382
"KLHL1",0.385588379392496
"ARL15",0.384
"SERGEF",0.383
"DYRK1A",0.379834361697801
"GPHN",0.377137589461656
"MEMO1",0.376486586000354
"STRN4",0.375812283631828
"ARMH3",0.375069403280779
"DPY30",0.37284818869013
"ADAM17",0.369
"POLM",0.367853496596992
"TMEM50B",0.367543304181767
"TRIM65",0.367
"FAAP20",0.363
"C14orf132",0.354
"NKAIN2",0.353298374646728
"PRKG1",0.350336750071286
"PTPRT",0.34963528762689
"GLRA3",0.34165528000907
"TP53INP1",0.338
"GNAQ",0.334164128704372
"ZNF618",0.334
"LINC00963",0.327
"GALC",0.326
"APLP2",0.322
"SLC25A17",0.321
"FGD4",0.319848917091587
"BECN1",0.314897317527715
"FIGNL1",0.313
"WNK1",0.309139697350649
"TET1",0.308022085808781
"CSTF3",0.306085342100688
"CCDC24",0.305
"COPS7B",0.303
"FNIP2",0.292411554843262
"AC022433.1",0.28873676928006
"MAP6",0.286828449634357
"BEND6",0.282280729873532
"CDC37L1",0.280340912650179
"ADGRL1",0.28003708254311
"SNHG5",0.279220269720951
"SH3YL1",0.278072084955163
"SF3B3",0.276907679170649
"SPRYD7",0.276528243642188
"CCNT2",0.272821965525939
"DLG5",0.27226780237054
"MAN1B1",0.269959703671708
"LINGO2",0.268016697815715
"MYT1L",0.262024409659854
"MAP4",0.260884771934771
"ERCC8",0.260855585929311
"ATP8A2",0.260268061150922
"KIF21A",0.255683397858194
