"","dPSI_Sy5Y_2189972_10x"
"KCNT2",0.955
"ARL15",0.933
"POMT2",0.925
"ASAP1",0.878
"C12orf4",0.868921345097297
"PDE7A",0.845
"MAOA",0.832
"EVC",0.808339031007174
"WDR27",0.795429026813666
"LINC02210",0.772982868817422
"CHRM2",0.746358420876037
"AL589743.1",0.745412206212651
"LRRC42",0.725
"TPTEP2",0.716775082484044
"MACROD2",0.696923319708504
"KDM6A",0.691
"SPIDR",0.666567676389533
"ABCB8",0.666
"AC004593.2",0.660127150721805
"TENT2",0.652045257068584
"ASAP2",0.652
"DHFR",0.651088757310784
"TAF2",0.636
"LYRM1",0.635
"NIPA1",0.63
"TIAM1",0.624861085685276
"EHHADH",0.624
"GXYLT1",0.616502117002104
"CHN2",0.614916638760573
"HTT",0.614493795783832
"HDX",0.6
"OCLNP1",0.593022545845367
"LINGO2",0.592451475416692
"SNHG29",0.592197057858393
"DYRK1A",0.584971014861975
"SENP6",0.58
"EXOC6B",0.569
"ZMYM6",0.560338957489851
"PDXDC1",0.554089765433005
"AC022433.1",0.552005392974075
"SHOC2",0.550449930534418
"MMS22L",0.547376259595947
"ZNF37BP",0.542873218670297
"ENAH",0.539107639274922
"LIMCH1",0.537
"FHOD3",0.536614507828487
"ERGIC3",0.535
"MELTF",0.525320274533044
"FOXM1",0.521
"GNAQ",0.520889891791936
"DENND5A",0.515
"RAP1A",0.515
"APLP2",0.514
"ZFP82",0.513446901083096
"ERBB4",0.511523639959813
"C14orf132",0.506
"PSMA1",0.504527561509914
"AXIN1",0.504
"MTMR3",0.503210583341706
"ENOX1",0.496152937114941
"EMSY",0.49426489434462
"TARBP1",0.488757470856462
"SORCS1",0.475136129204464
"ARMCX6",0.473612532607448
"PRKACB",0.470761188610779
"APPL2",0.469863239461282
"DUXAP9",0.468339445435486
"VPS29",0.466
"HSPA1L",0.463918968589597
"MYCBP2",0.462
"WNK3",0.460953699959732
"SMN1",0.456067767365882
"PNISR",0.452489010936604
"NUP58",0.448776186883135
"AL713999.1",0.447828443182781
"SNX24",0.447632215642606
"ZMIZ2",0.445
"ZNF66",0.438850007423568
"TET1",0.434781616245421
"FAM162A",0.428206508949078
"SF3B3",0.427219249359475
"MIR9-3HG",0.421
"ZNF730",0.417908006138088
"ELMO2",0.412
"TCF4",0.409969988833356
"SLC25A17",0.409
"CD24",0.408055805711714
"GGCT",0.406
"BECN1",0.404311024291409
"STOX2",0.397014277636427
"TMEM214",0.396868963007289
"TP53INP1",0.396
"ZNF680",0.392027065584837
"MAPK10",0.391044177081914
"AC114490.2",0.382616908826466
"CEP162",0.382325444581961
"PDE3A",0.38208617248671
"ADGRL1",0.375134604290273
"LARP7",0.374
"ZNF618",0.374
"RNF144A",0.371809433821865
"MADD",0.371
"CHEK1",0.367
"COPS7B",0.363
"DLGAP4",0.3612158446236
"SMN2",0.36103353847913
"SFT2D1",0.361
"CLK4",0.359
"FGD4",0.358
"SDCBP2-AS1",0.358
"GCFC2",0.350457565380873
"KIF21A",0.348013267757572
"SGIP1",0.34766313322885
"GLMP",0.34525700228504
"CACNA1B",0.344944561447111
"GALC",0.343
"ADAM17",0.339896037637759
"PRICKLE1",0.338639932250032
"FBXO7",0.336
"WNK1",0.330380999556334
"CACNA2D1",0.330261965835055
"TEX21P",0.323
"SETDB2",0.320161537959327
"SH3YL1",0.319
"LRIG2",0.316262943254229
"FAM174A",0.314
"FAAP20",0.311
"TRIM27",0.309
"TMEM50B",0.3077438905172
"RAF1",0.307
"STRN3",0.306
"RCC1",0.304723137336568
"GPSM2",0.303255107181523
"AC093157.1",0.303
"MFN2",0.301
"TPM3",0.3
"ZNF558",0.29528334369433
"PITPNB",0.29150833176451
"ASCC3",0.284112672122492
"MYT1L",0.281670844805602
"ATG2B",0.281470989352573
"PHOX2B-AS1",0.278926672237037
"RAB2B",0.272125976800689
"CEP72",0.267788003094806
"PPP1R26",0.265992998905526
"CHD9",0.265760614953304
"DPH1",0.25831961005711
"SCO1",0.258111198720433
