"","dPSI_Sy5Y_2195127_10x"
"ARL15",0.969
"KCNT2",0.955
"POMT2",0.884
"OCLNP1",0.880959246311327
"ASAP1",0.878
"EVC",0.84466362928741
"CMSS1",0.844
"OCLN",0.83960732679355
"C12orf4",0.832326998867925
"LINC02210",0.803720669063506
"PDE7A",0.791
"TENT2",0.789173571755882
"MAOA",0.788
"HTT",0.77421677276595
"AL589743.1",0.772841972060937
"GXYLT1",0.761103989919165
"ZNF66",0.729740872711516
"LRRC42",0.729
"WDR27",0.691401507334894
"EHHADH",0.679
"CHRM2",0.677722453867002
"PNISR",0.675309095364469
"SPIDR",0.669918910838999
"LYRM1",0.663
"ASAP2",0.658
"EXOC6B",0.638
"ZMYM6",0.637477151530823
"CACNA2D1",0.636261768129358
"GNAQ",0.626784480916976
"KDM6A",0.62
"TAF2",0.611
"HDX",0.604
"MTMR3",0.600075455512309
"DUXAP9",0.592762259010408
"DHFR",0.592559026405316
"NUP58",0.587
"TPTEP2",0.561045623057401
"SDCBP2-AS1",0.55722993968616
"MACROD2",0.550663725518708
"PNPO",0.547
"AC004593.2",0.546550231160539
"ERGIC3",0.546
"SHOC2",0.543331925181348
"LIMCH1",0.542
"ZNF37BP",0.53743562701134
"APPL2",0.536203699765001
"ABCB8",0.534
"MMS22L",0.532612903488854
"FHOD3",0.525504796377936
"BPHL",0.525
"AC114490.2",0.521495210780836
"ZNF730",0.52054122067493
"C14orf132",0.519
"SENP6",0.505
"BBIP1",0.497836110448542
"WDR17",0.494
"ZFP82",0.493345427938645
"ENAH",0.49252691696423
"BECN1",0.492270594597531
"GLI4",0.492083532178491
"TIAM1",0.486937803789953
"MYCBP2",0.485
"AXIN1",0.482
"AC005400.1",0.481350726536297
"CHN2",0.477607939245874
"ATG2B",0.477345992802024
"NCAM1",0.474982735793431
"HSPA1L",0.469551666965904
"MELTF",0.465326886661987
"VPS29",0.465
"ARMCX6",0.461632442265307
"SMN1",0.457857197110278
"ELMO2",0.45
"ZNF138",0.445471496031896
"MIR9-3HG",0.445
"TMEM214",0.443732185809671
"AC022433.1",0.433574580786947
"FOXM1",0.433
"ZNF680",0.414978085242035
"LRIG2",0.414960475873424
"MRPL39",0.412519124208404
"SF3B3",0.410147168996631
"TP53INP1",0.407
"TET1",0.406069518246387
"ZMIZ2",0.405
"EMSY",0.404929564009806
"LARP7",0.403
"RAP1A",0.393
"CTNS",0.391367538424035
"STOX2",0.388237716162361
"PDE3A",0.387203969039737
"APLP2",0.386
"KIF21A",0.383669002675238
"SNX24",0.383088865796441
"SDHAP2",0.382938776012433
"CERS5",0.381
"CEP162",0.380562037394222
"DYRK1A",0.378022139107106
"PHOX2B-AS1",0.376956538736075
"GGCT",0.372
"SORCS1",0.366989178914709
"GLMP",0.36495323957223
"GPSM2",0.360638041753191
"MUC20-OT1",0.357722072398687
"NIPA1",0.355
"ZNF618",0.354
"RAF1",0.353
"TCF4",0.352747023965399
"SMN2",0.348541865623528
"ZMYM2",0.348
"MADD",0.345
"STRN3",0.344
"NOX4",0.341474983390445
"CHEK1",0.341
"CAPS2",0.34
"PRICKLE1",0.338444968078307
"DLGAP4",0.338104073725431
"COPS7B",0.335
"MYT1L",0.329542585499984
"ARHGEF9",0.327
"WNK1",0.326234681094243
"ODR4",0.32219975560048
"FAAP20",0.321
"SLC25A17",0.316
"TMEM50B",0.316
"SH3YL1",0.315
"HACL1",0.314797272530261
"ATP5PO",0.313
"ADGRL1",0.306886058959085
"AC008581.2",0.306065299790305
"RCC1",0.305649865728275
"METTL17",0.303
"MAPK10",0.296374351532018
"ZNF558",0.292174155664266
"SGIP1",0.286620562306564
"GCFC2",0.282935194943277
"CYTH2",0.281734922194701
"PMFBP1",0.274819323393966
"RAB2B",0.26635887735896
"CIP2A",0.26474862368778
"ZNF79",0.263852390996854
"FGD4",0.258229805882782
"DPH1",0.254815058600447
"STXBP1",0.250881845162346
