"","dPSI_NGN2_1755497_10x"
"POMT2",0.961
"EVC",0.952387537029478
"PPIP5K1",0.920418820457062
"C12orf4",0.916962128521094
"ABCB8",0.862
"GXYLT1",0.850254723113634
"PDE7A",0.842
"AC097634.4",0.839230590050447
"HDX",0.833
"LIMCH1",0.818
"ASCC3",0.805281362193181
"MELTF",0.789801083491351
"RAF1",0.789
"CRYL1",0.778
"AXIN1",0.775
"ZMYM6",0.773996075717816
"LARP7",0.773
"TAF2",0.769
"LRIG2",0.766835610022965
"RAB3IP",0.766
"CLASP2",0.765529210367937
"AC136604.3",0.760992856940287
"TET1",0.757675717531673
"AC068547.1",0.756804041585392
"CACNA1C",0.754
"SETX",0.730753145660838
"DHFR",0.725996962703251
"DENND4A",0.722
"LRRC42",0.713
"CEP57",0.703
"PI4K2B",0.699059245035436
"KDM6A",0.682
"MACROD2",0.678406687050989
"AC026786.1",0.678401138166317
"GCFC2",0.67540088649352
"AC114490.2",0.664467946751814
"MEMO1",0.660907710411539
"NUP58",0.658
"ZFP82",0.65799294809227
"DPY30",0.655570999206714
"CDCA4",0.649189047345995
"PMS1",0.647319151185382
"RBBP8",0.645855005099276
"USP9Y",0.637069742471659
"APLP2",0.637
"PRKG1",0.632161962491763
"ARMH3",0.625554740969036
"TIAM1",0.625301010510077
"GLI4",0.609916380053658
"PHOX2B-AS1",0.608972712585532
"FOXP1",0.591251565265122
"PCDH10",0.590749056913421
"ENOX1",0.589955618257002
"GNAQ",0.58753514520363
"SCARB1",0.581
"STRN",0.578887765826807
"WDR17",0.577
"PNISR",0.566103773119947
"BECN1",0.563505974505602
"CDC37L1",0.560451902930968
"ENAH",0.556441444759234
"HAUS3",0.555741955709523
"DYRK1A",0.540344834975513
"WNK1",0.53733696780965
"GPHN",0.536184511398233
"AC022433.1",0.533261344368368
"URGCP-MRPS24",0.527759992382545
"SDCBP2-AS1",0.525
"ATP8A2",0.523921125742766
"SNAP23",0.497797664281242
"STXBP5L",0.493358183095533
"PSMA1",0.492678714702827
"LYRM1",0.49
"CLK4",0.488
"ELMO2",0.488
"APIP",0.483390878010011
"STOX2",0.478690376527737
"EMSY",0.478397602644139
"RAPGEF1",0.466
"ANP32A",0.464270034914742
"EXOC6B",0.46
"SF3B3",0.459698175980877
"ZNF10",0.457153668212618
"FAM3A",0.453839363998489
"FAM162A",0.450024910444932
"C14orf132",0.444
"OBI1-AS1",0.442134576530235
"DENND1A",0.442
"NKAIN2",0.441600028392069
"ZNF618",0.44
"SLC25A17",0.436
"STXBP1",0.436
"SULF1",0.435456210790096
"SKP1",0.429
"GLRA3",0.428984081590336
"LINC01011",0.428099501705684
"SYTL2",0.425
"AL031315.1",0.422994453086883
"ZNF138",0.416768655160975
"STRN4",0.416
"CSTF3",0.415729273718934
"PROSER3",0.415371525157678
"SERGEF",0.415
"LINC02210",0.412
"TMEM50B",0.412
"RCOR3",0.410603124646114
"MFN2",0.408
"CCDC3",0.405557762332235
"SCO1",0.405215101818677
"DLG5",0.403388006475053
"ELP4",0.403330784828139
"ZMIZ2",0.4
"MYT1L",0.393306934400024
"ADGRL1",0.392046984465626
"FGD4",0.392
"CYB5B",0.389105358991137
"GRIA1",0.388525879178211
"SSBP1",0.386402534100478
"DPH1",0.385401817940099
"AC138894.1",0.385
"PRKACB",0.384669701693959
"CTNS",0.384256503994767
"KLHL1",0.383219319699304
"NQO2",0.383
"ARHGAP5",0.380858935023968
"AGPS",0.378187789690353
"GALC",0.377
"TRIM65",0.377
"WDR27",0.377
"PTPRT",0.376916219451841
"SREK1",0.374
"ZNF266",0.372
"ZFAND1",0.369
"PRICKLE1",0.368668792164077
"ACADM",0.364
"SENP6",0.36
"MRPL39",0.351842892630205
"FAM174A",0.351544434722104
"MAP4",0.351518615885139
"ADAM17",0.35
"FBXL16",0.348700975557998
"SPIDR",0.345786871971592
"ERCC8",0.345
"CLN3",0.344
"VPS29",0.341686020805414
"NUDT22",0.341
"RAP1A",0.34
"ARMCX6",0.337
"TENT2",0.337
"SLC35A5",0.333372287241838
"SRP14-AS1",0.33312937032825
"CACNA1H",0.332
"MLLT10",0.331866672584765
"DOCK3",0.331209394792628
"TSPAN7",0.331168181435011
"RUNDC3B",0.331
"TASOR2",0.331
"TPTEP2",0.33
"CACNA2D1",0.328832087253613
"OSGEPL1",0.328
"ZNF280D",0.324471148214533
"FAAP20",0.323
"ARL15",0.322
"CACNB4",0.322
"ATG4A",0.319
"ATG5",0.319
"SH3YL1",0.318568566230239
"DLGAP4",0.317
"SNHG12",0.314
"SUZ12P1",0.313
"NR1H3",0.312208955239335
"MORN1",0.309375309669487
"JAZF1",0.306200927156887
"CREBZF",0.306
"STRN3",0.306
"IFT57",0.304394975068566
"MYCBP2",0.304
"PPP1R3E",0.300646540320485
"VPS41",0.297944270350022
"DENND6B",0.295598511939439
"HHLA3",0.2918279907136
"SLC7A6",0.29156686637407
"ZNF789",0.291343453057925
"NF1",0.290951690610655
"TNRC6A",0.289669609117015
"PDXDC1",0.282128469360373
"HSD17B4",0.279528674002205
"ANK2",0.277936149298371
"SNX24",0.274499619599287
"CHD9",0.274390950548261
"LNPK",0.27337574368337
"SPRYD7",0.268964492493834
"NLGN1",0.268920778156751
"INPP5K",0.268306411379746
"DNAJC27",0.264256131923129
"LARS2",0.254981602342238
"PRPF39",0.25320527618393
"CHRM2",0.252916356831647
"NEGR1",0.251519212931784
