,dPSI_NGN2.4090.3x,dPSI_NGN2.4090.10x
LIMCH1,0.799,0.829
ARL15,0.758,0.886
AC009022.1,0.754741069862738,0.89580741546899
XRN2,0.71486462957861,0.916182875223599
PDXDC2P,0.703735198156376,0.860589486368964
WDR17,0.595,0.583
LRRC42,0.585,0.69
EVC,0.575439551710313,0.819231813773377
PDE7A,0.559,0.838
PDXDC1,0.52132093259395,0.35
STRN3,0.521,0.342
ABCB8,0.506209313584511,0.735
CLASP2,0.50064185482018,0.689346214910737
DHFR,0.464260951270001,0.720291560241404
TNFRSF25,0.463,0.462
LARP7,0.46,0.357
HAUS3,0.444673445720599,0.52865723358708
POMT2,0.438,0.947
WDR27,0.434922759945776,0.892596159658519
HTT,0.434867886100073,0.825810011337413
GXYLT1,0.428190087879245,0.790230605759606
TTN-AS1,0.428,0.529
AC138894.1,0.417,0.422
ENAH,0.401370909065982,0.580790949992977
TRIM65,0.401,0.38867361281248
ADAM17,0.396481900515045,0.494
DENND1A,0.383883609116623,0.883237097611459
CLN3,0.383,0.389
ZFP82,0.381576115175803,0.664352863032894
SKP1,0.375,0.449
ASCC3,0.372095810914585,0.686533307346404
RAF1,0.366,0.662
KDM6A,0.357635701354207,0.585
TSPAN4,0.344,0.416
DLGAP4,0.343,0.553
FAM221A,0.337,0.322
AXIN1,0.336,0.593
STXBP5L,0.327575575904596,0.436939037746623
USP9Y,0.308175671578983,0.723058887206414
MADD,0.305,0.347
TAF2,0.305,0.63
LINC02210,0.295577025709753,0.685811954698699
TENT2,0.289827056135863,0.466749357365
EXOC6B,0.288798445650941,0.597
KLHL1,0.261469274075713,0.36049387453944
C14orf132,0.258118326019319,0.353
PNISR,0.252241688269452,0.565571296401471
