,dPSI_NGN2.4088.3x,dPSI_NGN2.4088.10x
KCNT2,0.906725897186609,0.892367896885726
XRN2,0.809036170351827,0.852995149981196
AC009022.1,0.803937365959906,0.904107553067634
LIMCH1,0.797,0.804
PDXDC2P,0.777848768728701,0.927563381490911
POMT2,0.704,0.966
DENND1A,0.699129837691976,0.966180226741753
ARL15,0.671,0.79
GXYLT1,0.647575668266049,0.960739316433452
PDXDC1,0.647410488219304,0.427
HTT,0.634017110282648,0.98080286386132
LARP7,0.601,0.696
LINC02210,0.592512886205755,0.334
WDR17,0.592,0.683
WDR27,0.565173843732127,0.893300995338803
LRRC42,0.554,0.703
PDE7A,0.551,0.787
MELTF,0.549269516131794,0.614207455918791
EVC,0.544764800746434,0.968019204093252
DHFR,0.539191980142415,0.757723134644184
INO80E,0.525,0.434
ABCB8,0.524,0.849
GRIA1,0.518402511932307,0.620885333307099
CLASP2,0.511937808549755,0.748151749363081
FHOD3,0.491716146673982,0.708746738582835
RAF1,0.479,0.794
ZFP82,0.477263613244945,0.695538562940406
DLGAP4,0.477,0.635
STXBP5L,0.45690582114197,0.498006160480899
FAM221A,0.454,0.348
TAF2,0.45,0.782
PNISR,0.440118086028048,0.696618114624212
ZDHHC11,0.425381979436156,0.819713456901021
STRN,0.417545443380942,0.527999677049402
EXOC6B,0.415,0.766
SKP1,0.413,0.276746922544241
AC138894.1,0.404,0.349
C14orf132,0.398950294429932,0.487
ADAM17,0.394296952212272,0.309
KDM6A,0.394,0.687
ENAH,0.384562415321052,0.622836844677923
FSIP2,0.382,0.541
SETX,0.381426975447855,0.762705961693154
NUP58,0.379569792779768,0.6
TRIM65,0.372,0.390522400153187
CLN3,0.371,0.325
LRIG2,0.370176772604848,0.729056265433403
AC068547.1,0.365538407312827,0.747411027652605
USP9Y,0.362019298031499,0.793775622078133
TNFRSF25,0.355,0.477
MLLT10,0.354160174127172,0.900403751732809
KLHL1,0.338144945160647,0.800882598623552
TP53INP1,0.334,0.413
ASCC3,0.324879997364719,0.687631872699819
FAAP20,0.323,0.419
SREK1,0.322949882579616,0.645
DLG5,0.318336778970975,0.803621874460514
CACNB4,0.318071317717361,0.326
CLK4,0.314,0.366
STRN3,0.312,0.323
ZNF618,0.308,0.476
AXIN1,0.306,0.3
VPS29,0.29374503729154,0.741
TENT2,0.286045713163627,0.457760804379381
ENOX1,0.27924409479313,0.589454008977102
SH3YL1,0.26306217123802,0.489
MAP6,0.260430347670828,0.430227697292398
NKAIN2,0.25903330604917,0.488576802545533
