,dPSI_NGN2.6960.3x,dPSI_NGN2.6960.10x
KCNT2,0.88414710204676,0.807350645088627
LIMCH1,0.802,0.814
AC009022.1,0.784182164897101,0.911328096502865
XRN2,0.722178997797457,0.920664236421435
PDXDC2P,0.718918892876686,0.928147543314
ARL15,0.68,0.79
PDXDC1,0.673813253999088,0.41
KLHL1,0.653022011189217,0.382843257475607
WDR17,0.603,0.675
WDR27,0.593431892479891,0.941670021937497
STRN3,0.584,0.314
EVC,0.546165704013525,0.944771253224922
HTT,0.545807662746345,0.95920902635111
FSIP2,0.541,0.541
ASCC3,0.535177926711823,0.831007970162942
LARP7,0.533,0.564
POMT2,0.526,0.946
LINC02210,0.523949059811014,0.88394514035595
LRRC42,0.52,0.702
MELTF,0.513429355092851,0.713923482921476
PDE7A,0.498,0.878
FHOD3,0.494970760783763,0.790611878405564
DENND1A,0.486466887232788,0.893342706057173
CLASP2,0.479549033801565,0.671574390649654
CACNA1C,0.47824376540905,0.638421292362556
TNFRSF25,0.477,0.477
HAUS3,0.45131851172576,0.635320219555111
TAF2,0.432,0.674
ABCB8,0.422,0.745
TRIM65,0.417,0.417
SETX,0.409166485124672,0.799738989599959
SKP1,0.408,0.325589868177239
ZFP82,0.406206439565724,0.66170597357777
AXIN1,0.394,0.69
DLGAP4,0.392,0.634
RAF1,0.391,0.77
CLN3,0.388,0.422
DHFR,0.368251446677182,0.791812141454751
USP9Y,0.366165447719266,0.746213932986066
KDM6A,0.354,0.825
ENAH,0.350338505653828,0.569190587003411
LYRM1,0.341,0.542
TENT2,0.335328679643939,0.650557495514498
LRIG2,0.322646180738807,0.78781797609692
SREK1,0.314326135329483,0.713
NUP58,0.294783474140484,0.524
C14orf132,0.280385337116069,0.447
STRN,0.276902683913592,0.403662834590812
WNK1,0.275240519238663,0.622153448113627
CACNB4,0.26716554414914,0.616058192494859
ZNF618,0.260636760144042,0.452
