,dPSI_NGN2.4748.3x,dPSI_NGN2.4748.10x
KCNT2,0.890974930856401,0.875300887050668
AC009022.1,0.814461100486324,0.900348674886039
PDXDC2P,0.788255492865744,0.897865127237225
LIMCH1,0.772,0.803
PDXDC1,0.716775312205163,0.485
XRN2,0.699144487902222,0.946233350770015
ARL15,0.696,0.79
FHOD3,0.637008212452374,0.832143055541085
KLHL1,0.615083368875372,0.356071563564063
ASCC3,0.589427000801932,0.88095111290271
PDE7A,0.572,0.879
WDR27,0.568610313953388,0.498
LINC02210,0.543601377365512,0.780234973035227
FSIP2,0.541,0.37
DHFR,0.521993975745467,0.705981599323471
ABCB8,0.51765754827347,0.822
LRRC42,0.514,0.745
POMT2,0.506,0.93
WDR17,0.505,0.692
CACNA1C,0.494246542645194,0.617
EVC,0.482122608318618,0.890839678223761
TNFRSF25,0.477,0.477
MELTF,0.472621465163721,0.616583489079066
SNTG1,0.464835715904968,0.443946100764304
LARP7,0.463,0.687
USP9Y,0.45453881870801,0.823659404847406
KDM6A,0.454242834586916,0.769
ZFP82,0.442487502525849,0.623195487985567
CLASP2,0.431816591478351,0.730325634458919
TAF2,0.428,0.654
AXIN1,0.412,0.689
SKP1,0.402,0.355903768253931
ENAH,0.388873012027799,0.624338895651832
TET1,0.385507230226266,0.388866146793778
SETX,0.382215261853218,0.780417656114138
RAF1,0.376,0.75
STRN3,0.374,0.341
TENT2,0.365813724532755,0.552307192915488
HTT,0.363833696155056,0.922360103753408
CLN3,0.354,0.395
INO80E,0.351,0.312
DENND1A,0.34788080791909,0.888972383008311
SREK1,0.33810828095916,0.76
DLGAP4,0.327,0.596
LYRM1,0.325,0.628
STXBP5L,0.320005223559106,0.446819930766676
SLC25A17,0.308421102733793,0.495
ADAM17,0.308,0.427
TARBP1,0.285061905851152,0.316326711955693
MLLT10,0.284291881835427,0.857567741288252
ZNF618,0.274579833841613,0.497
CDC37L1,0.26579938804928,0.647671683906198
CACNB4,0.260202021362493,0.521500374551419
HDX,0.250406689685805,0.864
