,dPSI_NGN2.5420.3x,dPSI_NGN2.5420.10x
PDXDC2P,0.778773301622886,0.865966905239742
AC009022.1,0.758338969116793,0.920250104495729
ARL15,0.684,0.79
LIMCH1,0.673,0.818
MELTF,0.66510463490728,0.5686522082798
DENND1A,0.657180602849453,0.926796407011788
XRN2,0.654386503235063,0.896106309044891
HTT,0.641239253059702,0.969299601563092
ACADM,0.635700917328606,0.622
KCNT2,0.571915455665974,0.733818635012865
TENT2,0.554931252800294,0.398445441760909
GAPVD1,0.544576481095945,0.513428159073564
FSIP2,0.541,0.398
WDR27,0.507087164834984,0.797152344680101
TTN-AS1,0.497,0.45
ADAMTS10,0.487313919481113,0.4262103518674
DLGAP4,0.472,0.623
ZNF730,0.463592230974468,0.633602624057711
FHOD3,0.463022934010722,0.717570242344826
POMT2,0.458,0.928
RAF1,0.452,0.739
ABCB8,0.446,0.764872724906475
PDXDC1,0.44536389440244,0.793493484110969
ABCC8,0.445339710907673,0.404
GARNL3,0.441858022609185,0.81418692061879
STRN3,0.424,0.361
ZMYM6,0.419815248279641,0.619175705917974
TNFRSF25,0.418,0.477
TRIM65,0.417,0.389628113181544
ADAM17,0.402187304324795,0.353
WDR17,0.402,0.676
TARBP1,0.395099864093033,0.373891086748778
SETX,0.38751632987739,0.729496938657196
GRIA1,0.384729669295065,0.467156135352041
AC007614.1,0.384,0.513
STXBP5L,0.373408850735117,0.484740757031316
CLASP2,0.37055718200462,0.633641662364182
TAF2,0.362,0.635
FAAP20,0.361,0.368
LARP7,0.353,0.497
NUP58,0.352387882959286,0.554
LRRC42,0.35,0.66
SKP1,0.35,0.462
MLLT10,0.33750393348154,0.636465007377477
EXOC6B,0.334463652084848,0.704
SENP6,0.32586556920088,0.561936142330403
PDE7A,0.322,0.671
KDM6A,0.317,0.545
TIAM1,0.316066076326038,0.67396173698001
CLN3,0.316,0.395
STRN,0.302426655590164,0.567933839064829
AXIN1,0.301979902661874,0.577
MYCBP2,0.3,0.381
DHFR,0.290300601296613,0.613451707774844
CACNA1C,0.285578017560942,0.466591437670429
LINC02210,0.278376832043329,0.635481062676431
ARMH3,0.274815522628171,0.519891775381908
VPS29,0.269641152276751,0.561627468877023
KLHL1,0.268922886187149,0.339320858311545
SREK1,0.251968507729846,0.40054397057009
