,dPSI_NGN2.6152.3x,dPSI_NGN2.6152.10x
KCNT2,0.842545777742289,0.854226699872746
AC009022.1,0.734158043222878,0.881782364882515
PDXDC2P,0.720509398680798,0.898369249623993
LIMCH1,0.706,0.841
XRN2,0.612269849629271,0.859889064091906
GCFC2,0.603288411142975,0.886923301161764
ARL15,0.588,0.928
FSIP2,0.541,0.541
WDR91,0.520346323375745,0.356
MELTF,0.513136820040606,0.73071411219674
PDXDC1,0.509894682513559,0.397
WDR17,0.504,0.67
SENP6,0.461210397117836,0.537
ABCB8,0.453573895783474,0.615
DENND1A,0.440749647727287,0.881757257010398
POMT2,0.439,0.938
TNFRSF25,0.439,0.477
HTT,0.438565198795793,0.828576539684057
EVC,0.420791698018678,0.680253979017282
LARP7,0.416,0.423
ADAM17,0.403151206358041,0.383
LINC02210,0.398914738365771,0.609369323251885
RAF1,0.397,0.725
TSPAN4,0.39,0.552
GALC,0.388406340135738,0.727
TAF2,0.387,0.583
DLGAP4,0.371,0.593
SKP1,0.361,0.444
STRN3,0.357,0.317
LRRC42,0.354,0.665
SETX,0.350407034415646,0.715467016821067
PDE7A,0.316,0.723
NUP58,0.310816190050291,0.437
TENT2,0.310630780515194,0.522736524735708
FAAP20,0.308,0.433
CACNA1H,0.304,0.417
STRN,0.301282671568438,0.538425677016698
NKAIN2,0.299023742240538,0.613293387998096
ZFP82,0.294471507549583,0.583007939660401
TIAM1,0.289030911455485,0.508728179533978
STXBP5L,0.288841496602035,0.460491826639579
LRIG2,0.266706974422561,0.709466028730594
TSPAN7,0.265295435729365,0.366
FHOD3,0.260433850097285,0.751645041121796
KDM6A,0.258655934262757,0.628
CACNB4,0.254133021405468,0.476808145233518
KLHL1,0.253760254793944,0.372019455393617
