,dPSI_NGN2.6527.3x,dPSI_NGN2.6527.10x
KCNT2,0.870785440311951,0.889613698363191
AC009022.1,0.845738893076038,0.921853255785035
PDXDC2P,0.827262566917518,0.941971990810736
LIMCH1,0.715,0.828
XRN2,0.64455586923512,0.88815152096998
EVC,0.640674072369197,0.803219406737646
ARL15,0.632,0.838
PDXDC1,0.582098044242054,0.414
FSIP2,0.541,0.541
STRN3,0.538,0.349
WDR17,0.519,0.674
KLHL1,0.481964285217756,0.342085856076986
WDR27,0.481425248875651,0.864400575954182
LRRC42,0.475,0.661
HTT,0.462234871763994,0.848906456905245
TNFRSF25,0.459,0.477
ASCC3,0.452320939305478,0.787500318153923
ABCB8,0.444561503194778,0.698
HAUS3,0.422264828707845,0.628331905702533
LARP7,0.419,0.761
POMT2,0.402,0.915
SKP1,0.402,0.448
SETX,0.392990601986444,0.683950946687909
ZFP82,0.373389703768346,0.570276514755454
PDE7A,0.369,0.784
STXBP5L,0.352763171899412,0.497125160517435
DENND1A,0.346918409000038,0.826951032664529
ADAM17,0.335671693111532,0.328
CLN3,0.333,0.397
AXIN1,0.331765386732526,0.614
DLGAP4,0.329,0.558
FHOD3,0.326975070172953,0.774110697433587
RAF1,0.317,0.654
LRIG2,0.309567038817021,0.651757383201118
TAF2,0.303,0.576
TENT2,0.293211037458083,0.4925051722979
ENAH,0.288225725558481,0.534334383729542
KDM6A,0.266421134822816,0.62
NUP58,0.256984866674453,0.365
