,SH_1949634_10x_vs_SH_DMSO,SH_1949634_3x_vs_SH_DMSO,SH_2178782_10x_vs_SH_1949634_10x,SH_2178782_10x_vs_SH_DMSO,SH_2178782_3x_vs_SH_1949634_3x,SH_2178782_3x_vs_SH_DMSO,SH_2196772_10x_vs_SH_1949634_10x,SH_2196772_10x_vs_SH_DMSO,SH_2196772_3x_vs_SH_1949634_3x,SH_2196772_3x_vs_SH_DMSO,SH_2196895_10x_vs_SH_1949634_10x,SH_2196895_10x_vs_SH_DMSO,SH_2196895_3x_vs_SH_1949634_3x,SH_2196895_3x_vs_SH_DMSO,SH_2197306_10x_vs_SH_1949634_10x,SH_2197306_10x_vs_SH_DMSO,SH_2197306_3x_vs_SH_1949634_3x,SH_2197306_3x_vs_SH_DMSO,SH_2199562_10x_vs_SH_1949634_10x,SH_2199562_10x_vs_SH_DMSO,SH_2199562_3x_vs_SH_1949634_3x,SH_2199562_3x_vs_SH_DMSO,SH_2204984_10x_vs_SH_1949634_10x,SH_2204984_10x_vs_SH_DMSO,SH_2204984_3x_vs_SH_1949634_3x,SH_2204984_3x_vs_SH_DMSO,SH_2207180_10x_vs_SH_1949634_10x,SH_2207180_10x_vs_SH_DMSO,SH_2207180_3x_vs_SH_1949634_3x,SH_2207180_3x_vs_SH_DMSO
ACKR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ACSL6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSS2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ACTR10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ACTR3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ACVR1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ADAM10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ADAM15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ADAM17,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0
ADAM22,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ADAM23,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ADAMTS10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
ADAMTS17,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS19,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
ADAMTS6,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
ADAMTS9.AS2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
