"","dPSI_NGN2.6152.3x"
"KCNT2",0.842545777742289
"AC009022.1",0.734158043222878
"PDXDC2P",0.720509398680798
"LIMCH1",0.706
"XRN2",0.612269849629271
"GCFC2",0.603288411142975
"ARL15",0.588
"FSIP2",0.541
"INO80E",0.521
"WDR91",0.520346323375745
"MELTF",0.513136820040606
"PDXDC1",0.509894682513559
"WDR17",0.504
"CKMT2-AS1",0.467006459041868
"SENP6",0.461210397117836
"ABCB8",0.453573895783474
"TPM2",0.450874884883255
"SMC4",0.446414640874911
"DENND1A",0.440749647727287
"POMT2",0.439
"TNFRSF25",0.439
"HTT",0.438565198795793
"EVC",0.420791698018678
"LARP7",0.416
"LINC01128",0.416
"ADAM17",0.403151206358041
"NECAP2",0.4
"FAM221A",0.399
"LINC02210",0.398914738365771
"RAF1",0.397
"SYNE4",0.396
"TSPAN4",0.39
"GALC",0.388406340135738
"TAF2",0.387
"MSL3",0.382
"DLGAP4",0.371
"MAPK10",0.371
"WDR90",0.368
"VDAC3",0.364051811327148
"SKP1",0.361
"STRN3",0.357
"LRRC42",0.354
"SETX",0.350407034415646
"QKI",0.347
"NRXN3",0.33
"ASGR1",0.325
"AC138894.1",0.319
"METTL6",0.318245827600568
"PDE7A",0.316
"NUP58",0.310816190050291
"TENT2",0.310630780515194
"ATP7B",0.308
"COMMD4",0.308
"FAAP20",0.308
"CACNA1H",0.304
"STRN",0.301282671568438
"NKAIN2",0.299023742240538
"ZFP82",0.294471507549583
"TIAM1",0.289030911455485
"STXBP5L",0.288841496602035
"LRIG2",0.266706974422561
"TSPAN7",0.265295435729365
"FHOD3",0.260433850097285
"KDM6A",0.258655934262757
"CACNB4",0.254133021405468
"KLHL1",0.253760254793944
