"","dPSI_iPSC.4088.3x"
"ARL15",0.911392579183407
"ASAP1",0.664
"HDX",0.658
"POMT2",0.607
"MAOA",0.600357308084171
"PDE7A",0.557
"GABPB2",0.556580984199958
"ADAMTS19",0.552690923145878
"GRAMD2B",0.547017859178552
"LYRM1",0.54
"LARP7",0.518
"SKP1",0.517314569360275
"MADD",0.515
"HTT",0.509831132345574
"EXOC6B",0.503
"MYCBP2",0.499
"ABCB8",0.494646657874468
"LRRC42",0.491
"KDM6A",0.482
"LINC02210",0.480501868192717
"TANGO2",0.475365408647556
"FGFR1",0.455
"C12orf4",0.452770564342576
"CLASP2",0.447384079611039
"ZFP82",0.419879671383535
"ERGIC3",0.403632738606463
"INTU",0.4
"VPS29",0.397
"SPIDR",0.382067068675477
"NUP58",0.371284793083398
"STRN3",0.369
"ZNF730",0.362900336421131
"NOD1",0.362
"FAAP20",0.361025827725341
"TIAM1",0.353478842174682
"TAF2",0.351
"NAV2",0.348
"GXYLT1",0.34664078751994
"SENP6",0.320083950486905
"PNISR",0.315623815681124
"AXIN1",0.311288231271635
"INTS3",0.309
"DLGAP4",0.307137361435869
"SYNE4",0.304
"CHD9",0.294156320520002
"MAN1B1",0.26262666987694
"SNHG17",0.254997075743291
