,dPSI_TST11872_iPSC-BIO-1755497-12nM,dPSI_TST11872_iPSC-BIO-1755497-40nM,dPSI_TST11872_iPSC-BIO-1949634-10uM,dPSI_TST11872_iPSC-BIO-1949634-3uM,dPSI_TST11872_iPSC-BIO-2006152-150nM,dPSI_TST11872_iPSC-BIO-2006152-45nM,dPSI_TST11872_iPSC-BIO-2059811-261nM,dPSI_TST11872_iPSC-BIO-2059811-870nM,dPSI_TST11872_iPSC-BIO-2060573-10uM,dPSI_TST11872_iPSC-BIO-2060573-3uM,dPSI_TST11872_iPSC-BIO-2060884-1000nM,dPSI_TST11872_iPSC-BIO-2060884-3700nM,dPSI_TST11872_iPSC-BIO-2070692-1680nM,dPSI_TST11872_iPSC-BIO-2070692-5600nM,dPSI_TST11872_iPSC-BIO-2135644-1uM,dPSI_TST11872_iPSC-BIO-2135644-300nM,dPSI_TST11872_iPSC-BIO-2136770-1000nM,dPSI_TST11872_iPSC-BIO-2136770-300nM,dPSI_TST11872_NGN2-BIO-1755497-12nM,dPSI_TST11872_NGN2-BIO-1755497-40nM,dPSI_TST11872_NGN2-BIO-1949634-10uM,dPSI_TST11872_NGN2-BIO-1949634-3uM,dPSI_TST11872_NGN2-BIO-2006152-150nM,dPSI_TST11872_NGN2-BIO-2006152-45nM,dPSI_TST11872_NGN2-BIO-2059811-261nM,dPSI_TST11872_NGN2-BIO-2059811-870nM,dPSI_TST11872_NGN2-BIO-2060573-10uM,dPSI_TST11872_NGN2-BIO-2060573-3uM,dPSI_TST11872_NGN2-BIO-2060884-1000nM,dPSI_TST11872_NGN2-BIO-2060884-3700nM,dPSI_TST11872_NGN2-BIO-2070692-1680nM,dPSI_TST11872_NGN2-BIO-2070692-5600nM,dPSI_TST11872_NGN2-BIO-2135644-1uM,dPSI_TST11872_NGN2-BIO-2135644-300nM,dPSI_TST11872_NGN2-BIO-2136770-1000nM,dPSI_TST11872_NGN2-BIO-2136770-300nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-1755497-12nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-1755497-40nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-1949634-10uM,minpadj_maxPdPSI_TST11872_iPSC-BIO-1949634-3uM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2006152-150nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2006152-45nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2059811-261nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2059811-870nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2060573-10uM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2060573-3uM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2060884-1000nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2060884-3700nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2070692-1680nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2070692-5600nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2135644-1uM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2135644-300nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2136770-1000nM,minpadj_maxPdPSI_TST11872_iPSC-BIO-2136770-300nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-1755497-12nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-1755497-40nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-1949634-10uM,minpadj_maxPdPSI_TST11872_NGN2-BIO-1949634-3uM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2006152-150nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2006152-45nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2059811-261nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2059811-870nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2060573-10uM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2060573-3uM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2060884-1000nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2060884-3700nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2070692-1680nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2070692-5600nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2135644-1uM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2135644-300nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2136770-1000nM,minpadj_maxPdPSI_TST11872_NGN2-BIO-2136770-300nM
AL590705.3,NA,NA,0.402075903431896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5998020335813e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL732372.2,NA,NA,0.75060679682284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999999999982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALAD,NA,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15822816828e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALDH2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.464065165181999,0.325920667581129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000437583236970173,0.00033730242779946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALDH3A2,NA,NA,NA,NA,NA,NA,NA,NA,0.476509014408837,NA,NA,NA,0.260131943684043,0.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.530226395455942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0356487836447995,NA,NA,NA,0.0119400624509797,8.89824044709e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0445630079007506,NA,NA,NA,NA
ALDH6A1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.312,NA,NA,NA,NA,NA,NA,NA,NA,-0.264505119837967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2384642599e-08,NA,NA,NA,NA,NA,NA,NA,NA,0.000335131264398907,NA,NA,NA,NA,NA,NA
ALG11,NA,NA,0.363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50189433192e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALG13,NA,NA,0.886,0.861,NA,NA,NA,0.37,NA,NA,NA,0.296371550253424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0.000134136787822,NA,NA,NA,0.000178638582439968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALG3,NA,NA,-0.251645541355399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.03674396401762e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALG8,NA,NA,0.447664807400904,0.2908430493871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.617366549445368,NA,NA,NA,-0.476544844600588,NA,NA,NA,NA,NA,NA,NA,NA,0.392145048996128,NA,NA,NA,1.41167771630945e-07,1.75165247853135e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999998998737086,NA,NA,NA,0.993785055044356,NA,NA,NA,NA,NA,NA,NA,NA,0.000281544723837744,NA
ALG9,NA,NA,-0.35,NA,NA,NA,NA,-0.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.93295272464e-06,NA,NA,NA,NA,0.000112157077571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALKBH2,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALKBH3,NA,NA,0.312,NA,NA,NA,NA,NA,NA,NA,NA,0.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALMS1,NA,NA,0.296570133877503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000348925246154721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALOX15P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.270483547881191,0.274667357780159,NA,NA,-0.324072717863491,NA,NA,0.28558216395196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0276987610374229,0.0447471129241809,NA,NA,0.00891873128842843,NA,NA,0.0305903601803933,NA,NA,NA
ALPK3,NA,NA,0.847740391221496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999999840053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMBRA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.252306671440272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34901682147585e-06,NA,NA,NA,NA,NA,NA
AMMECR1L,NA,NA,0.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78371085579e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMOTL1,NA,NA,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.482707666959271,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996559029818633,NA,NA,NA,NA,NA,NA
AMPH,NA,NA,0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0196665068829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMT,NA,NA,0.529,NA,NA,NA,NA,0.533,0.369,0.343,NA,0.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74509472718e-09,NA,NA,NA,NA,3.89755829413e-08,0.00017674363793,0.000175414575367,NA,1.16865266807e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMY2B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268154757381259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00549315888712182,NA,NA,NA,NA,NA,NA
AMZ2,NA,NA,0.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.258466000369275,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0235383978473956,NA,NA,NA,NA,NA,NA
AMZ2P1,NA,NA,0.261682828946084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00233954066559187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANAPC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.671835063389604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.263558966201397,NA,NA,0.861120433176945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.92014667011427e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000369674018644211,NA,NA,1.03063985972464e-07,NA,NA,NA,NA,NA,NA
ANAPC10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.399952166290906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.258833067516648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.909535418016094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00106584256517555,NA,NA,NA,NA,NA,NA
ANAPC16,NA,NA,0.302,0.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANAPC1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253558791401695,0.292372814417455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00074239765230032,0.000741822461262841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANGEL1,NA,NA,0.338369225315479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000374055619486843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANGEL2,NA,NA,-0.472076473974865,-0.414968918892645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99905861916859,0.979029500142755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANK1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.342,NA,NA,NA,NA,NA,NA,NA,NA,0.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33301264764e-14,NA,NA,NA,NA,NA,NA,NA,NA,3.50514266005e-06,NA,NA,NA,NA,NA,NA
ANK2,NA,NA,0.367,NA,NA,NA,NA,NA,NA,NA,-0.407972819908125,NA,NA,-0.401670336312261,NA,NA,NA,NA,NA,NA,0.55123845551358,0.469453172702066,NA,NA,NA,0.39399569168215,-0.621,0.381345099648273,-0.5,-0.792,0.266953044567224,-0.307028016159145,0.382231147378829,NA,0.287639593148303,NA,NA,NA,1.25294813454e-09,NA,NA,NA,NA,NA,NA,NA,0.931753573107578,NA,NA,0.909214027217361,NA,NA,NA,NA,NA,NA,8.83434350018519e-08,0.998129722644663,NA,NA,NA,0.941748703845317,0,4.66602792053544e-07,0,0,1.31685580758535e-05,1.66264279455871e-12,1.47951083298085e-07,NA,2.17635632516353e-06,NA
ANK3,NA,NA,-0.340400118318611,NA,NA,NA,NA,NA,-0.389186488579114,NA,-0.35306617564275,-0.629433504413707,NA,-0.34662898455803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.307861763290726,NA,NA,NA,NA,NA,NA,NA,NA,4.9388030186351e-12,NA,NA,NA,NA,NA,2.00840101968144e-09,NA,1.51700207571525e-08,6.60720330217454e-13,NA,5.10163773074825e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.96960441230601e-07,NA,NA,NA,NA,NA,NA
ANKDD1A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.368911054849745,0.31613186444454,NA,NA,NA,-0.264282115192144,-0.299183503954387,NA,-0.254029965809892,0.301858308530747,0.360667820328488,0.270092502865924,-0.414223700214545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00740263617027757,0.0102004449250382,NA,NA,NA,0.0107954935170362,0.00222575116730395,NA,0.00344230012311364,0.00148759896728947,0.0130598593354349,0.000941328518131336,0.91316895950707,NA,NA,NA
ANKHD1,NA,NA,0.486,0.321,NA,NA,0.376383262447803,0.764527168419541,0.686893579664658,0.412914996944792,0.700268030393645,0.828363487395475,0.450695505363062,0.75109055995265,0.653909583153432,0.383527828780705,0.567902587320733,0.332508523355998,NA,NA,NA,0.473614104584938,NA,NA,NA,NA,NA,NA,NA,-0.305,NA,NA,NA,NA,NA,NA,NA,NA,0,6.36153069793e-07,NA,NA,0.0129091490222133,0.000188247444494812,5.91038090908803e-05,0.00613627464330269,1.24020703026156e-05,1.02375313917584e-05,0.00341012183721623,9.51701264754375e-05,0.000140093353727084,0.013786679415006,0.000750977616636867,0.0149902161051427,NA,NA,NA,0.974848464815782,NA,NA,NA,NA,NA,NA,NA,0.00109240391342,NA,NA,NA,NA,NA,NA
ANKHD1-EIF4EBP3,NA,NA,0.260107867887758,0.862242768172362,NA,NA,NA,-0.82650381423596,-0.754279473316973,NA,0.745852686133771,0.868207380637443,0.424642141390807,0.739627235184562,0.654323708722543,NA,0.518625287331346,NA,NA,NA,NA,0.475328432479502,NA,NA,NA,NA,NA,NA,0.480278362189567,0.954117529063615,NA,NA,NA,NA,NA,NA,NA,NA,0.00662598694714138,1,NA,NA,NA,0.999999999999999,0.999999999998662,NA,0.999999999999955,1,0.985446771225404,0.999999999999996,0.999999877943639,NA,0.999913430213476,NA,NA,NA,NA,0.975941694937794,NA,NA,NA,NA,NA,NA,0.985607422025016,0.999999999999974,NA,NA,NA,NA,NA,NA
ANKMY1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.684,0.473633086776666,NA,NA,NA,0.461450121675205,NA,NA,NA,-0.289222915018903,NA,NA,NA,NA,0.348584091382774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0163906297662615,NA,NA,NA,0.974125863764511,NA,NA,NA,0.0150107676965295,NA,NA,NA,NA,0.0495282067456495,NA
ANKRA2,NA,NA,-0.443264172110999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.971888846179805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANKRD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.417,-0.724,NA,-0.532,-0.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA
ANKRD13C,NA,NA,0.726497590617971,0.336055359312126,NA,NA,NA,NA,NA,NA,NA,0.725553197668059,NA,NA,NA,NA,NA,NA,NA,NA,-0.401,0.714869606570802,NA,NA,0.355434946272693,0.80554877855427,0.652755594887023,0.628990967102817,-0.37,0.311,0.636992280823895,-0.407,0.74507504713907,NA,0.755229037022012,NA,NA,NA,3.55478982456103e-08,0.000575050665787802,NA,NA,NA,NA,NA,NA,NA,1.90595937002661e-06,NA,NA,NA,NA,NA,NA,NA,NA,7.22259858758e-13,8.4804173064559e-07,NA,NA,0.000827712994558168,1.54858468393323e-08,2.56162156665595e-05,1.12353280477098e-05,8.43071264798e-08,0,1.39864562729909e-05,0,5.1352441591906e-06,NA,9.26610480244298e-07,NA
ANKRD13D,NA,NA,-0.391,NA,NA,NA,NA,NA,0.311,NA,-0.326,0.62,NA,-0.345,NA,NA,NA,NA,NA,NA,0.486808862130413,0.316680494526353,NA,NA,NA,NA,0.308363347256682,NA,0.398192160038779,-0.596,NA,0.376108751641174,NA,NA,0.33518927447591,NA,NA,NA,1.05374835401e-08,NA,NA,NA,NA,NA,2.36037232815e-05,NA,4.27652076529e-09,0,NA,7.42902928526e-09,NA,NA,NA,NA,NA,NA,0.000509739067083746,0.000212011463627701,NA,NA,NA,NA,0.0104629781618437,NA,0.000158296810422067,0,NA,0.00127509187274872,NA,NA,9.02025624241777e-05,NA
ANKRD17,NA,NA,0.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.15325029332e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANKRD18CP,NA,NA,-0.338,-0.348,0.373354729775389,NA,-0.327,-0.364,-0.322,0.388125608218898,0.906141410036518,0.583653839501132,0.888538987524284,-0.364,-0.364,0.851341805994506,-0.346,0.900820400140923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82409965726705,0.823575639387934,NA,NA,1.15294769728e-09,3.26412250211e-10,1.19799132408021e-10,NA,7.67615978375e-08,9.85081150939e-10,2.40851739462e-07,2.26523329528904e-11,1.89140074130019e-07,3.9508633263466e-11,5.45777900190215e-07,1.08204718064e-10,4.78876377846e-10,7.70368221130978e-07,1.37972133718e-10,6.82977318651024e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
ANKRD36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.558402806733581,NA,NA,NA,NA,0.551855791002728,NA,NA,0.383815564723453,0.831833073969205,NA,0.753328166741135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998406562401202,NA,NA,NA,NA,0.999754971012764,NA,NA,0.93056470215889,0.999999999999895,NA,0.999999999976448,NA,NA,NA,NA
ANKRD36C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.592181345010662,0.370461641190762,NA,NA,NA,NA,NA,0.280596233698185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000826149634195188,0.00320288319399346,NA,NA,NA,NA,NA,0.0345512468090308,NA,NA,NA,NA,NA,NA,NA,NA
