,1st_exp_iPSC.0573.10x,1st_exp_iPSC.0573.3x,1st_exp_iPSC.0692.10x,1st_exp_iPSC.0692.3x,1st_exp_iPSC.0884.10x,1st_exp_iPSC.0884.3x,1st_exp_iPSC.5497.10x,1st_exp_iPSC.5497.3x,1st_exp_iPSC.5644.10x,1st_exp_iPSC.5644.3x,1st_exp_iPSC.6152.10x,1st_exp_iPSC.6152.3x,1st_exp_iPSC.6770.10x,1st_exp_iPSC.6770.3x,1st_exp_iPSC.9634.10x,1st_exp_iPSC.9634.3x,1st_exp_iPSC.9811.10x,1st_exp_iPSC.9811.3x,1st_exp_NGN2.0573.10x,1st_exp_NGN2.0573.3x,1st_exp_NGN2.0692.10x,1st_exp_NGN2.0692.3x,1st_exp_NGN2.0884.10x,1st_exp_NGN2.0884.3x,1st_exp_NGN2.5497.10x,1st_exp_NGN2.5497.3x,1st_exp_NGN2.5644.10x,1st_exp_NGN2.5644.3x,1st_exp_NGN2.6152.10x,1st_exp_NGN2.6152.3x,1st_exp_NGN2.6770.10x,1st_exp_NGN2.6770.3x,1st_exp_NGN2.9634.10x,1st_exp_NGN2.9634.3x,1st_exp_NGN2.9811.10x,1st_exp_NGN2.9811.3x,2nd_exp_iPSC.4088.10x,2nd_exp_iPSC.4088.3x,2nd_exp_iPSC.4090.10x,2nd_exp_iPSC.4090.3x,2nd_exp_iPSC.4714.10x,2nd_exp_iPSC.4714.3x,2nd_exp_iPSC.4741.10x,2nd_exp_iPSC.4741.3x,2nd_exp_iPSC.4748.10x,2nd_exp_iPSC.4748.3x,2nd_exp_iPSC.5420.10x,2nd_exp_iPSC.5420.3x,2nd_exp_iPSC.6152.10x,2nd_exp_iPSC.6152.3x,2nd_exp_iPSC.6527.10x,2nd_exp_iPSC.6527.3x,2nd_exp_iPSC.6866.10x,2nd_exp_iPSC.6866.3x,2nd_exp_iPSC.6960.10x,2nd_exp_iPSC.6960.3x,2nd_exp_iPSC.9701.10x,2nd_exp_iPSC.9701.3x,2nd_exp_NGN2.4088.10x,2nd_exp_NGN2.4088.3x,2nd_exp_NGN2.4090.10x,2nd_exp_NGN2.4090.3x,2nd_exp_NGN2.4714.10x,2nd_exp_NGN2.4714.3x,2nd_exp_NGN2.4741.10x,2nd_exp_NGN2.4741.3x,2nd_exp_NGN2.4748.10x,2nd_exp_NGN2.4748.3x,2nd_exp_NGN2.5420.10x,2nd_exp_NGN2.5420.3x,2nd_exp_NGN2.6152.10x,2nd_exp_NGN2.6152.3x,2nd_exp_NGN2.6527.10x,2nd_exp_NGN2.6527.3x,2nd_exp_NGN2.6866.10x,2nd_exp_NGN2.6866.3x,2nd_exp_NGN2.6960.10x,2nd_exp_NGN2.6960.3x,2nd_exp_NGN2.9701.10x,2nd_exp_NGN2.9701.3x
ZMYM2,0,0,0.543,0.366,0.576,0.533,0,0,0.495,0.304,0,0,0,0,0.318,0,0.424,0,0,0,0.85,0.781,0.849,0.81,0,0,0.823,0.663,0,0,0,0,0,0,0.709,0,0,0,0,0,0.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00678,0.550512277312336,0.512438130430744,0.597756490436983,0.486712838194232,0.636489584774476,0.525174500939249,0,0,0.516986125575831,0,0,0,0.468084444160749,0,0.61188340106031,0.509674925255923,0.432448919380318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263010843810595,0,0.397011665161016,0,0.481041830097371,0,0.390160623106017,0,0.429160865650869,0,0.418294352264239,0,0.368701857728235,0,0,0,0.533451221809831,0,0.385653424374146,0,0.382926734113519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIP2A,0.859821266953847,0.637407565065884,0.852178007588625,0.487168921533172,0.85721521766637,0.813999551398554,0,0,0.638098538121927,0,0,0,0.687914892730696,0,0.989486546091316,0.801393759025628,0.538571198111638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366520107206883,0,0,0,0,0,0,0,0.347543605289717,0,0.46766558045933,0,0,0,0,0,0.543840409324446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHROMR,0.587,0,0.587,0,0,0.367,0.336,0,0,0,0,0,0,0,0.587,0,0,0,0.318,0.494,0,0.494,0.364,0.494,0,0.494,0,0,0.494,0.494,0.402,0,0,0.283241203749371,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.704,0.559,0,0,0,0,0,0,0,0,0.34,0,0,0.371,0.378,0,0,0,0,0,0.356,0,0,0,0,0,0,0,0,0,0
WSB1,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0.658,0.372,0.288111295411781,0,0.389,0.401487510566591,0.769,0.524,0.736,0.672,0,0,0.394,0.324,0.374727988184491,0,0.632,0.504,0.819,0.523,0.64,0.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOCAD,0,0,0,0,0,0,0,0,0,0,0,0,0.565061282400051,0,0.836138287425912,0.892811781931368,0.740910154457669,0,0.407419720153165,0,0.839713024863526,0,0.761035056820094,0,0,0,0.560753240333916,0,0,0,0.866912017370345,0,0.375865670169635,0.906508779498869,0.844476013707004,0.559843743725711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561459220234016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SULF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643286713770326,0.587407413949513,0.673640995342315,0.57416778004206,0.662774756684633,0.629831727610467,0.433936549803012,0,0.585556783855735,0.528001097151952,0.506272188778555,0.464661288116576,0.572215394452254,0.512614778013821,0.669663423181214,0.570043083859013,0.635295341411703,0.442653987375909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RICTOR,0.281666432850799,0,0.536641188600392,0,0.989150313633109,0,0,0,0,0,0,0,0,0,0.999999999843693,0.849058910858547,0,0,0.662256662343479,0,0.914349366614688,0,0.999999995131929,0.60421207788143,0,0,0.346750633110706,0,0,0,0.447350108723821,0,0.999999999548817,0.311,0.703225597579947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TP53INP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438,0.366,0.423,0.343,0.368,0.383,0,0,0.377,0.337,0.38788401010266,0,0.385,0.304,0.427,0.429,0.399,0.384689783112626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413,0.334,0.373,0,0.309,0,0.305,0,0.352,0,0.366,0,0.342,0,0,0,0.372,0,0.306,0,0.353,0
STXBP6,0.690174093457211,0.724281148385497,0.82664743779005,0.726828566715214,0.944123436843522,0.685157334155549,0,0,0.964887507607796,0.584226421862116,0,0,0.780263389479063,0,0.31,0.932656642624947,0.755222413863425,0.647130362167542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCT7,0.734,0.605,0.716,0,0.746,0.766,0,0,0.552,0,0,0,0.535,0,0.392,0.365,0,0,0,0.402,0,0,0.441,0.785,0,0,0,0,0,0,0.364,0,0.621,0,0,0,0.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHB2,0,0,0.472479856132608,0,0,0,0.474870310013608,0,0.327320018281446,0,0,0.476346732158169,0,0,0.472911903162169,0.472985702396175,0.473163057917094,0.474386053497374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520625313389033,0,0,0,0.516805969393149,0,0.518735116318742,0,0,0,0.518120761189465,0.520081592844839,0,0.516889175692161,0.520082187126091,0,0,0.520778126215096,0.520186904499644,0,0.52006143535095,0.520097002724963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZDHHC11,0,0,0.39,0,0,0.75735549951661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556213037891812,0,0,0,0.491865418073701,0,0,0,0,0,0.301,0,0,0,0,0,0.819713456901021,0.425381979436156,0.51471892911826,0,0.903669151380875,0,0.933385019593746,0,0.495183272037719,0,0,0,0.769586457906306,0,0.583474501391258,0,0.736090506155911,0,0.651599888477294,0,0,0
SLC41A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.624311941435187,0,0,0,0.923267483297436,0.699783432461588,0.909270445816102,0.62116678284861,0.311,0.869209562041565,0,0,0.729920173101122,0.251121443022511,0,0,0.683255581977803,0,0.955294695410483,0.699430454054341,0.68707438375836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352727528607075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LMAN2L,0,0,0,0,0.664,0,0,0,0,0,0,0,0,0,0.633,0,0,0,0.32195736867412,0,0.852,0.855,0.906,0.834,0,0,0.694,0.427539665579313,0,0,0.39,0,0.803,0.599,0.475,0.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374251871453619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM161A,0.342920699987837,0,0.45591624502186,0,0.406,0.267114071108502,0,0,0.36545918965901,0,0,0,0.376258813128437,0,0.698,0.433,0.314,0,0.357502424026583,0.342155737591246,0.374,0.364977212005771,0.432590792101188,0.362504907859148,0,0,0.401660610719738,0,0,0,0.376,0.31934706288053,0.457,0.425,0.332,0.364229038433204,0,0,0,0,0,0,0.342820180864845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3689128150918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WDR90,0,0.615143543086343,0.489,0,0.434,0.58,0,0,0,0,0,0,0,0,0,0.839251627601257,0,0.408132833245941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.868963440498843,0,0,0,0,0,0,0.433530221008903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301,0,0,0.368,0.368,0.368,0.312,0.368,0.368,0,0.368,0,0,0.368,0.368,0,0.305,0,0,0,0.368,0.368
LINGO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554904190719682,0.42728530043364,0.63071091728011,0.607765563366047,0.671806648158486,0.550522540783416,0,0,0.620448255741877,0.596457623645835,0.435475556874805,0,0.640200608451334,0.567814109266937,0.662108356307173,0.625675938118163,0.662842095747659,0.638174307783988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352070763649683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THADA,0.503798883008994,0,0,0,0.793,0.494491431952461,0,0,0,0,0,0,0,0,0.998,0,0,0,0.991,0.337,0.991,0.316,0.943,0.756,0,0,0.357,0,0,0,0,0,0.927,0.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNX4,0,0,0,0,0.785870300548761,0.281214536455558,0,0,0.250586258583332,0,0,0,0.262337661707184,0,0.866602926645103,0.549005079987082,0.353995083784843,0.269588645421854,0.420791661941255,0,0.582827713392435,0.272811701901971,0.909148075152772,0.490256754559878,0,0,0.394268521844579,0,0,0,0.401918138498995,0,0.938783503752052,0.493064429114341,0.368230321492975,0,0,0,0,0,0.263728283883416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD13C,0,0,0,0,0.725553197668059,0,0,0,0,0,0,0,0,0,0.726497590617971,0.336055359312126,0,0,0.652755594887023,0.628990967102817,0.407,0.636992280823895,0.311,0.37,0,0,0.74507504713907,0,0,0,0.755229037022012,0,0.401,0.714869606570802,0.80554877855427,0.355434946272693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276576892928241,0,0,0,0.300281000187465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPLX2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363266174137953,0.266574977775904,0.876928716053248,0.392982290100101,0.848316623358745,0.685155345645842,0,0,0.871395627384565,0.277524256269628,0,0,0.876446792987645,0.329564143889894,0.886370624837743,0.43114936895075,0.848119168881106,0.801158162932571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392185571870006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMC5,0,0,0,0,0.441,0,0,0,0,0,0,0,0,0,0.315,0,0,0,0.772754954139067,0.606094689596237,0.840233469933322,0.491002190076436,0.930013522312346,0.77697588045579,0,0,0.452408755806284,0,0,0,0.534614914528924,0,0.885638911423865,0.710418517471129,0.823768023464776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31148856192566,0,0.255534086821534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCK3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771260162513008,0.556626600829904,0.796903326864886,0.524007222757844,0.369,0.763635223112894,0,0,0.641701332202425,0.254358446568241,0,0,0.615214889231496,0.272791420643846,0.890545118097508,0.79893801233153,0.784033320893731,0.4297198984017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305340558183148,0,0.358710808016869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKAP9,0,0.304,0.304,0.523,0.307,0.371,0,0,0.352,0,0,0,0,0,0.284709685277486,0.306,0.426,0,0.325,0.311,0.318,0.343,0.335,0.33,0,0,0.402306349798791,0.271020122802821,0,0,0.451419801543359,0.259906047578748,0.333,0.442727250255812,0.512169142523623,0.397601267054253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314681660165503,0,0.296756038961196,0,0.289871635337787,0,0,0,0,0,0,0,0,0,0,0,0,0
MTMR3,0.735919290465194,0,0.627822478160489,0,0.953632702351459,0,0,0,0.414590737919703,0,0,0,0,0,0.955456375183818,0.436841100420993,0,0,0.50061404078445,0.38330462749566,0.489084816972473,0.264485875693503,0.479606434057308,0.424139629157511,0,0,0.379536080234672,0,0,0,0.307441299146938,0,0.45,0.405400195327885,0.283929227719297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616241788959084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INO80,0.514025052060573,0,0.71430444024404,0,0.512,0.316,0,0,0.366233129126912,0,0,0,0,0,0.417,0.421317883523268,0,0,0.374,0.402712153726298,0.95495937373254,0,0.362,0.93545000584851,0,0,0.573481384539782,0,0,0,0.530157578588315,0,0.884501475855347,0.392634488863467,0.409826351464835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSIP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541,0.382,0.541,0,0.323,0.541,0.352,0.541,0.37,0.541,0.398,0.541,0.541,0.541,0.541,0.541,0,0.376,0.541,0.541,0.365,0
GNS,0,0,0,0,0,0,0,0,0.453019149169505,0,0,0,0.403794740841465,0,0.999999999799064,0.902629626229759,0.813921443065644,0,0,0,0.535485877111697,0,0.636484847756749,0,0,0,0.625770893342872,0,0,0,0.746499306254166,0,1,0.961515948182728,0.946608162360746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YPEL5,0,0,0.254222351972672,0,0.411,0,0,0,0,0,0,0,0,0,0.673,0.406,0.361,0,0.44,0.322,0.654,0.459,0.378,0.326,0,0,0.36,0,0.374,0,0.364,0,0.393,0.343,0.546,0.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322,0,0.301,0,0.351,0,0.3,0,0.33,0,0,0,0,0,0,0,0,0
TAF5L,0,0,0.433233743053001,0,0.506,0,0,0,0.318429625022159,0,0,0,0,0,0.672,0.46915048312729,0.35,0,0,0,0.897,0.452,0.952,0.488,0,0,0.515,0.298558129103148,0,0,0,0,0.859,0.525,0.813,0.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L3MBTL2,0.734730569780988,0,0.59634216520816,0,0.945,0.647662499585333,0,0,0.509587264467793,0,0,0,0,0,0.316,0,0,0,0.787,0,0.329,0.4,0.423,0.325,0.466136419746335,0,0,0,0,0,0.27905553848728,0,0.458,0.464290823848902,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367578095868883,0,0,0,0.47874654591268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEDD4,0,0,0,0,0.505399004215735,0,0,0,0.349690461452204,0,0,0,0.628668629813998,0,0.435560365658571,0.870453089916776,0.788674065111473,0,0,0,0.783460840977542,0,0.522535923355485,0,0,0,0.437512820591602,0,0,0,0.794887579568258,0,0.945360441404535,0.894620082615152,0.846670835321464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYT1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816438469746452,0.59783100658773,0.750186810758499,0.511535406512746,0.794134897532541,0.792488898303408,0.337225836726501,0,0.563370306170741,0,0.341844491083716,0,0.563402345198315,0,0.628144330287136,0.374358939723147,0.348119326586664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388973752002565,0,0,0,0.358710288780121,0,0,0,0,0,0.375772258066406,0,0,0,0,0,0.256569051238053,0,0,0,0,0
CHD2,0,0,0.335764371683767,0,0.327745236944661,0.326354472066099,0,0,0,0,0,0,0,0,0.702058441020039,0.353120445504418,0.385576949364175,0,0,0,0.930637370697676,0.761765288912588,0.690406979821613,0,0,0,0.661813707264105,0,0,0,0,0,0.931732509817339,0.856091214746125,0.902251559423752,0.633336446409456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458506609778554,0,0.800100288637096,0.434250144011226,0.826603520617268,0.421047965371782,0,0,0.789911165197752,0.270768158865744,0,0,0.861794089745789,0.422192145698668,0.981203664813426,0.932556920801827,0.921760911902709,0.661962187694958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.776273035875899,0.576936398478077,0.885535396138167,0.558073197543927,0.982500754067298,0.960650742125926,0,0,0.60564463557848,0,0,0,0.766585314973456,0,0.349,0.93433050343466,0.819918249466363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525251804770325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARID1A,0.309516475751316,0,0.411017768894728,0,0.607225650453732,0.283858395867195,0,0,0,0,0,0,0,0,0.748188681443674,0.447329768863069,0,0,0.554117180481625,0.408456320230442,0.722639129066916,0.419019379847338,0.900821235077846,0.694578865906456,0,0,0.452292652011379,0,0,0,0.346384885077014,0,0.650313444615323,0.432786092403297,0.348232088117856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNAJC27,0,0,0,0.312789438365438,0,0,0,0,0,0,0,0,0.320792964725976,0,0.434,0.298906183828987,0,0,0.567680142269509,0.503443540966091,0.570415303280088,0.59426485965634,0.479,0.302,0.346528895082979,0,0.364389298156833,0.456307036590131,0,0,0.587761486952798,0.357514733571464,0.322,0.559754017786814,0.308302899058502,0.298687287493231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343052295296351,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392224453690068,0,0,0
TASOR2,0.431,0.362,0.446,0,0.522,0.477,0,0,0.469,0,0,0,0.366,0,0.531,0.475,0.347,0,0,0,0.425951577266093,0,0.782,0.42,0,0,0,0,0,0,0.374,0,0.661,0.41,0,0,0.333,0,0,0,0,0,0,0,0,0,0.357,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP3CA,0.377568097494782,0,0.265234640896422,0,0.677506961389668,0.426045960281924,0,0,0,0,0,0,0,0,0.277618248976217,0,0,0,0.848118492828395,0.521576557968297,0.917464856260157,0.437865522922667,0.968569229904204,0.878885591835985,0,0,0.404448137693532,0,0,0,0.323153746004504,0,0.764012237997655,0.284818860069408,0.286755709339576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NELFA,0,0,0.394810226386771,0,0.667013871238743,0,0,0,0,0,0,0,0,0,0.601517671178139,0.473031415255051,0.278486268787643,0,0.463,0.455017363866043,0.37,0.317318628152647,0.665,0.446,0,0,0.465797517625959,0,0.360211332993959,0,0.400818767190291,0,0.631,0.428,0.325,0,0,0,0,0,0,0,0.264763934861453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250252374868479,0,0.399534519424179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC24A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970163298407038,0.585697063799715,0,0,0.786921946639026,0.811161096599266,0,0,0.652989196211145,0.560060323261016,0.398276341419975,0,0,0,0.840709837530392,0,0.850419018684276,0.74123023946735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889594284439742,0.561289002562214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BICRA,0,0,0,0,0,0,0,0,0,0,0,0,0.307714738445818,0,0.921173401575921,0.79875631508213,0.466756373658827,0,0.308280894740913,0,0.633193230084401,0,0.311385486243538,0,0,0,0.418117315138035,0,0,0,0.777681234574273,0.258087572863101,0.948928741391785,0.891900319672621,0.775355394525621,0.410523560305746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419199921892179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP162,0.562275091453788,0,0.581875552015785,0,0.718556592738306,0.409272824464009,0,0,0.499493424477479,0,0,0,0,0,0.37,0.37905816474075,0,0,0,0,0.764514774038104,0.749673906456455,0.900106368813383,0.770677699855689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450068482826325,0,0,0,0,0,0.577026302253237,0,0,0,0,0,0.390962511948761,0,0.425583283435601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGK,0,0,0,0,0.627651385679531,0,0,0,0,0,0,0,0,0,0.910049428421823,0.435794254002255,0,0,0.760986947296318,0,0.844296964151054,0,0.978768417961089,0.699681242177613,0,0,0,0,0,0,0.529162420013182,0,0.936165448221327,0.783184334899793,0.687860843475367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313357948673848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ULK1,0,0,0.460895340188439,0,0.417835633517091,0,0,0,0,0,0,0,0.374751680956427,0,0.817851269216672,0.575,0.61676366915617,0,0,0,0.658933103224228,0,0.397053247248262,0,0,0,0.565819738221625,0,0,0,0.679981337741871,0.265150414684369,0,0.807729995287621,0.627598191359098,0.350112150205732,0,0,0,0,0,0,0.416143103012987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45071417647762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL4A5,0.472852706444418,0,0,0,0,0,0,0,0.914899302760462,0.872706331233676,0.539464097062392,0,0.968382322569291,0.922115581792976,0.696,0.334,0,0.918575719396221,0,0,0,0,0,0,0,0,0,0,0,0,0.918845138494739,0.919797701148452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1orf94,0.67589746436251,0.542953312050988,0.703632755730349,0.412966642763642,0,0.673972146513571,0,0,0.625313493153214,0.360492663007651,0,0,0.578637487110608,0.299735154001114,0.816612923295041,0.688098903290851,0.678880530446242,0.272412821690684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536414092925903,0,0,0,0.611428790636429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF2D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358,0,0,0,0.402,0.424,0.44,0.42,0.412,0.408,0,0,0.445,0.415,0.404182635460725,0,0.436,0.441,0.404,0.437,0.412,0.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329,0,0.368,0.319,0,0,0,0,0.411,0,0,0,0.314,0,0,0,0,0
MANEA,0.491601626192947,0,0.289700880048481,0,0.835656825633677,0.259564679036364,0,0,0,0,0,0,0,0,0.779699944912287,0.376801723608651,0,0,0.755141030573729,0.437754381685299,0.759491572883895,0.399243202535136,0.919141525614183,0,0,0,0.526521883811997,0,0,0,0,0,0.79280467209295,0.709029337887537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
