,1st_exp_iPSC.0573.10x,1st_exp_iPSC.0573.3x,1st_exp_iPSC.0692.10x,1st_exp_iPSC.0692.3x,1st_exp_iPSC.0884.10x,1st_exp_iPSC.0884.3x,1st_exp_iPSC.5497.10x,1st_exp_iPSC.5497.3x,1st_exp_iPSC.5644.10x,1st_exp_iPSC.5644.3x,1st_exp_iPSC.6152.10x,1st_exp_iPSC.6152.3x,1st_exp_iPSC.6770.10x,1st_exp_iPSC.6770.3x,1st_exp_iPSC.9634.10x,1st_exp_iPSC.9634.3x,1st_exp_iPSC.9811.10x,1st_exp_iPSC.9811.3x,1st_exp_NGN2.0573.10x,1st_exp_NGN2.0573.3x,1st_exp_NGN2.0692.10x,1st_exp_NGN2.0692.3x,1st_exp_NGN2.0884.10x,1st_exp_NGN2.0884.3x,1st_exp_NGN2.5497.10x,1st_exp_NGN2.5497.3x,1st_exp_NGN2.5644.10x,1st_exp_NGN2.5644.3x,1st_exp_NGN2.6152.10x,1st_exp_NGN2.6152.3x,1st_exp_NGN2.6770.10x,1st_exp_NGN2.6770.3x,1st_exp_NGN2.9634.10x,1st_exp_NGN2.9634.3x,1st_exp_NGN2.9811.10x,1st_exp_NGN2.9811.3x,2nd_exp_iPSC.4088.10x,2nd_exp_iPSC.4088.3x,2nd_exp_iPSC.4090.10x,2nd_exp_iPSC.4090.3x,2nd_exp_iPSC.4714.10x,2nd_exp_iPSC.4714.3x,2nd_exp_iPSC.4741.10x,2nd_exp_iPSC.4741.3x,2nd_exp_iPSC.4748.10x,2nd_exp_iPSC.4748.3x,2nd_exp_iPSC.5420.10x,2nd_exp_iPSC.5420.3x,2nd_exp_iPSC.6152.10x,2nd_exp_iPSC.6152.3x,2nd_exp_iPSC.6527.10x,2nd_exp_iPSC.6527.3x,2nd_exp_iPSC.6866.10x,2nd_exp_iPSC.6866.3x,2nd_exp_iPSC.6960.10x,2nd_exp_iPSC.6960.3x,2nd_exp_iPSC.9701.10x,2nd_exp_iPSC.9701.3x,2nd_exp_NGN2.4088.10x,2nd_exp_NGN2.4088.3x,2nd_exp_NGN2.4090.10x,2nd_exp_NGN2.4090.3x,2nd_exp_NGN2.4714.10x,2nd_exp_NGN2.4714.3x,2nd_exp_NGN2.4741.10x,2nd_exp_NGN2.4741.3x,2nd_exp_NGN2.4748.10x,2nd_exp_NGN2.4748.3x,2nd_exp_NGN2.5420.10x,2nd_exp_NGN2.5420.3x,2nd_exp_NGN2.6152.10x,2nd_exp_NGN2.6152.3x,2nd_exp_NGN2.6527.10x,2nd_exp_NGN2.6527.3x,2nd_exp_NGN2.6866.10x,2nd_exp_NGN2.6866.3x,2nd_exp_NGN2.6960.10x,2nd_exp_NGN2.6960.3x,2nd_exp_NGN2.9701.10x,2nd_exp_NGN2.9701.3x
LINC02210,0.938336103338623,0.857706593980787,0.834,0.778274147809613,1,0.842,0.482567129051608,0,0.322,0.596247595613327,0.530319038028799,0.25144056146028,0.853279543445956,0.511264642922326,0.969933966278185,0.651739641212633,0.575266309267076,0.26774192348058,0.977952673525122,0.576,0.997419343931909,0.998,0.969791106495289,0.998,0.848069558741701,0.605972074387972,0.965771775580544,0.771767517461267,0.820366385559607,0.609505967818361,0.907019978204994,0.715735183913683,0.997419325052486,0.923500218488843,0.935157525503275,0.498160813027148,0.824332212993909,0.480501868192717,0.576073792235871,0,0.332,0.499216146877572,0.757175577157389,0,0.771994253703096,0.287357712710629,0.702176026317566,0.390058054604758,0.530016065726408,0.296365418322937,0.569003326062447,0,0.814700125156275,0.512934694551497,0.665317661255518,0.284047204002563,0.589761508340126,0,0.334,0.592512886205755,0.685811954698699,0.295577025709753,0.426,0.669139871897853,0.863051816064159,0.315881311277062,0.780234973035227,0.543601377365512,0.635481062676431,0.278376832043329,0.609369323251885,0.398914738365771,0.664186284726773,0,0.718822641684219,0.398474811318386,0.88394514035595,0.523949059811014,0.813650973781281,0.369145604390344
ZFP82,0.899846840901852,0.787584243437071,0.812683925562438,0.762450499625061,0.927971351521535,0.902397343813861,0.531644363488357,0,0.847467038958416,0.658639831311815,0.531898386629335,0.304759169810112,0.843060444083308,0.510629151658368,0.931217886460013,0.8696089511336,0.822580949770245,0.544692921058892,0.797819589494591,0.772541643476111,0.796539037697516,0.777712686961905,0.831993204754448,0.818713999404642,0.670380746516952,0.369571935573601,0.774388327784508,0.678469007380859,0.635560062439291,0.428174832634584,0.792482548172536,0.58464303742693,0.805614767795276,0.790245397806161,0.757692955388133,0.679611362191826,0.727686097824184,0.419879671383535,0.653158179102874,0.362057554376766,0.755160525079441,0.495542579149435,0.654936237898675,0.358127324287143,0.713547909826799,0.333135360739628,0.704163456614872,0.372653473608235,0.580667814269905,0.300268487704534,0.594056413890664,0.273969686413383,0.859526530457158,0.528590304966814,0.653949638067893,0.381910224835279,0.660821852378767,0.267730845472732,0.695538562940406,0.477263613244945,0.664352863032894,0.381576115175803,0.719183763541601,0.50929266652795,0.621665799425834,0.324820307375301,0.623195487985567,0.442487502525849,0.550018046786241,0,0.583007939660401,0.294471507549583,0.570276514755454,0.373389703768346,0.629639396422502,0.344450520743289,0.66170597357777,0.406206439565724,0.627665876109282,0.368809918991916
PDXDC2P,0.966088393323604,0.92493974213909,0.903114308095755,0.938650472286369,0.933598743321016,0.925264786213247,0.462983604059885,0,0.920033143236633,0.773977848220383,0.709432250138862,0,0.920028540375131,0.646636188507048,0.887804729151066,0.845550452825729,0.891637808701031,0.828470049182491,0.950631073393316,0,0.962985496866931,0,0.966644246101288,0.966854820822233,0,0,0,0.885435758584431,0.968242775526243,0,0.645196974256708,0.638575117085769,0,0,0,0.918981895042285,0.889820354066469,0,0.484675227464518,0,0.887434282413678,0.405527292034937,0.964424757499311,0.596941225527371,0.85126544446736,0,0.738971691292847,0,0.783419731785008,0,0.618775894097101,0,0,0.57971954986005,0,0,0,0,0.927563381490911,0.777848768728701,0.860589486368964,0.703735198156376,0.95567216542939,0.815560859664095,0.947588694070771,0.875580809872877,0.897865127237225,0.788255492865744,0.865966905239742,0.778773301622886,0.898369249623993,0.720509398680798,0.941971990810736,0.827262566917518,0.930100911097665,0.776793517925253,0.928147543314,0.718918892876686,0.845963400545525,0.747373726422573
ABCB8,0.807,0.718,0.833,0.672,0.947,0.876,0.376,0,0.637,0.32,0.382,0.26436180254839,0.487,0.458145786523324,0.767,0.586,0.484,0,0.883,0.861,0.884,0.907,0.904,0.907,0.788,0.476,0.875,0.561,0.723,0.48,0.856,0.714,0.867,0.733,0.765,0.518,0.745049655300523,0.494646657874468,0.534857240649356,0,0.649085201257036,0,0.70916320096109,0,0.652704225168562,0,0.443727905516732,0,0.519776951240037,0,0.540966114245603,0,0.745339744721164,0.536303956426213,0.55435223988302,0,0.398283145963037,0,0.849,0.524,0.735,0.506209313584511,0.82,0.607,0.801,0.537733585578864,0.822,0.51765754827347,0.764872724906475,0.446,0.615,0.453573895783474,0.698,0.444561503194778,0.797,0.548,0.745,0.422,0.765,0.626133116059595
RAF1,0.795,0.528,0.81,0.46,0.964,0.746,0.316711691757421,0,0.742,0.420216212548235,0.355,0.270736278111926,0.716,0.425172720881562,0.99,0.96,0.832,0.369,0.967,0.933,0.968,0.91,0.979,0.972,0.755,0.505,0.959,0.823,0.865,0.592,0.96,0.822,0.975,0.975,0.967,0.859,0.395,0,0.264857788669262,0,0.344,0,0.671,0.274852729581439,0.389140060450695,0,0.514,0.326530883186769,0.322,0,0.293674416866483,0,0.588,0.255158311865131,0.317645227638184,0,0.410012432508418,0,0.794,0.479,0.662,0.366,0.809,0.469,0.912,0.597,0.75,0.376,0.739,0.452,0.725,0.397,0.654,0.317,0.697,0.333,0.77,0.391,0.695,0.343
CLASP2,0.821,0.821,0.561508468852574,0.403,0.652,0.555119376900061,0.515283366394571,0,0.656,0.5088444614627,0.552851794744221,0.366883859749142,0.656,0.520323738151824,0.553724695472754,0.572492524527712,0.579654971564737,0.497752562983264,0.800499460802927,0.800612003971409,0.916553335146631,0.788968827158632,0.404,0.38,0.728804588336651,0.495402384307501,0.813015661703444,0.679888199230401,0.66704572316046,0.508213168791394,0.75283597773575,0.53095291372497,0.917558929344295,0.814764424991611,0.798961436840174,0.588400341755492,0.971,0.447384079611039,0.503054556483188,0.381747899183689,0.528714467530952,0.464521093807531,0.520481148620245,0.380066325495353,0.522651996928721,0.44381961302828,0.51800708895976,0.423185411865828,0.517999062377728,0.376657939715572,0.526112518175811,0,0.52997189013208,0.486989301296945,0.533079035609311,0,0.530785473902494,0,0.748151749363081,0.511937808549755,0.689346214910737,0.50064185482018,0.863108811912533,0.505722331742415,0.705228996695809,0.434150677335857,0.730325634458919,0.431816591478351,0.633641662364182,0.37055718200462,0.626932830679783,0,0.727101382313779,0,0.681936088723976,0.381891940166394,0.671574390649654,0.479549033801565,0.622820865748554,0
TAF2,0.664,0.595,0.695,0.578,0.714,0.672,0.349,0,0.652,0.432,0.42,0.268831731144065,0.631,0.356,0.671,0.603,0.557,0.346,0.885,0.862,0.908,0.757,0.965,0.918,0.744,0.449,0.897,0.549,0.636,0.443,0.875,0.542,0.948,0.745,0.782,0.506,0.546,0.351,0.426,0.355,0.615,0.383,0.426,0.393,0.543,0,0.577,0.349,0.505,0,0.48,0,0.608,0.408,0.523,0.34,0.471,0.269354882656434,0.782,0.45,0.63,0.305,0.763,0.484,0.653,0.479086362582598,0.654,0.428,0.635,0.362,0.583,0.387,0.576,0.303,0.676,0.366,0.674,0.432,0.608,0.38
WDR27,0.869452277136541,0.804569622593817,0.789735230992094,0.701288569098938,0.31,0.831282301386169,0,0,0.37333014656934,0.410443335559537,0.415103670452884,0,0.522488874049493,0,0.962175017087471,0.849793222276456,0.785085138118277,0,0.961748923911276,0.980565855661381,0.492,0.914138831434185,0.631,0.546,0.914454251852659,0.78085981212284,0.961308786993327,0.782667810618537,0.753444390425295,0.654133809959983,0.98774383119488,0.888953705525473,0.405,0.975629988710408,0.939180166371986,0.89587035231113,0.462249382769868,0,0.408297091975579,0,0.705777917818531,0,0.453777841890345,0,0.540756362591773,0,0.526608384464818,0,0.60651893297101,0,0.404846719478782,0,0.375,0.389222947537017,0.496368240515898,0,0.414637950963112,0,0.893300995338803,0.565173843732127,0.892596159658519,0.434922759945776,0.46,0.694829044333617,0.889052283944059,0.604794283864442,0.498,0.568610313953388,0.797152344680101,0.507087164834984,0.820408469200166,0,0.864400575954182,0.481425248875651,0.913839409288783,0.557709407988808,0.941670021937497,0.593431892479891,0.857807602389157,0
AXIN1,0.76,0.691,0.736,0.585,0.468,0.759,0.331,0,0.715,0.429,0.37,0,0.669,0.379,0.795,0.384,0.766,0.488,0.87,0.853,0.87,0.823,0.87,0.87,0.769,0.355,0.865,0.759,0.714,0.415,0.865,0.699,0.842,0.87,0.862,0.748,0.536,0.311288231271635,0.438,0.301967286346074,0.612,0.301563983076495,0.573,0.28009148828141,0.515,0.289277742569776,0.51,0.282945150281783,0.429,0,0.509,0,0.701,0.407,0.566,0.29609619848702,0.476,0.271325566002508,0.3,0.306,0.593,0.336,0.345,0.514,0.653,0.314,0.689,0.412,0.577,0.301979902661874,0.568,0,0.614,0.331765386732526,0.645,0.309,0.69,0.394,0.507,0.33904706756148
DHFR,0.827740421022942,0.714217971435039,0.806508513476939,0.670878260481137,0.89135223481024,0.805751267495212,0,0,0.726102362777019,0.372856510807262,0.28910471086364,0,0.646161664618231,0.282846234630565,0.81608071780141,0.718482699540761,0.636072198418662,0,0.920259999065652,0.863667708213559,0.970557213875853,0.863006706123245,0.96947848597781,0.986577491757688,0.698925118401842,0.458642857701118,0.907325696023952,0.714150418088006,0.716480679772927,0.433083047517275,0.859516015341768,0.722743863864403,0.920066121360728,0.861023195002378,0.863527481834771,0.691835568320132,0.55147050456983,0,0.499002305445189,0,0.61117548266134,0,0.492776026777365,0,0.527816857232746,0,0.351062703181244,0,0.36125234252148,0,0.327854779574601,0,0.628675514729895,0.274532027602303,0.417859723157398,0,0.403746365573891,0,0.757723134644184,0.539191980142415,0.720291560241404,0.464260951270001,0.820494570504951,0.645815325074288,0.748281456089413,0.295502941093558,0.705981599323471,0.521993975745467,0.613451707774844,0.290300601296613,0.679853666536198,0,0.682616653145718,0,0.624511391242153,0.392871345634654,0.791812141454751,0.368251446677182,0.653445332182003,0
