"","dPSI_Sy5Y_1755497_10x"
"KCNT2",0.871
"POMT2",0.852
"ASAP1",0.838
"C12orf4",0.826541358942811
"ARL15",0.791
"AL589743.1",0.782470082990223
"CACNA2D1",0.709372963941624
"HDX",0.691
"PDE7A",0.674
"LINC02210",0.668301431989899
"WDR27",0.660542137077523
"LARP7",0.647
"CHRM2",0.631125040468453
"EVC",0.624094350189211
"MAOA",0.612
"LRRC42",0.604
"RAB3IP",0.586
"DUXAP9",0.582410882552612
"ASAP2",0.556
"EHHADH",0.555255464138457
"GXYLT1",0.549021236057197
"MELTF",0.532594061861654
"ZNF37BP",0.531054616348403
"TAF2",0.528
"OCLNP1",0.526100828019505
"LIMCH1",0.523
"LYRM1",0.52
"VPS28",0.518
"ERGIC3",0.511
"MADD",0.496
"PHOX2B-AS1",0.491192708529063
"PNISR",0.483005893642461
"KDM6A",0.483
"AXIN1",0.482
"MYCBP2",0.468
"TIAM1",0.459234682375705
"MACROD2",0.454276714605929
"LRGUK",0.45276248246851
"SMN1",0.445857791674779
"SDCBP2-AS1",0.44
"AL713999.1",0.43095245248054
"ZMYM6",0.426702957258248
"APLP2",0.423
"VPS29",0.422
"PIGN",0.421
"BECN1",0.420227342424944
"TET1",0.420219991849046
"TPTEP2",0.418915259674516
"NIPA1",0.406
"SKP1",0.402904442704161
"NBR2",0.3987158787486
"SPIDR",0.397410541248321
"NUP58",0.392
"HTT",0.389367040198045
"EXOC6B",0.385
"ZFP82",0.382568968421261
"CAPS2",0.374
"GGCT",0.374
"STOX2",0.373967152733533
"ZMIZ2",0.371
"MMS22L",0.368251732532534
"DLGAP4",0.366278439014716
"CHEK1",0.364
"ARMCX6",0.362516330881997
"ELMO2",0.36
"SENP6",0.358
"DHFR",0.356595749669995
"TMEM50B",0.354758302469947
"DENND4A",0.354
"ENAH",0.347536577191499
"ABCB8",0.346
"LCMT1",0.346
"STRN3",0.346
"SMN2",0.344508911370233
"APPL2",0.343931556225073
"RAP1A",0.343
"ARHGEF9",0.34
"FOXM1",0.337
"KLHDC4",0.327
"MIR9-3HG",0.326
"C14orf132",0.325
"RAF1",0.322917427606473
"IQCH",0.32
"GNAQ",0.313894666688067
"ZNF618",0.312
"ADAM23",0.31
"SLC25A17",0.308
"FAAP20",0.307
"STXBP1",0.297498597179584
"PRICKLE1",0.296257321220949
"WNK1",0.286063004527763
"SGIP1",0.284043249171368
"ZNF730",0.274292514598007
"TMEM214",0.268107460355695
"SF3B3",0.262512040693416
"RCC1",0.259192325341105
"TENT2",0.259059022453933
