"","dPSI_iPSC_2195327_10x"
"ASAP1",0.936
"ARL15",0.877
"ZNF37BP",0.861616279645594
"POMT2",0.809
"C12orf4",0.793833613219709
"ADAMTS19",0.770513618364545
"LARP7",0.693
"HAUS3",0.678247610793778
"PDE7A",0.656
"FBN2",0.655428583161333
"KDM6A",0.655
"MAOA",0.654008694477902
"PDXDC2P",0.650131712739455
"AC009022.1",0.64445363776519
"LINC02210",0.637370556569836
"MADD",0.631
"HDX",0.616
"AC104109.3",0.615284113724869
"GRAMD2B",0.609
"NAV2",0.586
"EXOC6B",0.578
"ZNF730",0.573589229639355
"LYRM1",0.572
"C14orf132",0.571994639830798
"ZFP82",0.567419254514904
"LRRC42",0.567
"HTT",0.557080017251854
"TPTEP2",0.552
"TMEM237",0.52321101244124
"ZNF66",0.5201707654363
"TAF2",0.504
"CLASP2",0.484467772115282
"ERGIC3",0.482
"ZDHHC13",0.466
"MYCBP2",0.461
"SENP6",0.449
"ABCB8",0.443210477784673
"ZNF423",0.442139890301252
"SPIDR",0.440227588633171
"AXIN1",0.44
"BECN1",0.439971492603635
"ANKRD18CP",0.434104073415278
"MAN1B1",0.42711787429694
"RAB2B",0.425202716211107
"AC138894.1",0.423
"SMYD2",0.423
"DLGAP4",0.419566670645127
"SMTN",0.418
"VPS29",0.416
"CRYM",0.415089156673961
"MMS22L",0.414036525294895
"ZMYM6",0.407297206233545
"TIAM1",0.40285137455127
"EVC",0.399138790658184
"LINC00678",0.39815459404601
"GALC",0.396
"TENT2",0.387461846872687
"LRP8",0.387
"LINC00862",0.38695832578445
"LARS1",0.385
"FOXM1",0.38075448414477
"KLHDC4",0.373
"STOX2",0.372661257266689
"CCT7",0.366
"HSD17B4",0.364612601800907
"FAAP20",0.361
"KIF21A",0.36095116032251
"CLN3",0.358
"ANXA11",0.352
"TMEM214",0.351937269481206
"ARMCX6",0.349131251409833
"GGCT",0.349
"NUP58",0.345
"ZNF618",0.342265408113194
"STRN3",0.342
"RCC1",0.339864747482298
"PNISR",0.339837853973953
"TCF4",0.338343899036538
"SKP1",0.336
"DHFR",0.335745362647995
"ENAH",0.330197338000233
"MATK",0.329542792957873
"FHOD3",0.323
"DENND5A",0.320805123538312
"ODR4",0.320310855279336
"AMT",0.319
"ELMO2",0.316
"SCHIP1",0.315
"WNK1",0.312381202202054
"RAF1",0.31
"ZNF680",0.308714882636486
"WNK3",0.291489271310966
"TMEM50B",0.2896430926589
"SF3B3",0.28152587472685
"GXYLT1",0.281112876921726
"GRB10",0.275079055926813
"PLCH1",0.270326146230286
"FAM162A",0.263327047381168
