"","dPSI_iPSC_2197294_10x"
"ARL15",0.759
"ASAP1",0.746
"C12orf4",0.709965416372397
"POMT2",0.696
"PDE7A",0.635
"LARP7",0.619
"HDX",0.599
"AC104109.3",0.579590214137236
"LRRC42",0.57
"MADD",0.564
"KDM6A",0.56
"ZFP82",0.549196335655817
"NAV2",0.545
"LINC02210",0.512795979978572
"SKP1",0.51263499596644
"CLASP2",0.489014982048322
"SPIDR",0.480868345356896
"ADAMTS19",0.476206991591687
"TAF2",0.449
"HTT",0.44629371934468
"LARS1",0.441
"FAM221A",0.44
"ABCB8",0.433
"GRAMD2B",0.417633731267526
"AC138894.1",0.417
"CHD9",0.412336141442338
"LYRM1",0.401
"EXOC6B",0.39252497708724
"MORN1",0.390210901806837
"BECN1",0.388339486688743
"MYCBP2",0.378
"RAB3IP",0.377
"DGKZ",0.369
"CLN3",0.358
"NUP58",0.349567406622488
"DLGAP4",0.337625434531453
"CACNA2D1",0.332643338254058
"AXIN1",0.323
"INTS3",0.321
"RPS6KL1",0.318
"TENT2",0.315807763027616
"ZNF618",0.313430218941749
"CD27-AS1",0.311
"STRN3",0.31
"ERGIC3",0.309149231809755
"VPS29",0.308
"FAAP20",0.301
"ZFAND4",0.3
"RCC1",0.286619339495333
"ENAH",0.285529691139793
"GXYLT1",0.275137198527415
"DHFR",0.266499424894192
