,iPSC_2197294_3x,NGN2_2197294_3x,Sy5Y_2197294_3x
ABCB8,1,1,0
AC136604.3,0,1,0
AC138894.1,0,1,0
AL391807.1,0,0,1
AL589743.1,0,0,1
ARL15,1,1,1
ASAP1,1,0,1
ASAP2,0,0,1
ASCC3,0,1,0
AXIN1,0,1,0
CACNA1B,0,0,1
CEP57,0,1,0
CLASP2,0,1,0
CLN3,0,1,0
DENND1A,0,1,0
DGKZ,1,0,0
DHFR,0,1,0
DLGAP4,0,1,0
DPF2,1,0,0
DRG2,1,0,0
ENAH,0,1,0
ERGIC3,0,0,1
EVC,0,1,0
EXOC6B,0,0,1
GGA2,1,0,0
HDX,1,1,1
KCNT2,0,0,1
KDM6A,1,0,1
KIAA1549L,1,0,0
KLHL1,0,1,0
LARP7,1,1,1
LIMCH1,0,1,1
LINC00963,0,1,0
LINC02210,0,1,1
LRP8,0,1,0
LRRC42,1,1,1
MACF1,0,1,0
MADD,1,0,1
MANBA,0,1,0
MAOA,0,0,1
MELTF,0,0,1
NAV2,1,0,0
OSBPL6,1,0,0
PDE7A,1,1,1
PHOX2B-AS1,0,1,1
POMT2,1,1,1
PPIP5K1,0,1,0
RAF1,0,1,0
RASSF8-AS1,1,0,0
SKP1,1,1,0
STRN3,1,1,1
STXBP5L,0,1,0
SVOPL,0,1,0
TAF2,1,1,1
TRIM65,0,1,0
TSNARE1,0,0,1
VDAC3,0,1,1
VPS29,1,0,0
WDR17,0,1,0
WDR27,0,0,1
XPO1,1,0,0
ZFAND4,1,0,0
ZFP82,1,1,0
ZNF37BP,0,0,1
