"","1st_exp_iPSC.6152.3x","2nd_exp_iPSC.6152.3x"
"ARL15",0.720538851426466,0.667107268604948
"PHB2",0.476346732158169,0.516889175692161
"GRAMD2B",0.608701939651363,0.349256990331551
"SENP6",0.434519710420322,0.475500179106231
"TPTEP2",0.351787572600944,0.491950375709931
"MATK",0.446943218831285,0.380226794615918
"FOXM1",0.378628189910238,0.356355420587645
"EXOC6B",0.339720002642673,0.373625391163155
"VPS29",0.366832778243315,0.321779294591479
"ERGIC3",0.344984784343102,0.285784834112786
"ZFP82",0.304759169810112,0.300268487704534
"LINC02210",0.25144056146028,0.296365418322937
"HDX",-0.511238624060266,0.512465709763022
