"","dPSI_iPSC.6960.10x"
"ASAP1",0.967
"ARL15",0.958850447811429
"POMT2",0.877
"HDX",0.801
"LARP7",0.791
"PDE7A",0.717
"KDM6A",0.691
"LINC02210",0.665317661255518
"C12orf4",0.658821176022036
"HTT",0.658057131090055
"ZFP82",0.653949638067893
"SPIDR",0.644730494279318
"CRYM",0.6183022338792
"GRAMD2B",0.593354441886924
"LRRC42",0.593
"LYRM1",0.589
"NAV2",0.584
"AXIN1",0.566
"ABCB8",0.55435223988302
"APPL2",0.53990449938402
"CLASP2",0.533079035609311
"FBN2",0.531180559362377
"SKP1",0.530568110137434
"ERGIC3",0.529
"BECN1",0.524321359378441
"TAF2",0.523
"PHB2",0.520186904499644
"EVC",0.513534552062049
"WDR27",0.496368240515898
"EXOC6B",0.494
"SERPINB6",0.458867169515809
"SENP6",0.442068854113546
"TMEM50B",0.441648719358361
"VPS29",0.44
"RAB2B",0.438518124389546
"MYCBP2",0.433
"CEP162",0.425583283435601
"DHFR",0.417859723157398
"TNRC6A",0.412764905905033
"ZMYM6",0.403723779195965
"CLN3",0.39
"UNC13A",0.388055208396514
"LINC00678",0.385653424374146
"WNK1",0.380031365548554
"TIAM1",0.377926860721357
"MAN1B1",0.373199780603504
"DLGAP4",0.371778852722104
"MMS22L",0.370128851094279
"CHD9",0.366378925470958
"FAAP20",0.366
"ENAH",0.364056032726393
"MATK",0.361825156582807
"FHOD3",0.361
"ZNF730",0.360543312958229
"AC138894.1",0.354
"TSNARE1",0.352734102402187
"STRN3",0.352
"TENT2",0.3440197529608
"MADD",0.337
"ANXA11",0.336
"RAP1A",0.335
"ADAMTS19",0.33
"ARMCX6",0.329202443428759
"PYCR1",0.323802795435863
"RAF1",0.317645227638184
"SNHG5",0.317
"TAB3",0.315
"KIAA1549L",0.307
"NUP58",0.303
"PNISR",0.298825030785589
"CDC37L1",0.296587776274436
"TCF4",0.295027416723265
"ZNF618",0.293898390816053
"SF3B3",0.288224107285938
"RCC1",0.273939590196826
"MLLT10",0.266379168826435
"GOLT1B",0.265534276882692
"TMEM214",0.260706783876314
"FOXM1",0.255157056069397
