dPSI_iPSC.4088.10x,dPSI_iPSC.4090.10x,dPSI_iPSC.4714.10x,dPSI_iPSC.4741.10x,dPSI_iPSC.4748.10x,dPSI_iPSC.5420.10x,dPSI_iPSC.6152.10x,dPSI_iPSC.6527.10x,dPSI_iPSC.6866.10x,dPSI_iPSC.6960.10x,dPSI_iPSC.9701.10x
0.959288535705024,0.953826225167302,0.970857987971692,0.945600496457089,0.955148346818826,0.970588146505122,0.968,0.920962420435892,0.985,0.958850447811429,0.949564614663541
0.988,0.964,0.976,1,0.977,0.924,0.958,0.898,0.994,0.967,0.892
0.827,0.737,0.817,0.831,0.815,0.746608011106567,0.766,0.785,0.839,0.801,0.798
0.778,0.771,0.803,0.816,0.739,0.641,0.641,0.587,0.86,0.691,0.647
0.813,0.753,0.547,0.632,0.719,0.346,0.325,0.703,0.787,0.791,0.796
0.666,0.621,0.692,0.637,0.681,0.651,0.596,0.574,0.677,0.593,0.545
0.816,0.466,0.412,0.378,0.79,0.733,0.625,0.651,0.454,0.337,0.388
0.617,0.48,0.617,0.773,0.671,0.493,0.516,0.511,0.687,0.584,0.56
0.748,0.782,0.794,0.777,0.735,0.652,0.617,0.646,0.757,0.717,0.655
0.904,0.829,0.959,0.956,0.876,0.876,0.856,0.756,0.969,0.877,0.851
0.363,0.36,0.361,0.414,0.34,0.407,0.33,0.352,0.379,0.352,0.418
0.591,0.518,0.541,0.532,0.49,0.513,0.452,0.417,0.684,0.44,0.499
0.727686097824184,0.653158179102874,0.755160525079441,0.654936237898675,0.713547909826799,0.704163456614872,0.580667814269905,0.594056413890664,0.859526530457158,0.653949638067893,0.660821852378767
0.536,0.438,0.612,0.573,0.515,0.51,0.634,0.586118177494009,0.701,0.566,0.476
0.784,0.558,0.566,0.552,0.493,0.842,0.645,NA,0.802,0.442068854113546,0.501
0.389,0.503054556483188,0.53572722651275,0.659,0.437418846356676,0.585,0.620597136570765,NA,0.58,0.530568110137434,0.480666908744414
0.478149708051155,0.426,0.471047152941524,0.520481148620245,0.526792550406222,0.625812739816305,0.517999062377728,NA,0.520478267900514,0.523,0.528773231980173
0.971,0.594,0.528714467530952,0.426,0.522651996928721,0.51800708895976,0.530016065726408,NA,0.52997189013208,0.665317661255518,0.471
0.546,0.757,0.615,0.282452378696544,0.771994253703096,0.577,0.53,NA,0.608,0.265534276882692,0.502
0.824332212993909,0.477095560312503,0.332,0.777819690620094,0.398,0.702176026317566,0.741660972873971,NA,0.814700125156275,0.388055208396514,0.696935316894519
0.467,NA,0.515,0.973681067441338,0.419,0.755712452782233,0.858960180609832,NA,0.528,NA,0.453444167399953
0.769,NA,0.667,0.518627038062826,0.661164165082738,0.943235551474922,0.585,NA,0.859,NA,0.939743360550953
0.874314234261863,NA,0.343,0.620750702603069,NA,0.731,0.465864800570679,NA,0.959274086047803,NA,0.394
0.699,NA,0.497747490979441,0.981927701496271,NA,0.318,0.559,NA,0.821,NA,0.52006143535095
0.579,NA,0.554042670429949,0.890390247243629,NA,0.569,0.511,NA,0.456,NA,0.313327892309526
0.501,NA,0.923850662743929,0.681125948098161,NA,0.452,0.31,NA,0.597,NA,NA
0.324,NA,0.445,0.629,NA,0.683459314318256,0.713342052949013,NA,0.563,NA,NA
0.745049655300523,NA,0.364,0.390509670459864,NA,0.396,NA,NA,0.528821864364151,NA,NA
0.331,NA,0.517546755859566,0.923800617797118,NA,0.654395977045802,NA,NA,0.745339744721164,NA,NA
0.351,NA,0.887434282413678,0.368,NA,0.580252810731283,NA,NA,0.381,NA,NA
0.338,NA,0.556107556928594,0.781,NA,0.359,NA,NA,0.825957779805303,NA,NA
0.560215755473797,NA,NA,0.848225562676595,NA,0.570488947428187,NA,NA,0.723888464385034,NA,NA
0.916843139868745,NA,NA,0.681,NA,0.751503792249925,NA,NA,0.628675514729895,NA,NA
0.594601549997575,NA,NA,0.751029579854838,NA,0.709062468380053,NA,NA,0.526151891024969,NA,NA
0.536738479068389,NA,NA,0.324,NA,0.518120761189465,NA,NA,0.909365859452335,NA,NA
0.664809989449641,NA,NA,0.913332395885227,NA,0.417845243134323,NA,NA,0.474,NA,NA
0.355,NA,NA,0.718,NA,0.514,NA,NA,0.774056764370165,NA,NA
0.429587201241914,NA,NA,0.814775456700932,NA,0.344,NA,NA,0.690907064445698,NA,NA
0.785067486019795,NA,NA,0.964424757499311,NA,0.43799557812752,NA,NA,0.443124651184855,NA,NA
NA,NA,NA,0.319362384341463,NA,0.650410090937444,NA,NA,0.588,NA,NA
NA,NA,NA,0.895244814355352,NA,0.692415503470043,NA,NA,0.289702422631892,NA,NA
NA,NA,NA,0.571750272411699,NA,0.336,NA,NA,0.512486567882338,NA,NA
NA,NA,NA,0.671,NA,0.896010645176712,NA,NA,0.746259659914658,NA,NA
NA,NA,NA,0.714023813718897,NA,0.77717110408164,NA,NA,0.375,NA,NA
NA,NA,NA,0.737347708192225,NA,NA,NA,NA,0.642908882544356,NA,NA
NA,NA,NA,0.336,NA,NA,NA,NA,0.831065595873392,NA,NA
NA,NA,NA,0.403429614744927,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.480416060716056,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.869069185424961,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.686,NA,NA,NA,NA,NA,NA,NA
