dPSI_iPSC.4088.3x,dPSI_iPSC.4090.3x,dPSI_iPSC.4714.3x,dPSI_iPSC.4741.3x,dPSI_iPSC.4748.3x,dPSI_iPSC.5420.3x,dPSI_iPSC.6152.3x,dPSI_iPSC.6527.3x,dPSI_iPSC.6866.3x,dPSI_iPSC.6960.3x,dPSI_iPSC.9701.3x
0.911392579183407,0.780424051599279,0.84629660708486,0.749264941013085,0.807628348061853,0.913833870601184,0.667107268604948,0.791351153181068,0.87813040860126,0.599247133670562,0.75242377275375
0.664,0.619,0.718,0.555,0.662,0.529,0.463,0.384,0.799,0.41,0.428
0.658,0.569453469250471,0.642,0.560212842413155,0.666,0.556518869012508,0.512465709763022,0.574013273694558,0.623,0.478597194293215,0.448592409226945
0.482,0.358,0.424,0.415313240919058,0.386,0.359,0.309,0.446351407368065,0.571,0.35,0.306
0.518,0.358,0.567,0.58,0.508,0.562,0.351,0.37,0.596,0.336,0.509
0.491,0.404,0.533,0.317,0.485,0.452,0.355,0.362,0.559,0.342,0.395
0.515,0.557,0.49,0.398,0.49,0.435,0.358,0.316,0.564,0.338,0.4
0.348,0.28397777996942,0.484,0.502,0.332,0.32624794640492,0.35,0.369,0.5,0.316,0.304
0.557,0.514,0.564,0.439,0.489,0.392,0.367,0.391,0.606,0.455,0.474
0.607,0.347,0.631,0.676,0.391,0.583,0.491,0.351570960525668,0.759,0.409,0.487
0.369,0.333,0.331,0.348,0.3,0.544,0.381,0.504,0.342,0.525,0.555
0.397,0.390295468571129,0.347238575768847,0.312235430677332,0.31767092350785,0.396848603437813,0.321779294591479,0.309483900069934,0.388,0.265388473049968,0.383050480590803
0.419879671383535,0.362057554376766,0.495542579149435,0.358127324287143,0.333135360739628,0.372653473608235,0.300268487704534,0.273969686413383,0.528590304966814,0.381910224835279,0.267730845472732
0.311288231271635,0.301967286346074,0.301563983076495,0.28009148828141,0.289277742569776,0.282945150281783,0.373625391163155,0.583559417753347,0.407,0.29609619848702,0.271325566002508
0.503,0.3,0.320006859751298,0.267555668802183,0.291890184319595,0.506,0.475500179106231,NA,0.449,0.25012494340041,0.376257575889334
0.320083950486905,0.381747899183689,0.34232869042159,0.62,0.29389314372317,0.358627456617288,0.584729771484126,NA,0.38992851456291,0.540204637211659,0.257567175433413
0.517314569360275,0.355,0.487346178922834,0.380066325495353,0.403351547328971,0.654949066212101,0.376657939715572,NA,0.502484012816618,0.34,0.525610462291676
0.447384079611039,0.486,0.464521093807531,0.393,0.44381961302828,0.423185411865828,0.296365418322937,NA,0.486989301296945,0.284047204002563,0.269354882656434
0.351,0.269089551343331,0.383,0.316,0.287357712710629,0.349,0.341,NA,0.408,0.273101805174955,0.402
0.480501868192717,0.435068541143015,0.499216146877572,0.500601830824019,0.407,0.390058054604758,0.349256990331551,NA,0.512934694551497,0.382265561351145,0.5135437158143
0.499,NA,0.412,0.737860228097442,0.4,0.500430788808621,0.50327666754883,NA,0.352,NA,0.4390697301935
0.547017859178552,NA,0.310813977833055,0.339706228959195,0.384417662854431,0.588815003099152,0.285784834112786,NA,0.595100837050029,NA,0.390239645839322
0.452770564342576,NA,0.256161855122136,0.477508545422295,NA,0.358,0.263998259994956,NA,0.588632220998781,NA,0.356
0.403632738606463,NA,0.38248865476526,0.665285263316869,NA,0.303115624707653,0.491950375709931,NA,0.369,NA,0.520097002724963
