dPSI_NGN2.4088.3x,dPSI_NGN2.4090.3x,dPSI_NGN2.4714.3x,dPSI_NGN2.4741.3x,dPSI_NGN2.4748.3x,dPSI_NGN2.5420.3x,dPSI_NGN2.6152.3x,dPSI_NGN2.6527.3x,dPSI_NGN2.6866.3x,dPSI_NGN2.6960.3x,dPSI_NGN2.9701.3x
0.524,0.506209313584511,0.607,0.537733585578864,0.51765754827347,0.446,0.453573895783474,0.444561503194778,0.548,0.422,0.626133116059595
0.803937365959906,0.754741069862738,0.884331773955042,0.922387927732302,0.814461100486324,0.758338969116793,0.734158043222878,0.845738893076038,0.800889357009951,0.784182164897101,0.748635199605497
0.671,0.758,0.73,0.62,0.696,0.684,0.588,0.632,0.685,0.68,0.67
0.477,0.343,0.42,0.604,0.327,0.472,0.371,0.329,0.393,0.392,0.317
0.634017110282648,0.434867886100073,0.43763707362611,0.430697325085688,0.363833696155056,0.641239253059702,0.438565198795793,0.462234871763994,0.467482744701866,0.545807662746345,0.559236628586964
0.338144945160647,0.261469274075713,0.58636712729337,0.54346942742674,0.615083368875372,0.268922886187149,0.253760254793944,0.481964285217756,0.556742788598272,0.653022011189217,0.45432247627419
0.601,0.46,0.622,0.438,0.463,0.353,0.416,0.419,0.55,0.533,0.496
0.797,0.799,0.802,0.815,0.772,0.673,0.706,0.715,0.731,0.802,0.753
0.554,0.585,0.616,0.555,0.514,0.35,0.354,0.475,0.512,0.52,0.369
0.551,0.559,0.646,0.484,0.572,0.322,0.316,0.369,0.4,0.498,0.427
0.647410488219304,0.52132093259395,0.346,0.359,0.716775312205163,0.44536389440244,0.509894682513559,0.582098044242054,0.563332324321815,0.673813253999088,0.474464885528703
0.777848768728701,0.703735198156376,0.815560859664095,0.875580809872877,0.788255492865744,0.778773301622886,0.720509398680798,0.827262566917518,0.776793517925253,0.718918892876686,0.747373726422573
0.704,0.438,0.763,0.833,0.506,0.458,0.439,0.402,0.538,0.526,0.432
0.479,0.366,0.469,0.597,0.376,0.452,0.397,0.317,0.333,0.391,0.343
0.413,0.375,0.393,0.363,0.402,0.35,0.361,0.402,0.371,0.408,0.309
0.312,0.521,0.324,0.312,0.374,0.424,0.357,0.538,0.305,0.584,0.522
0.45,0.305,0.484,0.479086362582598,0.428,0.362,0.387,0.303,0.366,0.432,0.38
0.286045713163627,0.289827056135863,0.402308915091241,0.432211692265065,0.365813724532755,0.554931252800294,0.310630780515194,0.293211037458083,0.32081074989528,0.335328679643939,0.330502351963968
0.355,0.463,0.467,0.455,0.477,0.418,0.439,0.459,0.477,0.477,0.477
0.809036170351827,0.71486462957861,0.762857645007695,0.713964005677568,0.699144487902222,0.654386503235063,0.612269849629271,0.64455586923512,0.608927634135259,0.722178997797457,0.601413256042427
0.394296952212272,0.396481900515045,0.381,0.374,0.308,0.402187304324795,0.403151206358041,0.335671693111532,0.33329990555464,0.394,0.347233959750888
0.306,0.336,0.514,0.314,0.412,0.301979902661874,0.440749647727287,0.331765386732526,0.309,0.486466887232788,0.33904706756148
0.699129837691976,0.383883609116623,0.453567392903861,0.843703697361701,0.34788080791909,0.657180602849453,0.842545777742289,0.346918409000038,0.572787487217642,0.88414710204676,0.379841591774223
0.906725897186609,0.357635701354207,0.81355999281476,0.450828172177182,0.890974930856401,0.571915455665974,0.258655934262757,0.870785440311951,0.745008898676679,0.354,0.814976881727801
0.394,0.295577025709753,0.368,0.315881311277062,0.454242834586916,0.317,0.398914738365771,0.266421134822816,0.319,0.523949059811014,0.369145604390344
0.592512886205755,0.381576115175803,0.669139871897853,0.324820307375301,0.543601377365512,0.278376832043329,0.294471507549583,0.373389703768346,0.398474811318386,0.406206439565724,0.368809918991916
0.477263613244945,0.372095810914585,0.50929266652795,0.647778753028949,0.442487502525849,0.316,0.420791698018678,0.452320939305478,0.344450520743289,0.535177926711823,0.381293449710167
0.324879997364719,0.383,0.760090464696414,0.315,0.589427000801932,0.463022934010722,0.260433850097285,0.333,0.40060288532201,0.388,0.285696412108722
0.371,0.401370909065982,0.386,0.346946868055893,0.354,0.38751632987739,0.350407034415646,0.288225725558481,0.31,0.350338505653828,0.27032018537244
0.384562415321052,0.575439551710313,0.431853349590365,0.43631483411871,0.388873012027799,0.402,0.504,0.640674072369197,0.264892224467614,0.546165704013525,0.279991531822693
0.544764800746434,0.595,0.59272844061221,0.373432135182466,0.482122608318618,0.507087164834984,0.541,0.326975070172953,0.487863486235123,0.494970760783763,0.357633491334814
0.491716146673982,0.434922759945776,0.499306347299446,0.329819696788235,0.637008212452374,0.37055718200462,0.288841496602035,0.392990601986444,0.465403478358908,0.409166485124672,0.368
0.381426975447855,0.50064185482018,0.428310503596822,0.611,0.382215261853218,0.290300601296613,0.266706974422561,0.519,0.353109006557811,0.603,NA
0.592,0.464260951270001,0.648,0.604794283864442,0.505,0.541,0.513136820040606,0.481425248875651,0.557709407988808,0.593431892479891,NA
0.565173843732127,0.327575575904596,0.694829044333617,0.434150677335857,0.568610313953388,0.373408850735117,0.310816190050291,0.541,0.381891940166394,0.479549033801565,NA
