,dPSI_DMSO_CHX_vs_DMSO_EtOH
AADAT,0.252609609257538
ABCA5,-0.283948769620899
ABCB9,0.309945160852146
ABCG2,-0.254663176401215
AC009053.2,0.362246253763009
AC009533.1,0.286512123134975
AC022400.7,-0.307643697434382
AC026191.1,0.308230413575821
AC138649.1,0.286306727713534
AC138894.1,0.289756425138557
AC233968.1,0.402978627466252
AC241952.2,0.258296555438105
ACAD11,-0.337588547232698
ACADL,0.253338781931906
ACBD6,0.286354185981853
ACOT2,0.28522264905061
ACOT8,0.365330065384636
ACSF2,-0.305836952568317
ACSS3,-0.433743996865251
ACTR3B,-0.292334748489532
ADAM11,0.330251231960022
ADGRV1,0.432693753157949
ADPRM,0.385207981890783
ADSS1,0.279511931241801
AGO3,0.294639241790273
AKAP10,0.280299959890934
AKAP17A,-0.322878841046282
AKAP8,-0.331322383863159
AKAP8L,0.284680551984126
AL009179.1,-0.289976547071451
AL109811.3,0.293890550575177
AL512353.1,-0.304383942887408
ANAPC1P1,0.279715912896518
ANKRA2,-0.271983775634623
ANKRD10,-0.276450543408531
ANKRD16,0.282733616213315
APBB3,0.331876270602539
APLF,-0.327479362269547
ARSK,-0.433366672764769
ASTE1,-0.272593514464859
ATAD2B,-0.272259221715804
ATP13A1,0.312715338262034
ATRX,0.256251714294397
AUH,-0.297100482065677
AZIN2,0.254126734338699
B4GALT4,0.42933156214999
BBS1,-0.279326979831429
BCLAF1,-0.304447849319054
BCLAF3,-0.360097588760962
BEND5,0.288385174160729
BRD2,-0.284926991441424
BRD4,-0.317334750502604
BSCL2,0.266848357816733
BTN2A1,-0.318649315489974
C16orf95,-0.296792715594466
C1QTNF6,0.337406814284486
C20orf194,-0.303828103809282
C5orf22,-0.298845322141653
C6orf136,0.38733357949205
CA13,0.265099731623641
CACNB4,-0.254113998134038
CACTIN,0.28135456555191
CAPN10,0.306285572873543
CASP2,-0.455848285268373
CBARP,0.256856255079244
CBFA2T2,-0.334385150469632
CBWD2,-0.296002378058593
CBWD3,-0.340013837990486
CBWD5,-0.372802375159317
CBWD6,-0.251995511349405
CCDC84,0.393468446290346
CCNL1,-0.351747766861708
CCNT2,0.274126748869232
CDAN1,0.286906663280295
CDK11A,0.31159964160996
CDK11B,0.369818811250039
CDKN2AIP,0.405246929507356
CEP250,0.305822122411032
CEP295,0.25381311204578
CEP76,0.303699393149887
CEP89,0.261374144765908
CEPT1,-0.456485390517487
CFDP1,0.37294495985251
CHFR,0.255829686879708
CHN1,-0.343095807564666
CIC,0.39589001023746
CIRBP,-0.2750604415424
CLASP2,0.391837140375469
CLASRP,0.354628608230375
CLCN6,0.434503361157734
CLK1,0.531390773834098
CLK2,0.260260678042267
CLK4,-0.386565857719512
CNOT6L,0.2547061794079
CNTLN,-0.28569298799061
CNTNAP3B,-0.273281337993153
CREB1,-0.27241481890395
CU633904.2,0.360988084792227
CU634019.2,0.333718654970508
