,dPSI_DMSO_CHX_vs_DMSO_EtOH
CUL5,-0.303685353325604
CUL7,0.338973306515724
CYB5R4,-0.262240495894653
CYTH1,0.539061025087662
DBT,-0.281489526928142
DCAF8,-0.393824849595264
DCAKD,-0.277124922802638
DDB2,0.325521421891811
DDX19A,-0.278449464386413
DECR2,-0.377348375812769
DELE1,-0.313705586204115
DENND1B,-0.321413073165657
DENND6A,-0.256763434483999
DGLUCY,-0.330428159500367
DHRS1,0.28547214695189
DHX34,-0.282028861767293
DMPK,-0.267385423368475
DMTF1,-0.292925978388761
DNAH14,-0.252620948426174
DNAJC2,-0.290468590985913
DNAJC25,0.317423279837971
DNAJC6,-0.322629557572788
DPY19L2P1,-0.257166882353757
DPY30,0.351040764262605
DRAM2,0.252253088871581
DUSP12,0.284403497557891
DXO,0.338721838660352
DZIP1L,0.334117946367328
EDRF1,-0.428128433763775
EEA1,-0.356533704727881
EFL1,-0.362396916008424
EIF4A2,-0.44510370021436
EIF4E3,0.300316101286577
ELMOD3,-0.38645705687843
EMC9,0.385932702785318
EML2,-0.26725392698695
EML5,-0.319788292742068
EML6,0.278917436531711
EPB41L5,-0.254145058952665
ERAP1,0.254738266940618
ERCC6L2,-0.31643457130299
ERMARD,0.381657220323035
ETNK1,-0.293793604498711
EVC,-0.394079952971046
EYA3,0.278217126317391
FAM133B,-0.346632563406678
FAM13A,-0.273701128452854
FAM149B1,-0.305478172403856
FAM214A,0.250835222415885
FAM228B,0.331744025932201
FANCB,-0.3483605732892
FCSK,0.31391781643263
FGFR3,0.273275411415271
FMN2,-0.291471485541975
FNBP4,-0.271142909972325
FNTB,-0.394819700587125
FRRS1,-0.3002302441305
FRS3,-0.306036578641273
FRYL,-0.253293519652269
FUBP3,-0.300800739292994
GALK2,-0.332594897238667
GALNT3,0.331968090449104
GLS,-0.335656353287656
GORAB,-0.276680793653803
GPATCH2,-0.440758274790858
GPC2,0.493832195645424
GPR89A,-0.276585573157841
GPR89B,0.279676112899117
GRB14,0.318406403338418
GRHL1,0.29632223483554
GUSBP1,0.259474985813463
H2BC5,-0.289548231904406
HECTD1,-0.276979574110239
HNRNPLL,-0.296110663692674
HOXA.AS2,0.325620059743748
HRAS,-0.269582553085305
IDE,-0.277637605794486
IFFO1,-0.456145028541677
IGDCC4,0.381087050117186
IMPACT,0.396533522684423
IPPK,0.269544285930215
IVNS1ABP,0.274282546111223
JAK2,0.398478440108083
KANSL2,-0.418446564078699
KCNT2,0.404105075424137
KDM3A,-0.37178067303141
KHDC4,0.475187420720904
KIAA1109,0.297247482571941
KIF27,-0.260927677784151
KLHL17,0.359612338645018
KLHL36,0.273520825795124
KLHL42,-0.31326486926389
L3HYPDH,0.265348276381234
LEPR,0.259203050931544
LINC00680,0.272463160754771
LRCH2,-0.252226877193957
LRIG2,-0.307971320831576
LRP4,0.407865625051199
LRRC27,-0.329382044437345
LRRC37A2,0.261413007016276
LRRC75B,-0.269760627134831
LTN1,-0.349154929610855
LUC7L,0.290623604884967
LUC7L2,-0.306407837422617
MAN2A1,-0.359897072394215
MAN2A2,0.510919540609595
MAN2C1,-0.264504038039185
MANBA,-0.377701885618706
MAP3K15,0.274980868335919
MAST1,-0.27230616274512
MBTD1,-0.263195670403916
MCEE,0.336911031007532
MCIDAS,0.266944261598872
MCOLN3,-0.338574143366303
METTL22,0.414387613632571
MICA,-0.363841265516031
MIGA2,-0.268630866237351
MITD1,-0.276779090617802
MMP17,0.455636392431451
MMP25.AS1,0.307391825529742
MMS22L,-0.28689971328086
MRPS6,0.355293994959692
MSH5,0.399318878658431
MTA1,-0.272614483769447
MTA3,0.415438522228695
MTAP,-0.275195001880144
MTMR4,0.314681272849506
MUTYH,0.377629315239551
MYL5,-0.262551376966982
MYO19,-0.250146236998099
NAA16,0.278696514517277
NAA25,0.273359977972074
NAALAD2,0.279402236432302
NADK,0.300056651796519
NAT1,0.255516041712514
NCOA7,-0.290129977105503
NDUFA6.DT,0.330216538656555
NIPSNAP3B,-0.262879411709778
NKTR,0.260956660321942
NOD1,0.292631578448781
NOL4,-0.332022799277784
NOM1,-0.354231931198216
NOP14.AS1,0.345585029930858
NR2C2,-0.300059258295612
NRSN2,0.276579843823667
NT5C3A,-0.269567027091108
NT5M,-0.383791733453712
NUDT16L1,0.544472693103468
ODR4,-0.43930668187753
ORC1,-0.28527131140665
OSGEP,-0.324827845989243
OTUD3,0.272871413436304
PANK2,0.280402856187955
PANK4,0.506346429709856
PARG,-0.342514250589285
PARGP1,0.449461255908622
PARP3,0.251572602737515
PARP4,-0.370652454052717
PATL1,-0.446212442186866
PAXBP1,0.510270429557696
PBLD,0.254353960826466
PCCA,0.284905336316256
PCIF1,-0.381233357487823
PCMTD1,-0.268893497264539
PCSK5,0.282514561031029
PDCD6IPP2,0.370690529999878
PDE5A,0.277900790569243
PDSS1,0.357670534701942
PEX26,0.260606387948503
PGAP3,0.317022845901961
PGS1,-0.289428929375336
PHIP,-0.366254628452719
PHYKPL,0.265525448223703
PIAS3,0.349480973189743
PIDD1,0.357729553327961
PIEZO1,-0.29495001019495
PIF1,-0.250126585156427
PIH1D1,0.256788878336694
PIP4P2,-0.318280251090334
PISD,-0.339000003133516
PKD2,-0.327814841655493
PM20D2,-0.276656901783651
POGLUT1,-0.327772251413902
POLG,0.297601730969592
POLQ,0.253983577464083
POU6F1,0.254083312978435
PPARGC1A,0.272158266699147
PPCS,0.447504560833471
PPFIA4,0.291218775339641
PPP3CC,0.29298601857906
PPP4R3A,-0.364083858927861
PPP4R4,-0.327973388518616
PRKAB1,-0.261279747566247
PRKG2,0.346599152422562
PRKRA,-0.48025283211123
PRMT9,0.332196573821826
PRPF38B,-0.418292247873254
PRPF39,-0.28122520780716
PTBP2,0.633212516927261
PTCD3,-0.27090900407331
PTCH1,0.322890098689631
PTPN21,-0.270284930786915
PTRH2,-0.316881699539671
QRFPR,0.297935266278693
QSOX2,0.299505878803358
RAB5A,-0.298445678635044
RABGAP1,-0.360420798565869
RABGAP1L,-0.319976018382489
RAD54B,-0.301655339123307
RAPGEF6,-0.289268526298753
RBM39,-0.254216013038042
RBM8A,0.505697053477321
RBMX,0.282820142999856
RCBTB2,0.454952599936914
RELCH,-0.417814501415863
REXO5,0.2505777686919
RHBDD2,0.28989403912569
RHBDD3,0.411348121838232
RIC8B,-0.291763405392148
RIMKLB,0.303278482312203
RIOK3,0.402707334851809
RMND5B,0.285294364533167
RNASEH2C,0.26492818088528
RPS6KA4,0.318471662676091
RPS6KB1,-0.263201793438564
RRAGB,-0.592310054476708
RSRC2,-0.376952216707806
RSRP1,-0.382067584549844
RTTN,0.278111505481673
S100PBP,-0.307220166252169
SAAL1,-0.32050827687327
SAFB2,0.258684051440874
SBDSP1,-0.281920911780968
SCAI,-0.252127581904735
SCAND2P,0.367344640278396
SDCCAG8,-0.252119691956193
SDHAP3,-0.476719769545959
SEC14L1,0.296102664690458
SEC61A2,0.253068431733171
SELENOO,-0.297811907743834
SENP7,-0.322610875453716
SF3B3,-0.328044336675009
SFMBT2,0.305675247709297
SFPQ,0.285003579405202
SIAE,-0.318716433607432
SLC15A4,0.354647361533528
SLC1A3,-0.326116887743462
SLC20A2,-0.362003856512597
SLC22A15,-0.253912531567582
SLC25A23,0.317149915912686
SLC25A25,-0.319131577795043
SLC35F5,-0.311082773249817
SLC36A4,-0.447242064320702
SLC38A6,0.260473890882192
SLC4A7,0.251491830999488
SLC6A6,0.306381962156018
SLC7A6OS,0.483951731092798
SLX1A.SULT1A3,0.376610697366317
SLX1B.SULT1A4,0.384292499647914
SMARCD3,-0.254464227373098
SMC6,-0.259643228690983
SMNDC1,-0.294689265946927
SNAPC4,0.254779583614191
SNHG29,-0.266785428346712
SNRNP48,0.325241312822841
SPATA13,-0.31006939158957
SPATA20,0.269304381291412
SPATA5L1,-0.310631036182042
SPIN2B,-0.543775750487418
SRD5A1,-0.276469864628997
SREK1,-0.355760253250457
SRRT,-0.353808909752786
SRSF4,-0.369533067607368
SRSF6,0.262829099279058
SRSF7,-0.26088600483763
ST7L,-0.355407245446687
STAG3L4,-0.324115283934068
STARD5,0.298552685372331
STRIP2,-0.262717972618941
SUPT3H,-0.262503113754094
SUZ12P1,0.325991109568556
SYNGAP1,0.259423849616968
TAF1,-0.368527974797664
TARDBP,-0.274976388787594
TARS3,-0.372347714572076
TBC1D23,-0.281510904464081
TBC1D8B,-0.402221883088103
TBCK,-0.48700747916688
TBX18,-0.263284370113409
TCERG1,-0.362002198319735
TCF25,-0.303476147506999
TEP1,0.37758844020894
THUMPD2,-0.447542329993862
TICRR,0.306126693510445
TMCO6,0.338365885255935
TMEM120A,0.42821858477804
TMEM128,0.306841146169653
TMEM182,0.363964335718354
TMEM222,-0.380030125428987
TMEM237,-0.311965836056441
TMEM39B,-0.322474412969758
TMEM44,0.250547578729352
TMEM67,-0.255936207595902
TNFRSF19,0.282073331006973
TOE1,0.294124523652686
TOGARAM1,-0.275230704135397
TOMM20,-0.273226624631793
TPCN1,-0.484510594570751
TRAPPC2,-0.251418358210684
TRMT11,-0.423962897817981
TRMT44,0.486037126007646
TRNAU1AP,-0.365454816407757
TRPV1,-0.253029340881737
TSPYL2,0.593860913445961
TTC25,0.40618045747866
TTC38,0.254254712918547
TTC39C,0.268970613818372
TTC8,-0.346231955196
TTC9C,-0.365660261508307
TTF1,0.302524130801636
TTLL7,-0.26005234104168
TUBG2,0.318214539606683
TUBGCP4,0.281475462831891
TUBGCP5,0.30146871614546
TULP4,-0.255004708065944
TUT7,0.276333164273824
TWNK,-0.250858303813924
TXNDC16,-0.398712975178687
TYW1B,0.281749987675618
TYW5,0.315812585519345
UBE2Q2P1,-0.265612207302887
UBE3B,-0.254285805128577
UBP1,-0.291032317404835
UBR2,-0.285513660918435
UBR5,-0.250154226198525
UFSP2,0.30755298792701
UGGT2,-0.257859546350584
UHRF2,-0.42630488509815
ULK4,0.250231544466871
USP15,-0.31737631430654
USP24,-0.296704860510139
USP40,0.254949664776525
UTP18,-0.288838676516537
VCPKMT,0.328143014647874
VEGFC,0.296415750925096
VIPR1,0.255433041128243
VPS11,-0.296480399896366
VPS33B,-0.287198981679492
VPS36,-0.334311679715452
VPS8,-0.329363242083657
WARS2.AS1,0.251000449676287
WDR27,0.310861731145658
WHAMM,0.290150313602367
XPA,-0.40156629205981
ZBTB37,0.437334280344284
ZCWPW1,0.405784870952434
ZDHHC11B,0.429818112044299
ZDHHC17,-0.382548546842539
ZDHHC6,-0.252405095749056
ZFAT,-0.379473182279509
ZHX3,-0.330746600434971
ZKSCAN5,0.267249961035687
ZMYM6,0.253074994042966
ZNF16,-0.265592450999726
ZNF165,0.263880115142256
ZNF197,-0.258641478170026
ZNF200,0.280475008142688
ZNF202,0.310102316037771
ZNF226,0.32490086014849
ZNF276,0.348969609896903
ZNF280D,0.267062503377284
ZNF282,-0.262773530128076
ZNF286A,0.258480511755626
ZNF292,-0.2503196451634
ZNF324B,0.279139835001837
ZNF41,-0.250589011750175
ZNF529,0.250721364004737
ZNF530,0.330957033043928
ZNF577,0.551176099361613
ZNF707,-0.282482215470331
ZNF711,0.311728476981043
ZNF761,0.260049356082668
ZNF783,0.439724933297181
ZNF829,-0.319898014777827
ZNF837,0.292651893186043
ZNF839,-0.283969591061464
ZSCAN2,0.284769409024605
ZSCAN26,0.289587703566168
