"","dPSI_iPSC_2060884.1000nM"
"MLLT10",0.99803851520543
"ASAP1",0.996
"C12orf4",0.975806828035817
"POMT2",0.972
"AC009022.1",0.971768335556859
"ARL15",0.957
"KDM6A",0.949
"DIAPH3",0.940763788892159
"CRYM",0.939783325411404
"PDXDC2P",0.925264786213247
"MAN1A2",0.917818211090921
"RPS4X",0.917663766101016
"ANKRD18CP",0.906141410036518
"TMC3-AS1",0.905693327022584
"ZMYM6",0.90492346420775
"ZFP82",0.902397343813861
"MMS22L",0.901062491546394
"LNPK",0.878309476436693
"ABCB8",0.876
"TIAM1",0.87010133365823
"DCAF17",0.866253869275513
"AC104109.3",0.863196124677981
"HTT",0.858768761444361
"C14orf132",0.853728387005573
"ANXA11",0.852
"SREK1",0.85
"SPIDR",0.847849017605252
"NAV2",0.846
"FBN2",0.845035755961018
"LINC02210",0.842
"EVC",0.841983179176732
"CDC37L1",0.840382744221882
"AC114490.2",0.835476932350144
"WDR27",0.831282301386169
"ADAMTS19",0.827291589201269
"CACNA2D1",0.826792982694406
"RBBP8",0.82
"GALC",0.817697465722447
"CIP2A",0.813999551398554
"ARHGEF35",0.813695331099064
"DHFR",0.805751267495212
"PRKG1",0.805662296992083
"HDX",0.804
"ERGIC3",0.801
"TRIM37",0.79490112387758
"PDE7A",0.794
"ZNF680",0.793824324041221
"RAB2B",0.788021796327253
"EMSY",0.786
"STX18-AS1",0.778570548578267
"CCT7",0.766
"GXYLT1",0.764654217909783
"STOX2",0.764535755250238
"AXIN1",0.759
"ZDHHC11",0.75735549951661
"LINC00862",0.750767088946926
"DPH1",0.748143700162109
"USP43",0.74756406950139
"LARP7",0.747
"RAF1",0.746
"ANKHD1-EIF4EBP3",0.745852686133771
"LRRC42",0.735
"IFT57",0.733852187870419
"ADAL",0.732895241316573
"LYRM1",0.729
"GNAQ",0.7233846438792
"PRKACB",0.705096776091321
"USP9Y",0.704998375461681
"ANKHD1",0.700268030393645
"ARHGAP5",0.696871226879146
"EXOC6B",0.696
"ENAH",0.695397652084358
"PITPNB",0.692698837356324
"TMEM214",0.688195304059372
"VPS29",0.688
"MMS19",0.687425158336653
"STXBP6",0.685157334155549
"ADAMTS10",0.676096405977562
"C1orf94",0.673972146513571
"TAF2",0.672
"HSD17B4",0.665811138880496
"JAKMIP2-AS1",0.662472124482643
"ODR4",0.659615957269018
"NR1H3",0.657160728267585
"SLC7A6",0.65
"CHURC1",0.648949645094739
"L3MBTL2",0.647662499585333
"KDSR",0.641100208509511
"AVL9",0.638418850186636
"DDX58",0.63154272583886
