"","dPSI_iPSC_2006152.45nM"
"ARL15",0.720538851426466
"C12orf4",0.664335025780151
"GRAMD2B",0.608701939651363
"POMT2",0.584
"AC104109.3",0.523033017444433
"SAR1A",0.520978717546436
"HDX",0.511238624060266
"SKP1",0.503387649313856
"ASAP1",0.486
"PHB2",0.476346732158169
"CYB5R2",0.455
"MATK",0.446943218831285
"SENP6",0.434519710420322
"PDE7A",0.386
"FOXM1",0.378628189910238
"CLASP2",0.366883859749142
"VPS29",0.366832778243315
"KDM6A",0.362
"AC009022.1",0.359876037588846
"LARP7",0.354
"TPTEP2",0.351787572600944
"ERGIC3",0.344984784343102
"ST3GAL1",0.34
"EXOC6B",0.339720002642673
"SERHL2",0.334
"KCNT2",0.333802463607929
"LRRC42",0.329
"EGLN1",0.319
"STRN3",0.319
"NAV2",0.312
"POLG2",0.311
"PRR13",0.307388737222857
"MYCBP2",0.307
"ZFP82",0.304759169810112
"MADD",0.302
"NUP58",0.29075527647987
"FBN2",0.290189086903792
"ZNF618",0.274798869325599
"ADAMTS19",0.27137540233174
"RAF1",0.270736278111926
"TAF2",0.268831731144065
"ABCB8",0.26436180254839
"LINC02210",0.25144056146028
"STRN",0.250716911848053
