"","dPSI_iPSC_2070692.1680nM"
"ASAP1",0.991
"AC009022.1",0.967066990891069
"POMT2",0.957
"PDXDC2P",0.938650472286369
"C12orf4",0.929850189582201
"GALC",0.92010861589225
"ANKRD18CP",0.888538987524284
"ARL15",0.878792416269338
"KDM6A",0.868
"CRYM",0.840349360181783
"HDX",0.804
"ASCC3",0.795693264370246
"HTT",0.791655589319887
"LINC02210",0.778274147809613
"ZFP82",0.762450499625061
"NAV2",0.761
"FBN2",0.757107273155457
"PDE7A",0.756
"PDXDC1",0.748368956584805
"STX18-AS1",0.743117908118308
"SPIDR",0.742216898437456
"STXBP6",0.726828566715214
"TPTEP2",0.724
"CDC37L1",0.720994197545728
"LYRM1",0.704
"WDR27",0.701288569098938
"BECN1",0.700099548228341
"LRRC42",0.697
"EMSY",0.682808416113443
"RAB2B",0.6731918525665
"ABCB8",0.672
"DHFR",0.670878260481137
"ERGIC3",0.643
"TASP1",0.632751143920898
"MLLT10",0.630293198470069
"ADAMTS19",0.619090775743156
"ANXA11",0.597
"FOXM1",0.592
"TARBP1",0.589
"AXIN1",0.585
"DCAF17",0.581893818478182
"TAF2",0.578
"MATK",0.577177121770118
"CHD9",0.567
"SENP6",0.559
"MAN1A2",0.554047723638065
"FAM162A",0.553
"CENPI",0.551315964984004
"DENND5A",0.551
"APLP2",0.544
"C14orf132",0.543921978778864
"HSD17B4",0.539947719835494
"RAP1A",0.536
"ZMYM6",0.532065793978531
"TTTY14",0.530446286681849
"LARP7",0.528
"SF3B3",0.523205067348261
"AKAP9",0.523
"ARAP3",0.517793591173765
"SKP1",0.517736539216253
"MMS22L",0.511580386633848
"TNRC6A",0.508561132057039
"ENAH",0.505070590204546
"HIKESHI",0.502
"VPS29",0.502
"CIP2A",0.487168921533172
"LINC00678",0.486712838194232
"TIAM1",0.486525292197504
"CLK4",0.48
"EXOC6B",0.48
"ZNF730",0.478532426434456
"TNS3",0.477580931262301
"PMS1",0.471255723710271
"RAF1",0.46
"TENT2",0.458932244862501
"EVC",0.458376954781974
"MADD",0.457
"NOD1",0.455
"LNPK",0.454388842564938
"DIAPH3",0.454121483076149
"MFN2",0.454
"CEP164",0.451585908349826
"ANKHD1",0.450695505363062
"PRKACB",0.450255268226455
"TSPAN7",0.445
"PITPNB",0.44347404749356
"FGF12",0.436121004553786
"DENND1A",0.435346252415407
"GPSM2",0.435057854105165
"KCNT2",0.428280889666884
"ARMCX6",0.427781970962974
"ZNF783",0.424888589210897
"ANKHD1-EIF4EBP3",0.424642141390807
"MYCBP2",0.424
"DPH1",0.420037318888266
"SEC22A",0.419929506633839
"ZNF618",0.417
"PDIA5",0.415186405696196
"NUP58",0.414692372789954
"DLGAP4",0.413232797834601
"C1orf94",0.412966642763642
"ARHGEF35",0.412454752981591
"SERGEF",0.408212435798132
"APIP",0.405125091097472
"CLASP2",0.403
"THRAP3",0.403
"ATG16L2",0.402
"GRAMD2B",0.401
"MIB2",0.398
"ADGRL1",0.396782858748917
"RNF144A",0.39587497452869
"CLN3",0.393
"SNHG16",0.391
"SLC25A17",0.386
"PLCH1",0.385210535196858
"AC114490.2",0.385084633407734
"SGCE",0.384
"EHHADH",0.38378420260048
"FAM149B1",0.382
"TCF4",0.379258677811146
"AC009053.2",0.377549101162673
"TRAF4",0.375
"ZGPAT",0.373
"EML1",0.372048730311769
"PIGN",0.371418406912204
"XRN2",0.366230077161701
"SLC7A6",0.366
"ZMYM2",0.366
"SCO1",0.365498594894438
"WNK1",0.365033469677375
"PNISR",0.361734612014004
"STOX2",0.353852872387257
"CCDC88A",0.352
"FRYL",0.351
"CD44",0.348
"RCC1",0.347238315563992
"FAAP20",0.345
"SH3YL1",0.345
"FGD4",0.343
"IFT57",0.342139067925759
"ERCC6L2",0.340260888830518
"FAM174A",0.34
"FBXO10",0.338298701581835
"UBP1",0.337
"CEP170",0.333
"ELMO2",0.333
"RBBP8",0.333
"ZMIZ2",0.333
"SAR1A",0.325390202564436
"MAN1B1",0.322035822192021
"ADCY5",0.322
"TMEM50B",0.32
"ABHD10",0.318
"GXYLT1",0.315395195099626
"NIPA1",0.315
"STRN3",0.315
"NPEPPS",0.313
"DNAJC27",0.312789438365438
"GGCT",0.307
"LRRC28",0.305
"PPHLN1",0.304
"VAV2",0.302232653348238
"SPIRE1",0.302088836009634
"CREBZF",0.301
"LINC00667",0.301
"TJP2",0.300320532580501
"RAPGEF1",0.299754716154441
"SREK1",0.299389724259818
"ERC1",0.2934198512062
"PMS2P10",0.291393218720475
"PRPF31",0.283198287328223
"DLG5",0.280445320065738
"MYO6",0.278837489117604
"GRID2",0.274656623895218
"CBWD5",0.274425471010248
"MED1",0.27114895084543
"STRN4",0.267949277369762
"TET1",0.262673712217805
"JAKMIP2-AS1",0.260983518569753
"KIF3A",0.260747183811717
"ALDH3A2",0.260131943684043
"SLC12A2",0.259364560692113
"ADCY3",0.255077018559924
"CACNA1H",0.254484324839223
"WNK3",0.251274379100311
