"","dPSI_NGN2_2060573.3uM"
"CRYL1",0.997
"PMS1",0.994040942702296
"KDM6A",0.99
"POMT2",0.982
"WDR27",0.980565855661381
"SMIM7",0.98
"ZMYM6",0.975291817410322
"MLLT10",0.973657717406565
"GCFC2",0.970231987880331
"EVC",0.969346430548925
"HTT",0.96586759481409
"USP9Y",0.964185049426869
"PDE7A",0.964
"DENND1A",0.953699934648675
"LARP7",0.953
"KCNT2",0.948089208132911
"PCDH10",0.94256387823657
"GARNL3",0.942050975952575
"ARL15",0.942
"SCO1",0.94
"PRKG1",0.937841361533554
"AC008581.2",0.937409900804216
"RAF1",0.933
"GALC",0.918
"C12orf4",0.915256682523876
"PIGN",0.90753799077341
"CACNA1C",0.904
"PDXDC1",0.901686993848456
"CDC37L1",0.901100909643736
"AC114490.2",0.897667957035783
"LIMCH1",0.896
"LRIG2",0.884659004434361
"AGGF1",0.883078592614884
"SETX",0.881092498121584
"TIAM1",0.867656907311018
"DHFR",0.863667708213559
"SF3B3",0.863038313349025
"TAF2",0.862
"GXYLT1",0.861331806319219
"ABCB8",0.861
"ENOX1",0.858355652105789
"AXIN1",0.853
"CHRM2",0.845271708031967
"AC026786.1",0.844064419386993
"PDGFD",0.840157769021381
"EXOC6B",0.84
"EMSY",0.837390303538146
"AGPS",0.83610157984812
"HDX",0.827
"WNK1",0.825203735515514
"LRRC42",0.821
"NLGN1",0.815298610979487
"SEC22A",0.812091676905676
"ODR4",0.809962880909688
"NUP58",0.802
"CLASP2",0.800612003971409
"ENAH",0.79663805153069
"ATP8A2",0.795599371115828
"KLHL1",0.7936080364375
"BECN1",0.789526307829741
"DPY30",0.782227957360366
"GNAQ",0.781989371072219
"STX18-AS1",0.78139494301191
"GABRB2",0.779021827647667
"ARMH3",0.778306292453845
"IVD",0.778302674474464
"ZFP82",0.772541643476111
"MACROD2",0.766851184205704
"ADAMTS10",0.76391928256611
"KDSR",0.762545604603216
"CNGA3",0.758721060278452
"RBBP8",0.753469167164452
"PDIA5",0.752272251862807
"ARHGAP5",0.750793741230608
"DPH1",0.749294043499023
"APLP2",0.749
"MEMO1",0.748850903852745
"CCDC3",0.744547072282076
"SPIDR",0.737117469318353
"ELP4",0.737
"STRN4",0.737
"GRIA1",0.736750821311175
"SOX5",0.727317923485326
"CEP57",0.719
"NKAIN2",0.717002741763821
"THSD7B",0.716649837276227
"MFN2",0.706
"SLC41A3",0.699783432461588
"ERCC8",0.699
"RCOR3",0.695744570880688
"ANP32A",0.693502531281756
"LYRM1",0.688
"FGD4",0.683
"MDN1",0.68177471037253
"TMEM50B",0.676
"STOX2",0.675073826411638
"AL390879.1",0.674172141531611
"XRN2",0.664939690976473
"MAN1B1",0.657659424595902
"TRAF3",0.656601790106061
"FCHO1",0.655948298431269
"AC114316.1",0.655138291425079
"AL031315.1",0.652377994451202
"NLN",0.650751697249265
"SENP6",0.649
"BTBD10",0.647651586847263
"CSTF3",0.644480176067351
"ADGRL1",0.643986504093288
"PITPNB",0.643256353486265
"ABCC8",0.6427914446872
"AC022433.1",0.642100438342297
"PTPRT",0.641355170617047
"FBXL16",0.638796524146833
"PNISR",0.635171111752759
"VPS29",0.632560656081099
"ANKRD13C",0.628990967102817
"C14orf132",0.627
"VSTM2L",0.626075932291279
"URGCP-MRPS24",0.6226544519892
"MAP4",0.619128031280576
"TPTEP2",0.616
"SOS2",0.615962009795298
"RAPGEF1",0.615
"ZNF730",0.61304065302176
"SMC5",0.606094689596237
"APIP",0.605322947337748
"ZNF138",0.602842826544623
"LNPK",0.602381916974603
"MYT1L",0.59783100658773
"ZNF280D",0.596775049406679
"DYRK1A",0.595
"EPHA4",0.59171810980128
"ZNF680",0.591389750850018
"PRKACB",0.589013988902916
"GLRA3",0.588317592694973
"SULF1",0.587407413949513
"GPHN",0.586750800963201
"SLC24A3",0.585697063799715
"IFT57",0.578107122502744
"DGKI",0.576936398478077
"LINC02210",0.576
"BLMH",0.572690670681173
"HAUS3",0.570156446433564
"ZNF618",0.568
"DCAF17",0.560861510327392
"SGK1",0.560560395088843
"DOCK3",0.556626600829904
"ERVK13-1",0.556
"MYO5A",0.549855738856817
"CACNB4",0.546
"ADAL",0.545132177508999
"FAM3A",0.543149908571724
"AC010538.1",0.542581887421931
"CHD9",0.539
"WDR17",0.537
"STRN",0.536490144338834
"RNF144A",0.536396680636098
"WDR91",0.536239354606404
"CDCA4",0.532475422775432
"ZNF585B",0.531790074314141
"ZNF804A",0.52549277950995
"ARMCX6",0.525
"TMEM214",0.522996479422076
"PPP3CA",0.521576557968297
"RCC1",0.519785312778813
"PRPF39",0.519586409611972
"SNX7",0.519100154414371
"FAM162A",0.517
"TET1",0.516116251657666
"INVS",0.50982376734603
"GLRB",0.509
"STXBP5L",0.508901922800291
"AL359317.1",0.507233169810144
"TNRC6A",0.503778026399948
"DNAJC27",0.503443540966091
"PPHLN1",0.503
"ELMO2",0.501
"RASGRP2",0.500397502603468
"FAM174A",0.499
"DMXL1",0.49765596533669
"PCDH9",0.495028995872079
"CHROMR",0.494
"SKP1",0.492
"TENT2",0.489480916401996
"AC136604.3",0.488
"RAP1A",0.487
"ZNF10",0.4856109603978
"ERRFI1",0.483782944314394
"ZBTB41",0.483343686749566
"ASCC3",0.480722325123687
"DDX42",0.480143883408776
"CNTN1",0.477095493458996
"FAM81A",0.477
"FNIP2",0.47576573489945
"NR1H3",0.475071478561152
"PRICKLE1",0.472176069166137
"HSD17B4",0.469829859148736
"ZMIZ2",0.466
"SCLY",0.463
"SLC7A6",0.462
"LINC01011",0.458514074648636
"DNAJA4",0.457917741197445
"RPF2",0.457704989035572
"UNC80",0.456444915263067
"PRKY",0.45568560551073
"NELFA",0.455017363866043
"SPRYD7",0.454457334438535
"DENND5A",0.454
"AP004608.1",0.453
"WFDC2",0.449674473170125
"MUTYH",0.449220152897676
"CPLANE1",0.445942193038587
"MTERF3",0.442967806695349
"SERGEF",0.442
"SREK1",0.442
"RARS1",0.441735163433904
"RAB2B",0.440689470769006
"AL157871.6",0.44039580459276
"SNHG15",0.439
"RAD21",0.438491993837252
"PGS1",0.438314328827611
"MANEA",0.437754381685299
"ADAM23",0.437008929708809
"NAALAD2",0.43584675442493
"PHACTR1",0.433232146887003
"SH3YL1",0.433
"CDR2L",0.43044600358196
"AC138894.1",0.43
"CLN3",0.43
"ATG4A",0.429
"LINGO2",0.42728530043364
"EIF2D",0.424
"SLC35A5",0.420720030759812
"LIPM",0.419503139840814
"P4HA2",0.417168994130747
"TARBP1",0.416642094049006
"PLXNB1",0.416583544222269
"BRWD3",0.416411935501186
"MAN1A2",0.414136377361193
"LUC7L3",0.408581933369039
"ARID1A",0.408456320230442
"PRKDC",0.406446541605811
"MATK",0.405195182503729
"ZNF266",0.405
"CACNA1H",0.404
"HIKESHI",0.404
"APOE",0.403266307147069
"SNAP23",0.402885100065766
"SNX24",0.40273345478014
"INO80",0.402712153726298
"ATG2B",0.402
"CCT7",0.402
"SSBP1",0.402
"TASP1",0.401898986368455
"WSB1",0.401487510566591
"NKTR",0.401
"FGF9",0.399338194560468
"PGGT1B",0.398633014984767
"MORN1",0.398239618008723
"IL6ST",0.398190249078377
"LRRC28",0.395554932062401
"FUCA1",0.39364622957337
"C19orf47",0.392726184930486
"ACADM",0.389
"DIPK1A",0.384923754223939
"MTMR3",0.38330462749566
"SYTL2",0.382
"ANK2",0.381345099648273
"COPS7B",0.379
"AC068547.1",0.376
"RUNDC3B",0.374
"MMS19",0.372971841313713
"ARHGAP1",0.371896575241856
"SUPT20H",0.371
"PRUNE2",0.369
"ZDHHC17",0.368558367492435
"SLC2A13",0.367899687256587
"CEP170",0.367
"NCOR1",0.367
"TP53INP1",0.366
"KIF21A",0.365964575999914
"SCARB1",0.362
"FGF12",0.359840542417626
"MSL3",0.358
"TBCA",0.357096512765612
"FAAP20",0.357
"VAMP4",0.356975585883371
"DENND4A",0.353
"SETDB2",0.352498056093118
"MAPK10",0.351
"NQO2",0.351
"NUDT22",0.344
"WNK3",0.343923480532623
"FBL",0.342735065838276
"FAM161A",0.342155737591246
"SORCS1",0.338635256545652
"THADA",0.337
"AKAP8L",0.33585661694693
"KAT6B",0.334
"VDAC2",0.33236937918059
"EPM2A",0.331636422183283
"RERE",0.330851886035504
"ERC1",0.327479168902226
"CNOT1",0.322
"YPEL5",0.322
"JAZF1",0.321071170860611
"ADAM17",0.32
"MRPL39",0.319
"RPS6KB2",0.319
"HDAC2-AS2",0.318832924386476
"TSPAN7",0.318
"ATF6",0.317913313946052
"DLG5",0.314356281795211
"GTPBP8",0.314
"ATP7B",0.313
"DLGAP4",0.313
"SLC25A17",0.313
"CAB39L",0.312041348173445
"AKAP9",0.311
"NEGR1",0.310535006017521
"PAXX",0.31
"PIGU",0.309175999080343
"GGCT",0.309
"TBC1D22A",0.309
"RAB23",0.30767973094432
"MYCBP2",0.306
"CFAP410",0.305
"CLK4",0.304
"STIM1",0.304
"CFLAR",0.30157684433217
"C18orf54",0.301
"MARCHF8",0.301
"STRN3",0.3
"CWC27",0.299881945668806
