"","dPSI_NGN2_1949634.3uM"
"PCDH10",0.996197042703382
"C12orf4",0.995025935819875
"COG3",0.995025119648091
"SMIM7",0.995
"SNHG16",0.994
"PPIP5K2",0.993968801919527
"POMT2",0.993
"SNX7",0.990908042602923
"GXYLT1",0.98747766168534
"ASCC3",0.987385076773621
"WDR91",0.985
"SEC22A",0.981702055118407
"SAR1A",0.980383389555032
"TASP1",0.980300387076316
"XRN2",0.977278673101108
"SLC12A2",0.976877700559631
"GABRB2",0.976314103601587
"WDR27",0.975629988710408
"RAF1",0.975
"PDE7A",0.973
"GALC",0.972
"MLLT10",0.971988267618281
"CYB5B",0.969290258795747
"ZMYM6",0.969143759578939
"EVC",0.968342910135061
"DENND1B",0.965978414458386
"PIGN",0.965055556537667
"MAST4",0.964317996536412
"THSD7B",0.962249533433439
"GNS",0.961515948182728
"IVD",0.961505842749203
"HSD17B12",0.959979417365287
"LARP7",0.958
"DENND1A",0.955742683628498
"MDN1",0.953647827153475
"LMBRD2",0.953477382261012
"PRPF31",0.951933441719097
"DENND5A",0.951
"CHRM2",0.95030762561163
"VAV2",0.948153767059857
"MED13L",0.942251839732983
"ARL15",0.942
"GARNL3",0.940298884319119
"CDC37L1",0.939905901610295
"KDM6A",0.939
"LARS2",0.938
"FAM124A",0.937796182987397
"CNGA3",0.935184767013452
"DGKI",0.93433050343466
"CHN2",0.932556920801827
"NKAIN2",0.929310440275388
"LUC7L3",0.923806710595212
"LINC02210",0.923500218488843
"STAT1",0.923
"AC114490.2",0.917561691421776
"SCO1",0.914
"ZNF804A",0.913977457830829
"NPY5R",0.91023324253098
"ZNF169",0.907154585600485
"FUT9",0.907079927947276
"AC008581.2",0.906511302336186
"FOCAD",0.906508779498869
"TMEM214",0.904843321525989
"ZNF66",0.904414033803424
"CRYL1",0.901
"AL157871.6",0.898422109266262
"LIMCH1",0.896
"MTERF3",0.895380755942773
"DDX42",0.895196688125967
"NEDD4",0.894620082615152
"TANK",0.894350432050475
"AGPS",0.892849011035389
"BICRA",0.891900319672621
"LARP4B",0.886198309468903
"PTPRT",0.885169629480498
"DNAJA4",0.884319325150752
"FGD4",0.874
"LRIG2",0.870867910992197
"ODR4",0.870248298375828
"AXIN1",0.87
"PLXNC1",0.866821151089702
"GCFC2",0.862533589252399
"DHFR",0.861023195002378
"FBXL16",0.857874136185797
"CHD2",0.856091214746125
"PRKG1",0.85550236447623
"NSUN4",0.854601481353293
"CYLD",0.853507565543214
"AL031315.1",0.849918242157487
"SENP6",0.849
"CPT2",0.847927123325495
"SERF1B",0.846309778698001
"EXOC6B",0.846
"CEP57",0.844
"CCDC3",0.841779888310559
"ANKS1B",0.841471986841625
"BDP1",0.840616962424749
"PITPNB",0.839122109930454
"DPY30",0.837516493156333
"FAM162A",0.837
"AC026786.1",0.834687056802564
"ABHD10",0.834
"USP9Y",0.833551775168835
"ADAMTS10",0.832543895781469
"TPTEP2",0.83
"GALNT11",0.82996011008113
"STX18-AS1",0.829656837051995
"APLP2",0.828
"HDX",0.827
"ENOX1",0.825209432491305
"DPH1",0.821704388655161
"NIPA1",0.821
"TIAM1",0.819606938324509
"SETX",0.817528260603723
"HDAC8",0.816
"CLASP2",0.814764424991611
"MATK",0.81119206432931
"NRL",0.809184587312858
"NAA25",0.808977820745547
"ULK1",0.807729995287621
"IFT57",0.807690015338378
"EMSY",0.807131137461134
"APIP",0.803156799635589
"GNAQ",0.801276167804656
"DOCK3",0.79893801233153
"LRRC42",0.794
"OSBPL5",0.793598664744207
"ZFP82",0.790245397806161
