"","dPSI_NGN2_2136770.300nM"
"PPIP5K1",0.999999274368506
"POMT2",0.98
"GCFC2",0.975023069692059
"GALC",0.954
"AC009022.1",0.939564553442483
"COL4A5",0.919797701148452
"CNGA3",0.910413467465673
"ASCC3",0.909056501695839
"WDR27",0.888953705525473
"PDE7A",0.887
"PDXDC1",0.879535328825591
"ARL15",0.877
"LIMCH1",0.861
"THSD7B",0.860420223675899
"USP9Y",0.859060420528004
"NKAIN2",0.849666269725441
"CENPI",0.848830772922309
"ASAP1",0.845506794769021
"LARP7",0.837
"MFN2",0.832
"SOS2",0.83128128728643
"ANKRD18CP",0.823575639387934
"RAF1",0.822
"C12orf4",0.813021700473293
"TPTEP2",0.809
"PCDH10",0.793992291214718
"XRN2",0.789744887745757
"HDX",0.775
"SEC22A",0.77071005316242
"APLP2",0.769
"LRRC42",0.754
"GRAMD2B",0.750047648117202
"APIP",0.745172025239986
"SENP6",0.744
"TNFRSF25",0.735
"HSD17B12",0.733809260208054
"DENND1A",0.733040636489692
"DHFR",0.722743863864403
"LINC02210",0.715735183913683
"CRYL1",0.715
"ABCB8",0.714
"PIGN",0.706241793698704
"AXIN1",0.699
"MADD",0.698759642738953
"FOXM1",0.695619557677301
"AC104109.3",0.674495877498938
"GLRA3",0.671656086367188
"CDC37L1",0.670909622204476
"DENND5A",0.662
"SORCS1",0.655520742036637
"LRIG2",0.652026956374834
"FAM162A",0.64
"PDXDC2P",0.638575117085769
"NAV2",0.637852543805231
"KDM6A",0.633
"STX18-AS1",0.622234730039227
"MELTF",0.61726982143499
"MAOA",0.616610602116875
"FES",0.61615958387707
"ACAD11",0.611210287300039
"HTT",0.606526300296961
"MLLT10",0.604669277105847
"HSD17B4",0.598037875033624
"ZMYM6",0.594751132461
"NIPA1",0.594
"ZFP82",0.58464303742693
"ATP7B",0.581
"ERCC6L2",0.58
"RAPGEF1",0.579
"FBN2",0.575948263084675
"WDR91",0.572
"COPS7B",0.568
"LINGO2",0.567814109266937
"TASP1",0.566660420568007
"TIAM1",0.566627595860176
"STRN",0.551979869545561
"FAM174A",0.55
"TAF2",0.542
"RAP1A",0.538
"SNAP23",0.538
"TAF1",0.536817230058642
