"","dPSI_NGN2_2006152.45nM"
"LIMCH1",0.848
"POMT2",0.772
"HTT",0.736410802978668
"ARL15",0.733
"GCFC2",0.726673690562951
"WDR27",0.654133809959983
"SENP6",0.650996993885202
"DENND1A",0.620750310236184
"LINC02210",0.609505967818361
"PDXDC1",0.593902347677396
"LRRC42",0.592
"RAF1",0.592
"CNGA3",0.571497777266498
"XRN2",0.568315591937423
"EVC",0.565231169591333
"C12orf4",0.558570597310026
"STRN3",0.544
"PDE7A",0.541
"STX18-AS1",0.539588458848038
"STRN",0.535513426341478
"HDX",0.533721925356221
"LARP7",0.527
"ASCC3",0.516128577148954
"CLASP2",0.508213168791394
"CACNB4",0.503
"CHROMR",0.494
"INO80E",0.483
"ABCB8",0.48
"WDR17",0.474
"RAPGEF1",0.466
"GXYLT1",0.464954019239359
"SULF1",0.464661288116576
"DLGAP4",0.459
"NKAIN2",0.455656830254495
"MELTF",0.452420104931301
"TAF2",0.443
"TIAM1",0.442312838970498
"FAM110B",0.434449899936423
"SKP1",0.434
"DHFR",0.433083047517275
"NR1H3",0.431676874762862
"RBBP8",0.431526522920421
"ZMYM6",0.429320166160656
"ZFP82",0.428174832634584
"MORN1",0.423681449186521
"AXIN1",0.415
"TSTD3",0.412979523512199
"HSD17B4",0.401866964908478
"NUP58",0.391
"KDM6A",0.39
"GGCT",0.388556123656635
"C10orf82",0.382
"SETX",0.379189308361628
"AL031315.1",0.378690927677992
"GALC",0.373
"SNHG15",0.373
"TSPAN7",0.372447775562998
"TRAPPC13",0.371
"LRIG2",0.369327567100596
"CACNA1H",0.366
"SLC7A6",0.36563638210185
"LYRM1",0.359
"SCYL2",0.359
"KLHL1",0.357846671842085
"APIP",0.355489123898135
"ENAH",0.352904172261174
"AC138894.1",0.351
"APLP2",0.351
"ZNF687",0.349
"C14orf132",0.346705403202711
"CLN3",0.346
"SERGEF",0.342
"TENT2",0.341098549588275
"EXOC6B",0.339
"PCDH10",0.331126597808086
"MATK",0.327578241706292
"SF3B1",0.325
"FUS",0.324
"NPRL2",0.322
"STAG3L5P-PVRIG2P-PILRB",0.322
"SLC25A17",0.319
"ARMH3",0.317702574770545
"MYCBP2",0.317
"PNISR",0.31061832266889
"CLN6",0.306
"VPS29",0.30540327556983
"CSTF3",0.303553395551188
"PRUNE2",0.302
"FAAP20",0.301
"ADAM17",0.288043701658911
"RCC1",0.285329997766163
"WNK1",0.276698983890683
"DTWD1",0.272815039045584
"TMEM50B",0.259943309454444
"DENND5A",0.258477247921269
