"","dPSI_NGN2_2070692.1680nM"
"LINC02210",0.998
"MLLT10",0.988734329648376
"ZMYM6",0.982152776958487
"POMT2",0.981
"PDE7A",0.974
"HTT",0.971718765598675
"EVC",0.969352780088299
"SEC22A",0.968462436569253
"GCFC2",0.968387470982543
"PCDH10",0.967607586999025
"DENND1A",0.963421525179906
"USP9Y",0.95470238787341
"PMS1",0.951696993919271
"GARNL3",0.948812639522377
"KCNT2",0.943279942181244
"ARL15",0.942
"CNGA3",0.940625456238486
"GALC",0.938957537410537
"AC114490.2",0.923678337077384
"LARP7",0.917
"PIGN",0.915559612647645
"WDR27",0.914138831434185
"RAF1",0.91
"CDC37L1",0.908294846879798
"ABCB8",0.907
"AC008581.2",0.896539713810084
"ENOX1",0.893340384426859
"KDM6A",0.888
"LIMCH1",0.888
"MFN2",0.876
"XRN2",0.871437139972902
"C12orf4",0.871407244420618
"CHRM2",0.866139799114676
"DHFR",0.863006706123245
"SCO1",0.86
"GXYLT1",0.855031147884512
"LMAN2L",0.855
"ADAMTS10",0.850578373534457
"GALNT11",0.846888440016176
"LRIG2",0.845537338932031
"THSD7B",0.845103999939638
"EXOC6B",0.843
"SETX",0.841302443687116
"DENND1B",0.83971668089698
"STX18-AS1",0.839245670001622
"TET1",0.83884445876596
"SNX7",0.837292843964946
"NLGN1",0.834602929353679
"SOS2",0.833656742072286
"PDIA5",0.832906786992286
"ATP8A2",0.830836019665054
"KDSR",0.829767224596186
"SF3B3",0.829701537121728
"IVD",0.828680194988333
"AC026786.1",0.825931576128377
"FAM124A",0.823530253891386
"AXIN1",0.823
"LRRC42",0.82
"AGPS",0.818601346318125
"ARMH3",0.811136770300163
"HDX",0.81
"GABRB2",0.808295606012253
"AC068547.1",0.807160635602488
"PRKG1",0.800570210697688
"APLP2",0.799
"FAM162A",0.799
"TRAF3",0.798132718114548
"AGGF1",0.796112245627686
"DLG5",0.793591274667637
"DPH1",0.789286405818529
"CLASP2",0.788968827158632
"NUP58",0.781
"ZMYM2",0.781
"WNK1",0.780566084623487
"ZFP82",0.777712686961905
"DPY30",0.776780518248119
"MEMO1",0.776000793212051
"GNAQ",0.773398133047858
"TIAM1",0.773222688005443
"NKAIN2",0.772505247212231
"ENAH",0.77183152723698
"MELTF",0.768007613923566
"BEND6",0.764
"RBBP8",0.762469336927895
"CHD2",0.761765288912588
"GLRA3",0.761057509119644
"TAF2",0.757
"SUPT20H",0.751297059974353
"CEP162",0.749673906456455
"EMSY",0.748190229634287
"FGD4",0.741
"CACNA1C",0.735020941200756
"TASP1",0.735001394808368
"PITPNB",0.729574532658222
"MTERF3",0.722886450409748
"ERCC6L2",0.721
"TPTEP2",0.72
"LETM2",0.719896425797004
"ANP32A",0.718492400495642
"MMS19",0.716387794673397
"SPIDR",0.713886231883252
"SSBP1",0.713181576336543
"BECN1",0.711299833962624
"ELP4",0.71
"SENP6",0.708
"FHOD3",0.707515213823002
"APIP",0.706169453491793
"MYT1",0.705
"STRN4",0.701
"DENND5A",0.699
"RASGRP2",0.687510881774671
"DLGAP4",0.677
"LYRM1",0.671
"HSD17B12",0.669908632780244
"LMBRD2",0.664180698968201
"MACROD2",0.662632877257985
"CRYL1",0.662
"ERCC8",0.66
"AL390879.1",0.65663415969835
"ADGRL1",0.65580001523087
"AC068205.2",0.648689467192638
"FCHO1",0.647374463507937
"HSD17B4",0.647094151223014
"AL031315.1",0.641058333651639
"VSTM2L",0.640857816150532
"IFT57",0.639152791659476
"ANKRD13C",0.636992280823895
"PNISR",0.634608236693362
"WDR91",0.634
"SORCS1",0.632552010946932
"SNAP23",0.63
"CCDC3",0.625866103846078
"RAPGEF1",0.624
"STRN3",0.624
"SLC41A3",0.62116678284861
"NSUN4",0.620109691614445
"ZNF804A",0.61871208687814
"PRPF39",0.617275528205127
"LNPK",0.617149914655091
"MDN1",0.616220431989246
"PRKACB",0.615116599573155
"TMEM50B",0.611
"LINGO2",0.607765563366047
"NIPA1",0.605
"MAN1B1",0.601534349434279
"ABCC8",0.600854473231862
"BTBD10",0.600341015741406
"ATP7B",0.595
"DYRK1A",0.595
"DNAJC27",0.59426485965634
"GPHN",0.59376966782474
"ZNF730",0.592867961296221
"VPS29",0.588081558944108
"GLRB",0.586
"ZNF618",0.586
"APPL2",0.58563732669592
"PHIP",0.582172366973827
"NLN",0.5808350756762
"ABAT",0.577976368364431
"CTTNBP2",0.576586847749773
"C14orf132",0.575
"SULF1",0.57416778004206
"ZNF585B",0.572828780163883
"PTPRT",0.571493921140862
"DNAJA4",0.570425553417121
"STRN",0.569475023341671
"ZMIZ2",0.568
"ZNF433",0.568
"PDXDC1",0.565
"DGKI",0.558073197543927
"ODR4",0.557548374928585
"FGF12",0.550094874386792
"PPHLN1",0.546
"OBSCN",0.543422517074251
"MAST4",0.540343156562117
"STXBP5L",0.539981654221568
"CSTF3",0.538656400868606
"RAB2B",0.53756016360966
"CREBZF",0.537
"WDR17",0.537
"SGK1",0.536805477403534
"PRICKLE1",0.536517382014532
"AL157871.6",0.535247302332494
"FBXL16",0.534992957074347
"GRIA1",0.534817873216832
"RAP1A",0.531
"CEP72",0.530264564605677
"PTGR2",0.528
"CHD9",0.527
"SPDL1",0.526563747770987
"FAM174A",0.525
"DOCK3",0.524007222757844
"SNHG15",0.524
"WSB1",0.524
"URGCP-MRPS24",0.523463042651883
"DDX42",0.523196024637937
"ANXA6",0.521
"BLMH",0.519037232187209
"TENT2",0.517747558798175
"FAAP20",0.516
"ARHGAP5",0.515837192848945
"MYO5A",0.515147394783429
"FBXO10",0.514947621203824
"HIKESHI",0.512
"MYT1L",0.511535406512746
"PCDH9",0.510111437115917
"NR1H3",0.508827878015367
"MTMR1",0.507119723802444
"ANKS1B",0.507074831345888
"EWSR1",0.507
"CYTH2",0.506
"LMF1",0.504119228327567
"AC078845.1",0.501913982837297
"HPS5",0.498924664642055
"CHROMR",0.494
"PEPD",0.493
"SMC5",0.491002190076436
"AC114316.1",0.4889473294216
"RNF144A",0.488464566369284
"TARBP1",0.481
"AC022433.1",0.480400768266762
"UNC80",0.480126423749549
"RARS1",0.478801723740957
"AC010538.1",0.478088226259936
"PABPC1",0.478
"PROSER3",0.476218063742643
"LUC7L3",0.473944320397431
"AC092614.1",0.473372869422814
"ELMO2",0.473
"HLTF",0.473
"PHACTR1",0.472486513402993
"SKP1",0.472
"KLHL1",0.468255344198136
"PIK3CD",0.467810080616693
"CDH18",0.466507558899835
"CDCA4",0.466375687057022
"ORAI3",0.465117582952497
"CDC40",0.465
"ZNF138",0.46428597329307
"APBB2",0.461255288631393
"INVS",0.460190893453094
"YPEL5",0.459
"C19orf47",0.456042635433527
"CDC42BPA",0.455
"TOE1",0.453503614779323
"PSMA1",0.453077932710507
"TAF5L",0.452
"TNFRSF25",0.451
"VAV2",0.450569959339252
"TNRC6A",0.449202063788932
"ZBTB41",0.443440224238012
"ARMCX6",0.443
"FNBP4",0.442755764116002
"DECR2",0.441391804142243
"QKI",0.441
"RCC1",0.43842872089751
"FUCA1",0.438032062043487
"PPP3CA",0.437865522922667
"CHN2",0.434250144011226
"PGGT1B",0.433784601355438
"WFDC2",0.432717116079819
"TXNL4B",0.432715482682334
"RPS6KB2",0.43
"SSR1",0.428416199555781
"SERGEF",0.426
"CCDC93",0.425619321375699
"SUZ12P1",0.425
"ADAM23",0.423993489485846
"MUTYH",0.421910846425722
"MATK",0.421833212168463
"ASCC3",0.421727687309652
"MAP4",0.421284326694498
"ADAM17",0.421
"STOX2",0.42085663744345
"AC138894.1",0.42
"EIF2D",0.42
"RBBP4",0.419216556030142
"ARID1A",0.419019379847338
"CLN3",0.419
"SF3B1",0.416
"FNIP2",0.415570350322734
"WNK2",0.41406523251028
"SAR1A",0.412617278237562
"SLC25A17",0.412
"LINC01011",0.411916201159029
"ATG4A",0.411
"SNHG14",0.411
"CCDC18-AS1",0.41
"CMSS1",0.409169926065102
"DIPK1A",0.409001016137021
"COG3",0.408848001564875
"LARS2",0.403
"SNHG16",0.403
"ZDHHC17",0.402056120501937
"L3MBTL2",0.4
"MANEA",0.399243202535136
"VPS13A",0.398949514760639
"ATG2B",0.395
"LRP8",0.394
"CPLX2",0.392982290100101
"RUNDC3B",0.39
"AP004608.1",0.386
"CHORDC1",0.385
"STIM2",0.384
"NCOR1",0.382
"MEAK7",0.380351445976708
"RCOR3",0.379853382244594
"ADCY3",0.379853097408475
"PRKDC",0.377111258074216
"PRUNE2",0.377
"MRPL22",0.376
"CACNA1H",0.375
"CCDC88A",0.375
"LINC00963",0.374
"AC104452.1",0.373
"EFHC1",0.373
"FASTKD2",0.369696873170422
"CEP57",0.369618487017113
"MAN1A2",0.366617821323198
"C2orf42",0.365704751335014
"SPRYD7",0.365380011675226
"ACADM",0.365
"TMEM91",0.365
"FAM161A",0.364977212005771
"FAM110B",0.364
"NUP85",0.364
"CNOT1",0.362
"ERRFI1",0.361349366274983
"VCAN",0.361
"ANKDD1A",0.360667820328488
"WDR37",0.36
"ZDHHC13",0.359
"CEP164",0.358
"MSL3",0.358
"HMGN1",0.355
"TSPAN7",0.355
"DENND4A",0.35383459153153
"CDR2L",0.352396701825601
"PACRGL",0.351713078868435
"SNX24",0.349380526918326
"ABHD10",0.348192173026453
"KAT6B",0.348
"RAD21",0.347440899210078
"DCAF17",0.346
"COPS7B",0.344
"GATD1",0.344
"AKAP9",0.343
"TP53INP1",0.343
"ZNF767P",0.343
"AKAP8L",0.342939371101525
"ARHGAP1",0.341566220790129
"SPATS2",0.341319587981844
"TNPO3",0.34
