CompareName,Subsetting_group,Model,Covariate_levels,Group_name,Group_test,Group_ctrl,Analysis_method,Shrink_logFC,LFC_cutoff
iPSC_1755497_10x_VS_DMSO,,Treatment,,Treatment,iPSC_1755497_10x,iPSC_DMSO,DESeq2,Yes,0.2
iPSC_1755497_10x_bdg_VS_DMSO,,Treatment,,Treatment,iPSC_1755497_10x_bridge,iPSC_DMSO,DESeq2,Yes,0.2
iPSC_1755497_10x_bdg_VS_DMSO_bdg,,Treatment,,Treatment,iPSC_1755497_10x_bridge,iPSC_DMSO_bridge,DESeq2,Yes,0.2
iPSC_1755497_3x_VS_DMSO,,Treatment,,Treatment,iPSC_1755497_3x,iPSC_DMSO,DESeq2,Yes,0.2
iPSC_1755497_3x_bdg_VS_DMSO,,Treatment,,Treatment,iPSC_1755497_3x_bridge,iPSC_DMSO,DESeq2,Yes,0.2
iPSC_1755497_3x_bdg_VS_DMSO_bdg,,Treatment,,Treatment,iPSC_1755497_3x_bridge,iPSC_DMSO_bridge,DESeq2,Yes,0.2
iPSC_2006152_10x_VS_DMSO,,Treatment,,Treatment,iPSC_2006152_10x,iPSC_DMSO,DESeq2,Yes,0.2
iPSC_2006152_10x_bdg_VS_DMSO,,Treatment,,Treatment,iPSC_2006152_10x_bridge,iPSC_DMSO,DESeq2,Yes,0.2
iPSC_2006152_10x_bdg_VS_DMSO_bdg,,Treatment,,Treatment,iPSC_2006152_10x_bridge,iPSC_DMSO_bridge,DESeq2,Yes,0.2
iPSC_2006152_3x_VS_DMSO,,Treatment,,Treatment,iPSC_2006152_3x,iPSC_DMSO,DESeq2,Yes,0.2
iPSC_2006152_3x_bdg_VS_DMSO,,Treatment,,Treatment,iPSC_2006152_3x_bridge,iPSC_DMSO,DESeq2,Yes,0.2
iPSC_2006152_3x_bdg_VS_DMSO_bdg,,Treatment,,Treatment,iPSC_2006152_3x_bridge,iPSC_DMSO_bridge,DESeq2,Yes,0.2
iPSC_2189972_10x_VS_DMSO,,Treatment,,Treatment,iPSC_2189972_10x,iPSC_DMSO,DESeq2,Yes,0.2
iPSC_2189972_3x_VS_DMSO,,Treatment,,Treatment,iPSC_2189972_3x,iPSC_DMSO,DESeq2,Yes,0.2
iPSC_2194943_10x_VS_DMSO,,Treatment,,Treatment,iPSC_2194943_10x,iPSC_DMSO,DESeq2,Yes,0.2
iPSC_2194943_3x_VS_DMSO,,Treatment,,Treatment,iPSC_2194943_3x,iPSC_DMSO,DESeq2,Yes,0.2
iPSC_2195127_10x_VS_DMSO,,Treatment,,Treatment,iPSC_2195127_10x,iPSC_DMSO,DESeq2,Yes,0.2
iPSC_2195127_3x_VS_DMSO,,Treatment,,Treatment,iPSC_2195127_3x,iPSC_DMSO,DESeq2,Yes,0.2
iPSC_2195327_10x_VS_DMSO,,Treatment,,Treatment,iPSC_2195327_10x,iPSC_DMSO,DESeq2,Yes,0.2
iPSC_2195327_3x_VS_DMSO,,Treatment,,Treatment,iPSC_2195327_3x,iPSC_DMSO,DESeq2,Yes,0.2
iPSC_2197294_10x_VS_DMSO,,Treatment,,Treatment,iPSC_2197294_10x,iPSC_DMSO,DESeq2,Yes,0.2
iPSC_2197294_3x_VS_DMSO,,Treatment,,Treatment,iPSC_2197294_3x,iPSC_DMSO,DESeq2,Yes,0.2
iPSC_DMSO_bridge_VS_DMSO,,Treatment,,Treatment,iPSC_DMSO_bridge,iPSC_DMSO,DESeq2,Yes,0.2
NGN2_1755497_10x_VS_DMSO,,Treatment,,Treatment,NGN2_1755497_10x,NGN2_DMSO,DESeq2,Yes,0.2
NGN2_1755497_3x_VS_DMSO,,Treatment,,Treatment,NGN2_1755497_3x,NGN2_DMSO,DESeq2,Yes,0.2
NGN2_2006152_10x_VS_DMSO,,Treatment,,Treatment,NGN2_2006152_10x,NGN2_DMSO,DESeq2,Yes,0.2
NGN2_2006152_3x_VS_DMSO,,Treatment,,Treatment,NGN2_2006152_3x,NGN2_DMSO,DESeq2,Yes,0.2
NGN2_2189972_10x_VS_DMSO,,Treatment,,Treatment,NGN2_2189972_10x,NGN2_DMSO,DESeq2,Yes,0.2
NGN2_2189972_3x_VS_DMSO,,Treatment,,Treatment,NGN2_2189972_3x,NGN2_DMSO,DESeq2,Yes,0.2
NGN2_2194943_10x_VS_DMSO,,Treatment,,Treatment,NGN2_2194943_10x,NGN2_DMSO,DESeq2,Yes,0.2
NGN2_2194943_3x_VS_DMSO,,Treatment,,Treatment,NGN2_2194943_3x,NGN2_DMSO,DESeq2,Yes,0.2
NGN2_2195127_10x_VS_DMSO,,Treatment,,Treatment,NGN2_2195127_10x,NGN2_DMSO,DESeq2,Yes,0.2
NGN2_2195127_3x_VS_DMSO,,Treatment,,Treatment,NGN2_2195127_3x,NGN2_DMSO,DESeq2,Yes,0.2
NGN2_2195327_10x_VS_DMSO,,Treatment,,Treatment,NGN2_2195327_10x,NGN2_DMSO,DESeq2,Yes,0.2
NGN2_2195327_3x_VS_DMSO,,Treatment,,Treatment,NGN2_2195327_3x,NGN2_DMSO,DESeq2,Yes,0.2
NGN2_2197294_10x_VS_DMSO,,Treatment,,Treatment,NGN2_2197294_10x,NGN2_DMSO,DESeq2,Yes,0.2
NGN2_2197294_3x_VS_DMSO,,Treatment,,Treatment,NGN2_2197294_3x,NGN2_DMSO,DESeq2,Yes,0.2
Sy5Y_1755497_10x_VS_DMSO,,Treatment,,Treatment,Sy5Y_1755497_10x,Sy5Y_DMSO,DESeq2,Yes,0.2
Sy5Y_1755497_10x_bdg_VS_DMSO,,Treatment,,Treatment,Sy5Y_1755497_10x_bridge,Sy5Y_DMSO,DESeq2,Yes,0.2
Sy5Y_1755497_10x_bdg_VS_DMSO_bdg,,Treatment,,Treatment,Sy5Y_1755497_10x_bridge,Sy5Y_DMSO_bridge,DESeq2,Yes,0.2
Sy5Y_1755497_3x_VS_DMSO,,Treatment,,Treatment,Sy5Y_1755497_3x,Sy5Y_DMSO,DESeq2,Yes,0.2
Sy5Y_1755497_3x_bdg_VS_DMSO,,Treatment,,Treatment,Sy5Y_1755497_3x_bridge,Sy5Y_DMSO,DESeq2,Yes,0.2
Sy5Y_1755497_3x_bdg_VS_DMSO_bdg,,Treatment,,Treatment,Sy5Y_1755497_3x_bridge,Sy5Y_DMSO_bridge,DESeq2,Yes,0.2
Sy5Y_2006152_10x_VS_DMSO,,Treatment,,Treatment,Sy5Y_2006152_10x,Sy5Y_DMSO,DESeq2,Yes,0.2
Sy5Y_2006152_10x_bdg_VS_DMSO,,Treatment,,Treatment,Sy5Y_2006152_10x_bridge,Sy5Y_DMSO,DESeq2,Yes,0.2
Sy5Y_2006152_10x_bdg_VS_DMSO_bdg,,Treatment,,Treatment,Sy5Y_2006152_10x_bridge,Sy5Y_DMSO_bridge,DESeq2,Yes,0.2
Sy5Y_2006152_3x_VS_DMSO,,Treatment,,Treatment,Sy5Y_2006152_3x,Sy5Y_DMSO,DESeq2,Yes,0.2
Sy5Y_2006152_3x_bdg_VS_DMSO,,Treatment,,Treatment,Sy5Y_2006152_3x_bridge,Sy5Y_DMSO,DESeq2,Yes,0.2
Sy5Y_2006152_3x_bdg_VS_DMSO_bdg,,Treatment,,Treatment,Sy5Y_2006152_3x_bridge,Sy5Y_DMSO_bridge,DESeq2,Yes,0.2
Sy5Y_2189972_10x_VS_DMSO,,Treatment,,Treatment,Sy5Y_2189972_10x,Sy5Y_DMSO,DESeq2,Yes,0.2
Sy5Y_2189972_3x_VS_DMSO,,Treatment,,Treatment,Sy5Y_2189972_3x,Sy5Y_DMSO,DESeq2,Yes,0.2
Sy5Y_2194943_10x_VS_DMSO,,Treatment,,Treatment,Sy5Y_2194943_10x,Sy5Y_DMSO,DESeq2,Yes,0.2
Sy5Y_2194943_3x_VS_DMSO,,Treatment,,Treatment,Sy5Y_2194943_3x,Sy5Y_DMSO,DESeq2,Yes,0.2
Sy5Y_2195127_10x_VS_DMSO,,Treatment,,Treatment,Sy5Y_2195127_10x,Sy5Y_DMSO,DESeq2,Yes,0.2
Sy5Y_2195127_3x_VS_DMSO,,Treatment,,Treatment,Sy5Y_2195127_3x,Sy5Y_DMSO,DESeq2,Yes,0.2
Sy5Y_2195327_10x_VS_DMSO,,Treatment,,Treatment,Sy5Y_2195327_10x,Sy5Y_DMSO,DESeq2,Yes,0.2
Sy5Y_2195327_3x_VS_DMSO,,Treatment,,Treatment,Sy5Y_2195327_3x,Sy5Y_DMSO,DESeq2,Yes,0.2
Sy5Y_2197294_10x_VS_DMSO,,Treatment,,Treatment,Sy5Y_2197294_10x,Sy5Y_DMSO,DESeq2,Yes,0.2
Sy5Y_2197294_3x_VS_DMSO,,Treatment,,Treatment,Sy5Y_2197294_3x,Sy5Y_DMSO,DESeq2,Yes,0.2
Sy5Y_DMSO_bridge_VS_DMSO,,Treatment,,Treatment,Sy5Y_DMSO_bridge,Sy5Y_DMSO,DESeq2,Yes,0.2
