,dPSI_BIO2195127_CHX_vs_BIO2195127_EtOH
MAP3K15,-0.435958070206379
MAST1,-0.3724905170809
MBTD1,-0.267429845762016
MCEE,0.403062704800929
MCOLN3,-0.325001722634062
METTL16,0.334626400294602
METTL22,0.493990340666353
METTL6,0.295912673860621
MFSD13A,-0.254320012374214
MGAT5B,0.318820732615213
MIA3,-0.258589729554658
MICA,-0.363039469514449
MIGA1,0.283329719971436
MIGA2,-0.329234223200017
MIR503HG,0.357322066411303
MITD1,-0.292769319298307
MLLT10,-0.360985174678875
MMP25.AS1,0.250054998472146
MMS22L,-0.271281603525124
MOV10,-0.270609876464113
MPC1,0.454634579458063
MPPE1,0.25564758378138
MRPL1,-0.260825516021921
MSH5,0.363310863222554
MTA3,0.289065962899222
MTAP,-0.27096956490468
MTMR4,-0.266823715870533
MTUS1,0.261585099780671
MUS81,0.298118954033303
MYL5,-0.386822742775907
MYLIP,0.524028931072504
MYO1D,0.258780179690375
MYO6,-0.253164288712801
NAA16,0.294571076272138
NAA25,0.278426150895825
NAALAD2,0.326576236766554
NADSYN1,-0.255217246559228
NAF1,-0.26096992884285
NAT1,0.252955831436827
NCOA7,-0.348658379519378
NECAB2,0.250311801520695
NISCH,-0.273143398636697
NKTR,0.286000975595365
NOD1,0.288544010972905
NOM1,-0.32668993608948
NR2C2,-0.3076470361528
NR4A1,-0.272216063992437
NUDT16L1,0.513782365199894
OCLN,-0.256748904942783
OCLNP1,-0.263459474977335
ODR4,-0.39180177957878
OLA1,0.452502957418562
ORC1,-0.301381844582299
OSGEP,-0.333501342491228
PANK2,0.28208080509464
PANK4,0.513887775919067
PARG,-0.350344847110819
PARGP1,0.39043323773002
PARL,-0.266205086584191
PARP4,-0.367490838268389
PATL1,-0.476852458651565
PAXBP1,0.469151510806224
PCCA,-0.393705313048377
PCIF1,-0.372013851681103
PCSK5,0.314320963252807
PDCD6IPP2,0.427089257684552
PDE5A,-0.458990360973482
PDSS1,0.400421557419436
PDXDC1,0.297681693966232
PEX26,0.253823713469426
PGAP3,-0.41851603349549
PGS1,0.256445986836518
PHIP,-0.342712144307634
PHYKPL,0.264720163214121
PI4KAP2,-0.251742870661867
PIAS3,0.318907084125679
PIEZO1,-0.274786189680326
PIF1,0.339185091975528
PIH1D1,0.296061078097466
PIP4P2,0.270522948795942
PISD,-0.290763310676062
PKD1P5,0.258236800337971
PLCB4,0.26985195129903
POGLUT1,-0.31757538576213
POLG,0.326674926824832
POLQ,0.286006425496642
POLR2J4,0.261599357454868
PORCN,0.251256738689168
PPCS,0.397768809140319
PPIEL,0.281056729564623
PPP3CC,0.252830375690598
PPP4R1,-0.263447680399951
PPP4R3A,-0.390568741412622
PPP4R4,0.294868360447208
PRKAB1,-0.253044872295093
PRKG2,0.323774087416877
PRKRA,-0.479224948266842
PRMT9,0.33336369892764
PRPF38B,-0.391224266986692
PRPF39,-0.284213234825011
PTBP2,0.588374597345111
PTRH2,-0.297675548551536
QRFPR,0.308327450244172
QSOX2,0.318534952030037
RAB5A,-0.258659462510821
RABGAP1,-0.342810610183108
RABGAP1L,-0.300648717374731
RAD54B,-0.259090129283177
RAPGEF6,-0.290284211290084
RBM39,0.277494898776089
RBM8A,0.35330060888489
RBMX,0.271677598373014
RCBTB2,0.582599161022653
RELCH,-0.411253986872159
RHBDD2,0.275945605802959
RHBDD3,0.460052792076655
RHOT1,-0.264367939499594
RIC8B,-0.304072306351937
RIOK3,0.371895078617043
RMND5B,0.318230588717346
RPS6KB1,-0.257899017840806
RRAGB,-0.564077576280039
RRN3P1,0.268774335866269
RSRC2,-0.329258765779132
RSRP1,-0.53369548238195
