,dPSI_U1_WT_500_CHX_vs_U1_WT_500_EtOH
AADAT,0.269268012463757
ABCA5,-0.261971107667834
AC009053.2,0.400534818680036
AC009533.1,0.356965517277868
AC010442.1,0.265085679723384
AC092279.1,0.259070525245143
AC138649.1,-0.41568196036428
AC138894.1,-0.376439745867249
AC141557.1,0.293976073185064
AC233968.1,0.38222992956393
AC241952.2,0.390878925002802
ACAD10,0.312535728342306
ACAD11,-0.315412437468109
ACADL,0.260940935990872
ACBD6,-0.356290880587971
ACER3,-0.276955306436764
ACIN1,-0.257118447370471
ACOT8,0.325419629287451
ACSF2,-0.252155185649667
ACSS3,-0.354378797810815
ACTN2,0.251235848847635
ACTR3B,-0.317740702363319
ADAM11,0.277225102716461
ADAM17,0.263284667060466
ADAMTS20,-0.251804042616954
ADPRM,0.390669964353228
AGO3,-0.332422304799862
AGPAT4,-0.278204629241527
AKAP10,0.274023324432329
AKAP17A,-0.394381846432386
AKAP8,-0.327065620161737
AKAP8L,0.290162628080939
AL009179.1,-0.29011762163392
ALKBH1,0.253373131255052
ANKIB1,-0.327755070603106
ANKLE2,-0.264284058375486
ANKRA2,-0.252252948171639
ANKRD10,-0.325763995271208
ANKRD16,0.279306342244499
ANKRD29,0.26305099716057
ANKRD36,0.338804327175135
ANKRD36B,0.335825003951923
AP2M1,0.346529478179778
APBB3,-0.284987278430756
APLF,-0.410205996089525
ARSK,-0.349151752703911
ATAD2B,-0.282671474568842
ATF2,-0.431703665493643
ATP13A1,0.334869873271173
ATP5MC2,0.267532482964469
ATRX,-0.452023326245808
B4GALT4,0.286310252954686
BCL9,0.283912984406986
BCLAF3,-0.253888712602601
BRD2,-0.290313793022133
BTN2A1,-0.273560161318286
BTN3A3,0.283298309164043
C12orf73,-0.250682409213216
C5orf22,-0.283174118104509
C6orf136,0.385725984292033
C6orf52,-0.253795183384225
CA13,0.330643082633652
CA5BP1,0.310188748849736
CACNA2D2,0.258566764597577
CACNA2D3,0.295844894717833
CACNB4,-0.275883150624828
CACTIN,0.305158943967453
CAPRIN2,0.349373267180969
CAPS2,0.298474734936244
CASP2,-0.440065934407543
CBWD2,-0.264163397104864
CBWD3,-0.271556840080157
CBWD5,-0.333214019647922
CCDC115,-0.253978819476545
CCDC162P,0.355157422922354
CCDC84,0.366487176721902
CCNL1,-0.302109393456261
CDADC1,-0.256743018746175
CDAN1,0.260695141202363
CDK11A,0.332678809000447
CDKN1A,-0.29208260806092
CDKN2AIP,0.318049393179563
CEP250,0.251753674088096
CEP76,0.253896639561623
CEP85,-0.251894941514583
CEP89,-0.365703813756449
CEPT1,-0.41609345361828
CFDP1,0.256961904096453
CHN1,-0.366552032980233
CIC,0.335280836256068
CIRBP,-0.265849565876203
CLASRP,0.367110975123519
CLCN6,0.38450484495031
CLK1,0.532082890381566
CLK4,-0.313352808255806
CNTLN,-0.278567424004135
COX11,-0.264859298961571
COX18,0.393608276798562
CREB1,-0.300175352741212
CRYBG2,0.254350693769337
CTDSPL2,-0.269314750306237
CU638689.5,0.257799797757238
CUL7,-0.360619291537155
CYHR1,-0.289843580781902
CYTH1,0.436801172643815
DBT,-0.274170073104211
DCAF8,-0.416499604571049
DCAKD,-0.256629953419406
DDX19A,-0.279628873287932
DECR2,-0.356114727219893
DELE1,-0.306701793511631
DENND1B,-0.263351423857589
DGLUCY,-0.3401414392604
DHX34,-0.302667797108079
DHX9,0.252085760426184
DNAH14,-0.252026248365161
DNAJC2,-0.311746436545035
DNAJC25,0.278775921434564
DNAJC6,-0.338254586890592
DOCK3,0.283900791787758
DPP7,0.258755865531688
DPY30,0.404186984241974
DUSP12,0.271864045745512
DXO,0.362482918801992
EDRF1,0.25463470253784
EEA1,-0.356365150465572
EFL1,-0.339026571394274
EIF4A2,-0.393656806418319
EIF4E3,0.253133981357368
ELMOD3,-0.299169492196051
EMC9,0.29159569097809
EPC1,-0.302856311830683
ERCC6L2,-0.329023719457574
ETNK1,-0.272099286576043
EVC,-0.367043295525808
EYA3,0.260756849118063
FAM120C,0.296623548163741
FAM122C,0.256225913357743
FAM156B,-0.348298136310753
FAM76B,-0.264309285466978
FANCB,-0.381021256962093
FDXR,-0.327406380062043
FGFR3,-0.261470405353854
FMN2,-0.299160294579828
FNBP4,-0.275823532940189
FNTB,-0.37629661547196
FRRS1,-0.281235804596207
FRS3,0.280224000416284
GALK2,-0.317531737832106
GALNT3,0.461287341596915
GARNL3,0.388227641726458
GKAP1,-0.354563532581036
GLS,-0.33516118051323
GLUD1P3,-0.267134723900227
GNPDA2,-0.361260670181528
GOLGA8A,0.270639907737803
GORAB,0.331842315381164
GPATCH2,0.259886880224426
GPC2,0.439806481784532
GPR89A,-0.280933017933862
GPR89B,-0.330965489783487
GPRC5C,0.252967522298201
GRB14,0.312149261902184
GUSBP1,0.288041870298236
H2BC5,-0.311310754798906
HCFC2,-0.275580526705799
HECTD1,-0.285880238527867
HERC2P2,-0.254643605312257
HLF,-0.496276586699812
HNRNPLL,-0.292430509548914
HOOK2,-0.330896803175976
HSD17B7,0.255717124156358
HSD17B7P2,0.365050340279921
IFFO1,-0.43135844034475
IMPACT,0.343369114134712
ISG15,-0.283321419422468
IVNS1ABP,-0.462319663889274
JAK2,0.404194922653237
KCNT2,0.328023773102782
KDM3A,-0.317309624610367
KHDC4,-0.290989684015588
KIAA1109,0.287634760478946
KIF27,-0.435383478446298
KLHL36,0.269656852128323
KLHL42,-0.317599887075773
L3HYPDH,0.289552524730152
LATS1,-0.284808244887527
LLPH.DT,0.318713056248003
LRIG2,-0.353400489308978
LRP4,0.44457569443411
LRRC14,0.339218222201713
LRRC27,-0.376827110624855
LRRC69,0.345680327521681
LRRC75B,-0.324746928261668
LRRCC1,0.262299109124788
LTN1,-0.318074051763494
LUC7L,0.263485606115046
MAN2A1,-0.317173499283468
MAN2C1,-0.250873556841899
MANBA,-0.300465882825774
MAP3K15,0.266965084160608
MAST1,-0.334103967617486
MCEE,0.389295137507013
MCOLN3,-0.258582830797098
MICA,-0.301449758299387
MITD1,-0.307186252028251
MMS22L,-0.274891209367534
MOV10,-0.250370782481429
MPPED2,-0.323933422477847
MRPS6,-0.259878755517999
MTAP,-0.263794818950411
MTCL1,-0.254136095465456
N4BP2,-0.250243696381025
NAA16,0.281637621946474
NAA25,0.275331062609437
NAF1,-0.276082180418275
NAT1,0.272056963639274
NCOA7,-0.275312325067362
NECAB3,-0.273681260738507
NEDD1,-0.268940228200172
NINL,0.281521516696314
NKTR,-0.450794379208751
NOD1,0.344863946604795
NOM1,-0.337929665280164
NPIPB6,0.281122995944279
NR4A1,-0.312970770067199
NSG1,0.29737336573316
NSUN5P1,-0.35740465656344
NT5C3A,-0.253908279235044
NT5M,-0.285557440872853
NUDT16L1,0.478494258115685
ODR4,-0.365793035194272
OLA1,0.334592617242384
ORC1,-0.280017108096258
OSGEP,-0.317478449863136
PAN3,-0.280941376736597
PANK2,-0.268237611761662
PANK4,0.510152969585595
PAQR3,-0.27064074710515
PARG,-0.353237413712586
PARGP1,0.390335487920878
PARL,-0.25601365649129
PARP4,-0.385556682565925
PATL1,-0.464464790215985
PAXBP1,0.47566180693064
PCCA,0.257852395960152
PCIF1,0.278372230856974
PCMTD1,-0.264411071043516
PCNX2,0.261798460568216
PCOLCE,0.360158617671558
PCSK5,0.316309800354023
PDCD6IPP2,0.405220725515886
PDE5A,0.294722411790516
PDSS1,0.378039775684194
PGAP3,0.270656080541742
PHIP,-0.350347807694384
PIAS3,0.293596962322994
PIDD1,0.312521650407454
PIEZO1,-0.329237036866767
PIF1,0.436318822167679
PIH1D1,0.25231423892851
PIP4P2,-0.267184056112082
PISD,-0.337810287416943
PLA2G6,-0.283548221759356
PLEKHA7,0.388539508912472
PM20D2,-0.303288558174503
POGLUT1,-0.278390295413868
POLG,-0.386037868910665
POLN,-0.322098259127413
POLQ,0.280391843983873
PORCN,0.276268049868834
PPCS,0.396329031578928
PPID,0.33575959741735
PPIEL,-0.256948648335406
PPP3CC,0.277730904746349
PPP4R3A,-0.361536874817454
PRKRA,-0.446614696393142
PRMT9,0.3743696100309
PRPF38B,-0.439821568858413
PRPF39,0.256609466929183
PRRC2B,-0.266738919247898
PTBP2,0.605915040192177
PTCD3,-0.258272620507994
PTRH2,-0.351898368265393
PUS10,0.294466991258136
QRFPR,0.337959293618737
QSOX2,0.261911345880804
RAB5A,-0.260117721624386
RABGAP1,-0.295877548231487
RABGGTB,-0.395298628442425
RAD54B,-0.256576571484206
RAPGEF6,-0.368533147025276
RBM20,-0.262446779158431
RBM8A,0.336335045116692
