""	"iPSC.5420.10x"	"iPSC.5420.3x"	"NGN2.5420.10x"	"NGN2.5420.3x"
"ARL15"	1	1	1	1
"AXIN1"	1	1	1	1
"CLASP2"	1	1	1	1
"DLGAP4"	1	1	1	1
"EXOC6B"	1	1	1	1
"FAAP20"	1	1	1	1
"KDM6A"	1	1	1	1
"LARP7"	1	1	1	1
"LINC02210"	1	1	1	1
"LRRC42"	1	1	1	1
"NUP58"	1	1	1	1
"PDE7A"	1	1	1	1
"POMT2"	1	1	1	1
"RAF1"	1	1	1	1
"SENP6"	1	1	1	1
"SKP1"	1	1	1	1
"STRN"	1	1	1	1
"STRN3"	1	1	1	1
"TAF2"	1	1	1	1
"TENT2"	1	1	1	1
"VPS29"	1	1	1	1
"ZNF730"	1	1	1	1
"ABCB8"	1	0	1	1
"AC009022.1"	1	0	1	1
"C12orf4"	1	1	1	0
"C14orf132"	1	1	1	0
"DENND1A"	1	0	1	1
"DHFR"	1	0	1	1
"HDX"	1	1	1	0
"HSD17B4"	1	1	1	0
"HTT"	1	0	1	1
"LYRM1"	1	1	1	0
"MAN1B1"	1	1	1	0
"MLLT10"	1	0	1	1
"PDXDC1"	1	0	1	1
"PDXDC2P"	1	0	1	1
"PNISR"	1	1	1	0
"TIAM1"	1	0	1	1
"TMEM214"	1	1	1	0
"WDR27"	1	0	1	1
"XRN2"	1	0	1	1
"ZFP82"	1	1	1	0
"ZMYM6"	1	0	1	1
"ZNF618"	1	1	1	0
"ABCC8"	0	0	1	1
"AC007614.1"	0	0	1	1
"AC114490.2"	1	0	1	0
"ACADM"	0	0	1	1
"ADAM17"	0	0	1	1
"ADAMTS10"	0	0	1	1
"ADAMTS19"	1	1	0	0
"ARHGAP5"	1	0	1	0
"ARMH3"	0	0	1	1
"ASAP1"	1	1	0	0
"BECN1"	1	0	1	0
"CACNA1C"	0	0	1	1
"CACNA2D1"	1	1	0	0
"CLN3"	0	0	1	1
"ENAH"	1	0	1	0
"ERGIC3"	1	1	0	0
"EVC"	1	0	1	0
"FBN2"	1	1	0	0
"FHOD3"	0	0	1	1
"FSIP2"	0	0	1	1
"GALC"	1	0	1	0
"GAPVD1"	0	0	1	1
"GARNL3"	0	0	1	1
"GRAMD2B"	1	1	0	0
"GRIA1"	0	0	1	1
"KCNT2"	0	0	1	1
"KIF21A"	1	0	1	0
"KLHL1"	0	0	1	1
"LIMCH1"	0	0	1	1
"LNPK"	1	0	1	0
"MADD"	1	1	0	0
"MELTF"	0	0	1	1
"MYCBP2"	0	0	1	1
"NAV2"	1	1	0	0
"PHB2"	1	1	0	0
"RCOR3"	1	0	1	0
"SETX"	0	0	1	1
"SF3B3"	1	0	1	0
"SH3YL1"	1	0	1	0
"SNHG5"	1	1	0	0
"SREK1"	0	0	1	1
"STOX2"	1	0	1	0
"STRN4"	1	0	1	0
"STXBP5L"	0	0	1	1
"SYNE4"	1	0	0	1
"TARBP1"	0	0	1	1
"TNFRSF25"	0	0	1	1
"TNRC6A"	1	1	0	0
"TRIM65"	0	0	1	1
"TTN-AS1"	0	0	1	1
"WDR17"	0	0	1	1
"WNK1"	1	0	1	0
"ZNF138"	1	0	1	0
"ZNF66"	1	1	0	0
"AC004540.1"	0	0	0	1
"AC008581.2"	1	0	0	0
"AC068547.1"	0	0	1	0
"AC073111.4"	0	1	0	0
"AC119673.3"	0	0	0	1
"AC138894.1"	0	0	0	1
"AC246817.2"	0	0	0	1
"ADAL"	1	0	0	0
"ADAMTS13"	0	0	0	1
"AGO3"	1	0	0	0
"AL009179.1"	0	0	0	1
"AL355987.4"	0	0	0	1
"AL591806.4"	0	0	0	1
"ANAPC11"	0	0	0	1
"ANGEL1"	0	0	0	1
"ANKHD1"	1	0	0	0
"ANKHD1-EIF4EBP3"	1	0	0	0
"ANKS3"	1	0	0	0
"ANXA11"	1	0	0	0
"APPL2"	0	0	1	0
"ARHGEF1"	0	0	0	1
"ARMCX6"	1	0	0	0
"ASAP2"	1	0	0	0
"ASCC3"	0	0	1	0
"ATG2B"	0	0	1	0
"ATP8A2"	0	0	1	0
"AZIN2"	0	0	0	1
"B4GALNT1"	0	0	0	1
"BOLA2-SMG1P6"	0	1	0	0
"C2CD2L"	0	0	0	1
"CACNA1H"	0	0	1	0
"CACNB4"	0	0	1	0
