""	"iPSC.6960.10x"	"iPSC.6960.3x"	"NGN2.6960.10x"	"NGN2.6960.3x"
"ARL15"	1	1	1	1
"AXIN1"	1	1	1	1
"KDM6A"	1	1	1	1
"LARP7"	1	1	1	1
"LINC02210"	1	1	1	1
"LRRC42"	1	1	1	1
"PDE7A"	1	1	1	1
"POMT2"	1	1	1	1
"SKP1"	1	1	1	1
"STRN3"	1	1	1	1
"TAF2"	1	1	1	1
"ZFP82"	1	1	1	1
"ABCB8"	1	0	1	1
"CLASP2"	1	0	1	1
"CLN3"	1	0	1	1
"DHFR"	1	0	1	1
"DLGAP4"	1	0	1	1
"ENAH"	1	0	1	1
"EVC"	1	0	1	1
"FHOD3"	1	0	1	1
"HDX"	1	1	1	0
"HTT"	1	0	1	1
"LYRM1"	1	0	1	1
"MADD"	1	1	1	0
"NUP58"	1	0	1	1
"RAF1"	1	0	1	1
"SENP6"	1	1	1	0
"TENT2"	1	0	1	1
"VPS29"	1	1	1	0
"WDR27"	1	0	1	1
"WNK1"	1	0	1	1
"ZNF618"	1	0	1	1
"AC009022.1"	0	0	1	1
"AC138894.1"	1	0	1	0
"APPL2"	1	0	1	0
"ARMCX6"	1	0	1	0
"ASAP1"	1	1	0	0
"ASCC3"	0	0	1	1
"BECN1"	1	0	1	0
"C12orf4"	1	0	1	0
"C14orf132"	0	0	1	1
"CACNA1C"	0	0	1	1
"CACNB4"	0	0	1	1
"CDC37L1"	1	0	1	0
"CHD9"	1	0	1	0
"DENND1A"	0	0	1	1
"EXOC6B"	1	0	1	0
"FAAP20"	1	0	1	0
"FSIP2"	0	0	1	1
"GOLT1B"	1	1	0	0
"HAUS3"	0	0	1	1
"KCNT2"	0	0	1	1
"KLHL1"	0	0	1	1
"LIMCH1"	0	0	1	1
"LRIG2"	0	0	1	1
"MELTF"	0	0	1	1
"MLLT10"	1	0	1	0
"MYCBP2"	1	0	1	0
"NAV2"	1	1	0	0
"PDXDC1"	0	0	1	1
"PDXDC2P"	0	0	1	1
"PNISR"	1	0	1	0
"RAB2B"	1	0	1	0
"RCC1"	1	0	1	0
"SETX"	0	0	1	1
"SF3B3"	1	0	1	0
"SREK1"	0	0	1	1
"STRN"	0	0	1	1
"TIAM1"	1	0	1	0
"TMEM50B"	1	0	1	0
"TNFRSF25"	0	0	1	1
"TRIM65"	0	0	1	1
"UNC13A"	1	1	0	0
"USP9Y"	0	0	1	1
"WDR17"	0	0	1	1
"XRN2"	0	0	1	1
"ZMYM6"	1	0	1	0
"ZNF730"	1	0	1	0
"ABCC8"	0	0	1	0
"AC008581.2"	0	0	1	0
"AC068547.1"	0	0	1	0
"AC114316.1"	0	0	1	0
"AC114490.2"	0	0	1	0
"ADAM17"	0	0	1	0
"ADAMTS10"	0	0	1	0
"ADAMTS19"	1	0	0	0
"ADGRL1"	0	0	1	0
"AGGF1"	0	0	1	0
"AGPS"	0	0	1	0
"ANKS3"	0	0	1	0
"ANXA11"	1	0	0	0
"ANXA6"	0	0	1	0
"APLP2"	0	0	1	0
"ARHGAP5"	0	0	1	0
"ARMH3"	0	0	1	0
"ASNS"	0	0	1	0
"ATG2B"	0	0	1	0
"ATP5MC1"	0	0	1	0
"ATP8A2"	0	0	1	0
"ATR"	0	0	0	1
"BLMH"	0	0	1	0
"BOLA2-SMG1P6"	0	1	0	0
"CDK5RAP1"	0	0	1	0
"CEP162"	1	0	0	0
"CHRM2"	0	0	1	0
"CLEC2D"	0	0	0	1
"CLK4"	0	0	1	0
"COPS7B"	0	0	1	0
"CRYM"	1	0	0	0
"CSTF3"	0	0	1	0
"DDX42"	0	0	1	0
"DNAJC27"	0	0	1	0
"DPY19L3"	0	1	0	0
"DPY30"	0	0	1	0
"ELP4"	0	0	1	0
"EMSY"	0	0	1	0
"ENOX1"	0	0	1	0
"ERCC8"	0	0	1	0
"ERGIC3"	1	0	0	0
"ERVK13-1"	0	0	1	0
"FAM174A"	0	0	1	0
"FAM221A"	0	0	1	0
"FBL"	0	0	1	0
"FBN2"	1	0	0	0
"FGD4"	0	0	1	0
"FNIP2"	0	0	1	0
"FOXM1"	1	0	0	0
"GALC"	0	0	1	0
"GAPVD1"	0	0	0	1
"GARNL3"	0	0	1	0
"GCFC2"	0	0	1	0
"GNAQ"	0	0	1	0
