""	"iPSC.6527.10x"	"iPSC.6527.3x"	"NGN2.6527.10x"	"NGN2.6527.3x"
"ARL15"	1	1	1	1
"KDM6A"	1	1	1	1
"LARP7"	1	1	1	1
"LRRC42"	1	1	1	1
"PDE7A"	1	1	1	1
"POMT2"	1	1	1	1
"SKP1"	1	1	1	1
"STRN3"	1	1	1	1
"ZFP82"	1	1	1	1
"ABCB8"	1	0	1	1
"AC009022.1"	1	0	1	1
"AXIN1"	1	0	1	1
"CLN3"	1	0	1	1
"DLGAP4"	1	0	1	1
"ENAH"	1	0	1	1
"HDX"	1	1	1	0
"HTT"	1	0	1	1
"MADD"	1	1	1	0
"NUP58"	1	0	1	1
"PDXDC2P"	1	0	1	1
"RAF1"	1	0	1	1
"TAF2"	1	0	1	1
"TENT2"	1	0	1	1
"VPS29"	1	1	1	0
"WDR27"	1	0	1	1
"ADAM17"	0	0	1	1
"ASAP1"	1	1	0	0
"ASCC3"	0	0	1	1
"BECN1"	1	0	1	0
"C12orf4"	1	0	1	0
"CHD9"	1	0	1	0
"CLASP2"	1	0	1	0
"DENND1A"	0	0	1	1
"DHFR"	1	0	1	0
"EVC"	0	0	1	1
"EXOC6B"	1	0	1	0
"FAAP20"	1	0	1	0
"FHOD3"	0	0	1	1
"FSIP2"	0	0	1	1
"HAUS3"	0	0	1	1
"KCNT2"	0	0	1	1
"KLHL1"	0	0	1	1
"LIMCH1"	0	0	1	1
"LINC00662"	1	0	1	0
"LINC02210"	1	0	1	0
"LRIG2"	0	0	1	1
"LYRM1"	1	0	1	0
"NAV2"	1	1	0	0
"PDXDC1"	0	0	1	1
"PNISR"	1	0	1	0
"RCC1"	1	0	1	0
"SENP6"	1	0	1	0
"SETX"	0	0	1	1
"SH3YL1"	1	0	1	0
"STXBP5L"	0	0	1	1
"TIAM1"	1	0	1	0
"TNFRSF25"	0	0	1	1
"WDR17"	0	0	1	1
"WNK1"	1	0	1	0
"XRN2"	0	0	1	1
"ZNF618"	1	0	1	0
"ABCC8"	0	0	0	1
"AC007614.1"	0	0	0	1
"AC068547.1"	0	0	1	0
"AC114490.2"	0	0	1	0
"AC117378.1"	0	1	0	0
"AC138894.1"	0	0	1	0
"ACADM"	0	0	1	0
"ADAMTS10"	0	0	1	0
"ADAMTS19"	1	0	0	0
"ADGRL1"	0	0	1	0
"AGPS"	0	0	1	0
"AP004608.1"	0	0	1	0
"APPL2"	0	0	1	0
"ARHGAP5"	0	0	1	0
"ARMCX6"	1	0	0	0
"ARMH3"	0	0	1	0
"ARSA"	0	0	1	0
"ATP8A2"	0	0	1	0
"BLMH"	0	0	1	0
"C14orf132"	0	0	1	0
"C8orf44"	1	0	0	0
"CACNA1C"	0	0	1	0
"CACNA1H"	0	0	1	0
"CACNA2D1"	1	0	0	0
"CACNB4"	0	0	1	0
"CAPRIN2"	1	0	0	0
"CCDC180"	0	0	0	1
"CDC37L1"	0	0	1	0
"CHROMR"	1	0	0	0
"CLEC2D"	0	0	0	1
"CLK4"	0	0	1	0
"COPS7B"	0	0	1	0
"CRYM"	1	0	0	0
"CSTF3"	0	0	1	0
"CTXN2"	0	0	0	1
"CYB5A"	0	0	0	1
"DMTF1"	0	1	0	0
"DPY30"	0	0	1	0
"DRG2"	0	1	0	0
"DYSF"	1	0	0	0
"ENOX1"	0	0	1	0
"EPHA4"	0	0	0	1
"ERCC8"	0	0	1	0
"ERGIC3"	1	0	0	0
"FAM221A"	0	0	1	0
"FBN2"	1	0	0	0
"FGD4"	0	0	1	0
"FGFR1"	1	0	0	0
"FGFR2"	0	0	1	0
"GABPB2"	0	1	0	0
"GALC"	0	0	1	0
"GCFC2"	0	0	1	0
"GNAQ"	0	0	1	0
"GRAMD2B"	1	0	0	0
"GRIA1"	0	0	1	0
"HARS1"	0	1	0	0
"IFT27"	1	0	0	0
"INTS3"	1	0	0	0
"LINC00630"	1	0	0	0
"LINC01011"	0	0	1	0
"MAN1B1"	1	0	0	0
"MAPK10"	0	0	1	0
"MATK"	1	0	0	0
"MEMO1"	0	0	1	0
"MGAT5"	0	1	0	0
"MLLT10"	0	0	1	0
"MSL3"	0	0	1	0
"MYCBP2"	1	0	0	0
"NEIL2"	0	0	1	0
"NKAIN2"	0	0	1	0
"NKTR"	0	1	0	0
"PAQR9-AS1"	0	0	1	0
"PCDH10"	0	0	1	0
"PHB2"	1	0	0	0
"PIGA"	0	1	0	0
"PITPNB"	0	0	1	0
"PRDM2"	1	0	0	0
"PTPRT"	0	0	1	0
"PYCR1"	0	1	0	0
"RAB2B"	0	0	1	0
"RAPGEF1"	0	0	1	0
"RARS1"	0	0	1	0
"RBBP8"	0	0	1	0
"RCOR3"	1	0	0	0
"SCLY"	0	0	0	1
"SCO1"	0	0	1	0
"SERGEF"	0	0	1	0
"SF3B3"	1	0	0	0
"SLC25A17"	0	0	1	0
"SLC7A6"	0	0	1	0
"SMG1P5"	0	0	0	1
"SNTG1"	0	0	0	1
"SPIDR"	1	0	0	0
"SPRYD7"	0	0	1	0
"SREK1"	0	0	1	0
"STOX2"	0	0	1	0
"STRN"	0	0	1	0
"STRN4"	0	0	1	0
"SYT3"	0	0	0	1
"SYTL2"	0	1	0	0
"TANGO2"	1	0	0	0
"TCF4"	1	0	0	0
"TDP1"	0	0	0	1
"TET1"	0	0	1	0
"TIMM23B"	0	0	1	0
"TIMM23B-AGAP6"	0	0	1	0
"TMEM50B"	0	0	1	0
"TNIP1"	0	0	1	0
"TNRC6A"	1	0	0	0
"TPTEP2"	1	0	0	0
"TRAPPC13"	0	0	1	0
"TRIM65"	0	0	1	0
"TSPAN4"	0	0	0	1
"UNC13A"	1	0	0	0
"USP9Y"	0	0	1	0
"VDAC3"	0	0	1	0
"WDR90"	0	0	1	0
"ZDHHC11"	0	0	1	0
"ZMYM6"	0	0	1	0
"ZNF37BP"	1	0	0	0
"ZNF563"	1	0	0	0
"ZNF730"	1	0	0	0
