""	"iPSC.4714.10x"	"iPSC.4714.3x"	"NGN2.4714.10x"	"NGN2.4714.3x"
"AC009022.1"	1	1	1	1
"ARL15"	1	1	1	1
"AXIN1"	1	1	1	1
"CLASP2"	1	1	1	1
"CLN3"	1	1	1	1
"ENAH"	1	1	1	1
"HDX"	1	1	1	1
"KDM6A"	1	1	1	1
"LARP7"	1	1	1	1
"LINC02210"	1	1	1	1
"LRRC42"	1	1	1	1
"PDE7A"	1	1	1	1
"PDXDC2P"	1	1	1	1
"POMT2"	1	1	1	1
"SENP6"	1	1	1	1
"SKP1"	1	1	1	1
"STRN3"	1	1	1	1
"TAF2"	1	1	1	1
"TENT2"	1	1	1	1
"ZFP82"	1	1	1	1
"ABCB8"	1	0	1	1
"ASCC3"	1	0	1	1
"C14orf132"	1	0	1	1
"CDC37L1"	1	0	1	1
"DHFR"	1	0	1	1
"DLGAP4"	1	0	1	1
"EVC"	1	0	1	1
"EXOC6B"	1	1	1	0
"FAM174A"	1	0	1	1
"GCFC2"	1	0	1	1
"HTT"	1	0	1	1
"LYRM1"	1	0	1	1
"MADD"	1	1	1	0
"MLLT10"	1	0	1	1
"MYCBP2"	1	1	1	0
"NUP58"	1	1	1	0
"PDXDC1"	1	0	1	1
"RAF1"	1	0	1	1
"SLC25A17"	1	0	1	1
"SLC7A6"	1	0	1	1
"SREK1"	1	0	1	1
"TARBP1"	1	0	1	1
"TET1"	1	0	1	1
"TIAM1"	1	0	1	1
"TMEM50B"	1	1	1	0
"TPTEP2"	1	1	1	0
"VPS29"	1	1	1	0
"WDR27"	1	0	1	1
"XRN2"	1	0	1	1
"ZMYM6"	1	0	1	1
"ZNF618"	1	0	1	1
"AC114490.2"	1	0	1	0
"AC138894.1"	1	0	0	1
"ADAM17"	0	0	1	1
"ADAMTS10"	0	0	1	1
"ADGRL1"	1	0	1	0
"ANKS3"	1	0	1	0
"APLP2"	1	0	1	0
"ARHGAP5"	1	0	1	0
"ARMCX6"	1	0	1	0
"ASAP1"	1	1	0	0
"BECN1"	1	0	1	0
"C12orf4"	1	0	1	0
"CACNA1C"	0	0	1	1
"CHD9"	1	0	1	0
"CHROMR"	0	0	1	1
"CMSS1"	1	0	1	0
"DENND1A"	0	0	1	1
"DENND5A"	1	0	1	0
"DPH1"	1	0	1	0
"DPY19L3"	1	1	0	0
"EMSY"	1	0	1	0
"ENOX1"	0	0	1	1
"ERGIC3"	1	1	0	0
"FAAP20"	1	0	1	0
"FAM162A"	1	0	1	0
"FHOD3"	0	0	1	1
"FSIP2"	0	0	1	1
"GALC"	1	0	1	0
"GXYLT1"	1	0	1	0
"HAUS3"	0	0	1	1
"IFT57"	1	0	1	0
"KCNT2"	0	0	1	1
