""	"iPSC.9701.10x"	"iPSC.9701.3x"	"NGN2.9701.10x"	"NGN2.9701.3x"
"ARL15"	1	1	1	1
"AXIN1"	1	1	1	1
"HTT"	1	1	1	1
"LARP7"	1	1	1	1
"LRRC42"	1	1	1	1
"PDE7A"	1	1	1	1
"POMT2"	1	1	1	1
"SKP1"	1	1	1	1
"STRN3"	1	1	1	1
"TAF2"	1	1	1	1
"ZFP82"	1	1	1	1
"ABCB8"	1	0	1	1
"AC009022.1"	1	0	1	1
"DLGAP4"	1	0	1	1
"ENAH"	1	0	1	1
"EXOC6B"	1	1	1	0
"HDX"	1	1	1	0
"KDM6A"	1	1	1	0
"LINC02210"	1	0	1	1
"MADD"	1	1	1	0
"MYCBP2"	1	1	1	0
"NUP58"	1	0	1	1
"PDXDC1"	1	0	1	1
"RAF1"	1	0	1	1
"SENP6"	1	1	1	0
"TENT2"	1	0	1	1
"VPS29"	1	1	1	0
"ADAM17"	0	0	1	1
"ADGRL1"	1	0	1	0
"AHI1"	1	1	0	0
"ASAP1"	1	1	0	0
"ASCC3"	0	0	1	1
"BECN1"	1	0	1	0
"C12orf4"	1	0	1	0
"C14orf132"	1	0	1	0
"CACNA1C"	0	0	1	1
"CHD9"	1	0	1	0
"CLASP2"	1	0	1	0
"CLN3"	1	0	1	0
"DENND1A"	0	0	1	1
"DHFR"	1	0	1	0
"EVC"	1	0	1	0
"FAAP20"	1	0	1	0
"GRAMD2B"	1	1	0	0
"IGFLR1"	1	1	0	0
"KCNT2"	0	0	1	1
"KLHL1"	0	0	1	1
"LIMCH1"	0	0	1	1
"LYRM1"	1	0	1	0
"MAN1B1"	1	0	1	0
"MLLT10"	1	0	1	0
"NAV2"	1	1	0	0
"PDXDC2P"	0	0	1	1
"PHB2"	1	1	0	0
"PNISR"	1	0	1	0
"PYCR1"	1	1	0	0
"SF3B3"	1	0	1	0
"SH3YL1"	1	0	1	0
"SREK1"	0	0	1	1
"TIAM1"	1	0	1	0
"TNFRSF25"	0	0	1	1
"TPTEP2"	1	0	1	0
"WDR27"	1	0	1	0
"WDR90"	0	0	1	1
"WNK1"	1	0	1	0
"XRN2"	0	0	1	1
"ZNF730"	1	0	1	0
"ABCC8"	0	0	1	0
"AC004980.1"	0	0	1	0
"AC007614.1"	0	0	1	0
"AC068547.1"	0	0	1	0
"AC104472.3"	0	0	1	0
"AC114490.2"	0	0	1	0
"AC138894.1"	1	0	0	0
"ACAD11"	0	0	1	0
"ACADM"	0	0	1	0
"ADAMTS10"	0	0	1	0
"ADAMTS19"	1	0	0	0
"ADARB1"	1	0	0	0
"ANKS3"	1	0	0	0
"ANOS2P"	0	1	0	0
"APBB2"	1	0	0	0
"APIP"	0	0	1	0
"ARMCX6"	1	0	0	0
"ARMH3"	0	0	1	0
"ATP8A2"	0	0	1	0
"BDH1"	0	0	0	1
"BOLA2-SMG1P6"	1	0	0	0
"CACNA1H"	0	0	1	0
"CACNA2D1"	1	0	0	0
"CACNB4"	0	0	1	0
"CCDC102B"	0	0	0	1
"CDC37L1"	0	0	1	0
"CENPO"	0	0	1	0
"CLK4"	0	0	1	0
"COPS7B"	0	0	1	0
"CPLANE1"	0	0	1	0
"CREBZF"	0	0	0	1
"CSTF3"	0	0	1	0
"CYB5A"	0	0	1	0
"DLG5"	0	0	1	0
"DPH7"	0	1	0	0
"DPY30"	0	0	1	0
"ELMO2"	0	0	1	0
"ENOX1"	0	0	1	0
"ERGIC3"	1	0	0	0
"ERVK13-1"	0	0	1	0
"EWSR1"	0	0	1	0
"FBN2"	1	0	0	0
"FGD4"	0	0	1	0
"FHOD3"	0	0	1	0
"FOXM1"	1	0	0	0
"FSIP2"	0	0	1	0
"GALC"	0	0	1	0
"GARNL3"	0	0	1	0
"GCFC2"	0	0	1	0
"GLRA3"	0	0	1	0
"GNAQ"	0	0	1	0
"GPHN"	0	0	1	0
"GRIA1"	0	0	1	0
"GSDMD"	0	1	0	0
"GXYLT1"	0	0	1	0
"HAUS3"	0	0	1	0
"HERC2P2"	1	0	0	0
"HPCAL1"	0	0	1	0
"HSD17B4"	1	0	0	0
"KIAA1549L"	0	1	0	0
"KIF21A"	1	0	0	0
"LINC00678"	1	0	0	0
"LMO7"	1	0	0	0
"LRIG2"	0	0	1	0
"MACROD2"	0	0	1	0
